city,lat,lng,country,iso2,admin,capital,population,population_proper
Phnom Penh,11.56245,104.916006,Cambodia,KH,Phnom Penh,primary,1466000,1466000
Battambang,13.102713,103.198215,Cambodia,KH,Battambang,admin,154773,150444
Siem Reap,13.361793,103.860556,Cambodia,KH,Siem Reap,admin,109398,85000
Kampong Cham,11.993387,105.463502,Cambodia,KH,Kampong Cham,admin,83233,61750
Kampong Chhnang,12.25,104.666667,Cambodia,KH,Kampong Chhnang,admin,75244,56390
Prey Veng,11.486819,105.325334,Cambodia,KH,Prey Veng,admin,74000,74000
Pursat,12.538778,103.919204,Cambodia,KH,Pursat,admin,52476,13446
Sisŏphŏn,13.585876,102.973689,Cambodia,KH,Banteay Meanchey,admin,50302,23218
Kampot,10.61041,104.181448,Cambodia,KH,Kampot,admin,50105,22691
Kampong Speu,11.453321,104.520846,Cambodia,KH,Kampong Speu,admin,33231,33231
Koh Kong,11.615314,102.983798,Cambodia,KH,Koh Kong,admin,33134,27436
Stung Treng,13.525865,105.968302,Cambodia,KH,Stung Treng,admin,29665,29665
Tbêng Méanchey,13.807315,104.980455,Cambodia,KH,Preah Vihear,admin,24380,24380
Svay Rieng,11.087852,105.799354,Cambodia,KH,Svay Rieng,admin,23956,23956
Kratie,12.488113,106.018786,Cambodia,KH,Kratie,admin,19975,19975
Kampong Thom,12.711122,104.888732,Cambodia,KH,Kampong Thom,admin,19951,19951
Lumphăt,13.487841,106.981584,Cambodia,KH,Ratanakiri,,19205,19205
Takeo,10.99081,104.784984,Cambodia,KH,Takeo,admin,15264,15264
Sênmônoŭrôm,12.455827,107.188109,Cambodia,KH,Mondolkiri,admin,7944,7944
Suŏng,11.911779,105.658208,Cambodia,KH,Tbong Khmum,admin,,
Aek Phnum,13.159932,103.231338,Cambodia,KH,Battambang,minor,,
Thpong,11.75375,104.427434,Cambodia,KH,Kampong Speu,minor,,
Preah Netr Preah,13.623709,103.182125,Cambodia,KH,Banteay Meanchey,minor,,
Samlout,12.616979,102.858621,Cambodia,KH,Battambang,minor,,
Phnum Proek,13.223499,102.395463,Cambodia,KH,Battambang,minor,,
Bavel,13.251277,102.87795,Cambodia,KH,Battambang,minor,,
