"city, state_name",lat,lng,population,density
"New York, New York",40.6943,-73.9249,18713220.0,10715
"Los Angeles, California",34.1139,-118.4068,12750807.0,3276
"Chicago, Illinois",41.8373,-87.6862,8604203.0,4574
"Miami, Florida",25.7839,-80.2102,6445545.0,5019
"Dallas, Texas",32.7936,-96.7662,5743938.0,1526
"Philadelphia, Pennsylvania",40.0077,-75.1339,5649300.0,4554
"Houston, Texas",29.7863,-95.3889,5464251.0,1399
"Atlanta, Georgia",33.7627,-84.4224,5449398.0,1441
"Washington, District of Columbia",38.9047,-77.0163,5379184.0,4457
"Boston, Massachusetts",42.3188,-71.0846,4688346.0,5532
"Phoenix, Arizona",33.5722,-112.0891,4219697.0,1253
"Seattle, Washington",47.6211,-122.3244,3789215.0,3469
"San Francisco, California",37.7562,-122.4430,3592294.0,7256
"Detroit, Michigan",42.3834,-83.1024,3506126.0,1864
"San Diego, California",32.8312,-117.1225,3220118.0,1686
"Minneapolis, Minnesota",44.9635,-93.2678,2977172.0,3071
"Tampa, Florida",27.9942,-82.4451,2908063.0,1353
"Denver, Colorado",39.7621,-104.8759,2876625.0,1831
"Brooklyn, New York",40.6501,-73.9496,2559903,14221
"Queens, New York",40.7498,-73.7976,2230722,7885
"Riverside, California",33.9381,-117.3948,2107852.0,1574
"Baltimore, Maryland",39.3051,-76.6144,2106068.0,2830
"Las Vegas, Nevada",36.2333,-115.2654,2104198.0,1773
"Portland, Oregon",45.5372,-122.6500,2074775.0,1894
"San Antonio, Texas",29.4658,-98.5253,2049293.0,1231
"St. Louis, Missouri",38.6358,-90.2451,2024074.0,1879
"Sacramento, California",38.5667,-121.4683,1898019.0,2029
"Orlando, Florida",28.4772,-81.3369,1822394.0,1003
"San Jose, California",37.3019,-121.8486,1798103.0,2218
"Cleveland, Ohio",41.4767,-81.6804,1710093.0,1893
"Pittsburgh, Pennsylvania",40.4396,-79.9762,1703266.0,2093
"Austin, Texas",30.3004,-97.7522,1687311.0,1181
"Cincinnati, Ohio",39.1413,-84.5061,1662691.0,1507
"Kansas City, Missouri",39.1239,-94.5541,1636715.0,607
"Manhattan, New York",40.7834,-73.9662,1628706,27545
"Indianapolis, Indiana",39.7771,-86.1458,1588961.0,935
"Columbus, Ohio",39.9862,-82.9850,1562009.0,1582
"Charlotte, North Carolina",35.2080,-80.8304,1512923.0,1113
"Virginia Beach, Virginia",36.7335,-76.0435,1478868.0,709
"Bronx, New York",40.8501,-73.8662,1418207,12862
"Milwaukee, Wisconsin",43.0642,-87.9673,1365787.0,2369
"Providence, Rhode Island",41.8230,-71.4187,1203230.0,3773
"Jacksonville, Florida",30.3322,-81.6749,1181496.0,470
"Salt Lake City, Utah",40.7777,-111.9306,1098526.0,699
"Nashville, Tennessee",36.1715,-86.7843,1081903.0,544
"Richmond, Virginia",37.5295,-77.4756,1075798.0,1484
"Memphis, Tennessee",35.1046,-89.9773,1066967.0,792
"Raleigh, North Carolina",35.8325,-78.6435,1038738.0,1254
"New Orleans, Louisiana",30.0687,-89.9288,1020886.0,889
"Louisville, Kentucky",38.1663,-85.6485,1005654.0,905
"Oklahoma City, Oklahoma",35.4676,-97.5136,972943.0,417
"Bridgeport, Connecticut",41.1918,-73.1953,924449.0,3470
"Buffalo, New York",42.9016,-78.8487,914341.0,2441
"Fort Worth, Texas",32.7811,-97.3473,909585,1016
"Hartford, Connecticut",41.7661,-72.6834,905152.0,2712
"Tucson, Arizona",32.1545,-110.8782,888486.0,889
"Omaha, Nebraska",41.2627,-96.0522,847819.0,1309
"El Paso, Texas",31.8479,-106.4309,843386.0,1022
"Honolulu, Hawaii",21.3294,-157.8460,820987.0,2200
"McAllen, Texas",26.2273,-98.2471,804114.0,841
"Albuquerque, New Mexico",35.1053,-106.6464,761195.0,1155
"Birmingham, Alabama",33.5277,-86.7987,739573.0,553
"Sarasota, Florida",27.3386,-82.5431,722243.0,1528
"Dayton, Ohio",39.7797,-84.1998,718353.0,978
"Rochester, New York",43.1680,-77.6162,703952.0,2220
"Fresno, California",36.7831,-119.7941,703498.0,1789
"Allentown, Pennsylvania",40.5961,-75.4756,683794.0,2672
"Tulsa, Oklahoma",36.1284,-95.9042,671033.0,784
"Cape Coral, Florida",26.6446,-81.9956,668382.0,708
"Concord, California",37.9722,-122.0016,652308.0,1633
"Colorado Springs, Colorado",38.8674,-104.7606,642413.0,946
"Charleston, South Carolina",32.8153,-79.9628,628377.0,480
"Springfield, Massachusetts",42.1155,-72.5395,623401.0,1860
"Grand Rapids, Michigan",42.9620,-85.6562,609314.0,1734
"Mission Viejo, California",33.6095,-117.6550,590249.0,2058
"Albany, New York",42.6664,-73.7987,586383.0,1740
"Knoxville, Tennessee",35.9692,-83.9496,586048.0,733
"Bakersfield, California",35.3529,-119.0359,579295.0,990
"Ogden, Utah",41.2278,-111.9682,578523.0,1230
"Baton Rouge, Louisiana",30.4418,-91.1310,570308.0,983
"Akron, Ohio",41.0798,-81.5219,565208.0,1231
"New Haven, Connecticut",41.3112,-72.9246,564830.0,2690
"Columbia, South Carolina",34.0376,-80.9037,560041.0,373
"Mesa, Arizona",33.4017,-111.7180,518012,1448
"Palm Bay, Florida",27.9550,-80.6627,507002.0,456
"Provo, Utah",40.2457,-111.6457,500617.0,1080
"Worcester, Massachusetts",42.2705,-71.8079,498328.0,1916
"Murrieta, California",33.5720,-117.1909,496046.0,1335
"Greenville, South Carolina",34.8353,-82.3647,484465.0,920
"Wichita, Kansas",37.6896,-97.3442,482249.0,931
"Toledo, Ohio",41.6639,-83.5822,482111.0,1308
"Staten Island, New York",40.5834,-74.1496,476143,3156
"Des Moines, Iowa",41.5725,-93.6105,473957.0,938
"Long Beach, California",33.7981,-118.1675,462628,3523
"Port St. Lucie, Florida",27.2796,-80.3883,461152.0,653
"Denton, Texas",33.2176,-97.1419,457177.0,567
"Madison, Wisconsin",43.0826,-89.3931,447245.0,1263
"Reno, Nevada",39.5497,-119.8483,445020.0,907
"Harrisburg, Pennsylvania",40.2752,-76.8843,442289.0,2343
"Little Rock, Arkansas",34.7256,-92.3576,439815.0,634
"Oakland, California",37.7903,-122.2165,433031,2991
"Durham, North Carolina",35.9794,-78.9031,424700.0,959
"Winston-Salem, North Carolina",36.1029,-80.2611,422269.0,721
"Bonita Springs, Florida",26.3559,-81.7861,421291.0,600
"Indio, California",33.7346,-116.2346,417059.0,1066
"Palm Coast, Florida",29.5392,-81.2460,417007.0,364
"Chattanooga, Tennessee",35.0657,-85.2488,415501.0,493
"Spokane, Washington",47.6671,-117.4330,412275.0,1247
"Syracuse, New York",43.0409,-76.1438,404223.0,2195
"Lancaster, Pennsylvania",40.0421,-76.3012,401524.0,3166
"Arlington, Texas",32.6998,-97.1250,398854,1607
"Stockton, California",37.9765,-121.3109,397264.0,1941
"Poughkeepsie, New York",41.6949,-73.9210,394760.0,2290
"Augusta, Georgia",33.3645,-82.0708,390809.0,252
"Boise, Idaho",43.6007,-116.2312,389280.0,1056
"Oxnard, California",34.1963,-119.1815,387647.0,3040
"Scranton, Pennsylvania",41.4044,-75.6649,384250.0,1169
"Modesto, California",37.6374,-121.0028,383134.0,1933
"Kissimmee, Florida",28.3042,-81.4164,382720.0,1349
"Aurora, Colorado",39.7087,-104.7273,379289,949
"Youngstown, Ohio",41.0993,-80.6463,378732.0,744
"Fayetteville, Arkansas",36.0713,-94.1660,351246.0,625
"Anaheim, California",33.8390,-117.8572,350365,2688
"Pensacola, Florida",30.4427,-87.1886,346921.0,903
"Victorville, California",34.5277,-117.3536,346789.0,641
"Lancaster, California",34.6935,-118.1753,343304.0,645
"Greensboro, North Carolina",36.0956,-79.8269,343090.0,887
"Corpus Christi, Texas",27.7260,-97.3755,342464.0,789
"Fort Wayne, Indiana",41.0886,-85.1437,334122.0,943
"Santa Ana, California",33.7366,-117.8819,332318,4689
"Flint, Michigan",43.0235,-83.6922,332190.0,1103
"San Juan, Puerto Rico",18.4037,-66.0636,331165,3234
"Fayetteville, North Carolina",35.0846,-78.9776,327435.0,552
"Jackson, Mississippi",32.3163,-90.2124,325350.0,558
"Santa Rosa, California",38.4458,-122.7067,324634.0,1605
"Lansing, Michigan",42.7142,-84.5601,324286.0,1164
"Ann Arbor, Michigan",42.2755,-83.7312,322267.0,1659
"Henderson, Nevada",36.0133,-115.0380,320189,1165
"Huntsville, Alabama",34.6988,-86.6412,319249.0,361
"Lexington, Kentucky",38.0423,-84.4587,317110.0,439
"Mobile, Alabama",30.6783,-88.1162,315502.0,522
"Fort Collins, Colorado",40.5478,-105.0656,312666.0,1149
"Asheville, North Carolina",35.5704,-82.5536,312507.0,786
"Santa Clarita, California",34.4175,-118.4964,312446.0,1162
"St. Paul, Minnesota",44.9477,-93.1040,308096,2288
"Antioch, California",37.9789,-121.7958,302419.0,1466
"Lakeland, Florida",28.0556,-81.9545,302284.0,654
"Trenton, New Jersey",40.2236,-74.7641,290716.0,4238
"Lincoln, Nebraska",40.8090,-96.6788,289490.0,1160
"Springfield, Missouri",37.1943,-93.2916,288090.0,786
"Plano, Texas",33.0502,-96.7487,287677,1549
"Irvine, California",33.6772,-117.7738,287401,1691
"Davenport, Iowa",41.5563,-90.6052,285362.0,617
"Rockford, Illinois",42.2597,-89.0641,282762.0,873
"Newark, New Jersey",40.7245,-74.1725,282011,4509
"South Bend, Indiana",41.6767,-86.2696,280498.0,938
"Shreveport, Louisiana",32.4656,-93.7956,280062.0,672
"Round Lake Beach, Illinois",42.3790,-88.0811,279381.0,2073
"Savannah, Georgia",32.0281,-81.1784,276295.0,536
"Myrtle Beach, South Carolina",33.7096,-78.8843,275579.0,568
"Chula Vista, California",32.6281,-117.0145,274492,2134
"Eugene, Oregon",44.0563,-123.1173,273439.0,1510
"Canton, Ohio",40.8075,-81.3677,269418.0,1040
"Lubbock, Texas",33.5659,-101.8878,267648.0,741
"Reading, Pennsylvania",40.3400,-75.9267,267155.0,3466
"Winter Haven, Florida",28.0118,-81.7017,267069.0,538
"Salem, Oregon",44.9231,-123.0246,266804.0,1382
"St. Petersburg, Florida",27.7931,-82.6652,265351,1656
"Lafayette, Louisiana",30.2084,-92.0323,264357.0,877
"Laredo, Texas",27.5629,-99.4875,262079.0,958
"Jersey City, New Jersey",40.7161,-74.0682,262075,6863
"Concord, North Carolina",35.3933,-80.6366,261801.0,585
"Columbus, Georgia",32.5100,-84.8771,261445.0,349
"Chandler, Arizona",33.2826,-111.8516,261165,1548
"McKinney, Texas",33.2015,-96.6669,258277.0,1148
"Scottsdale, Arizona",33.6872,-111.8651,258069,541
"Killeen, Texas",31.0754,-97.7296,258009.0,1073
"Tallahassee, Florida",30.4551,-84.2526,257601.0,747
"Peoria, Illinois",40.7520,-89.6153,256286.0,888
"Wilmington, North Carolina",34.2100,-77.8866,255616.0,929
"Montgomery, Alabama",32.3473,-86.2666,254634.0,479
"Gilbert, Arizona",33.3101,-111.7463,254114,1432
"Glendale, Arizona",33.5791,-112.2311,252381,1582
"North Las Vegas, Nevada",36.2880,-115.0901,251974,992
"Anchorage, Alaska",61.1508,-149.1091,247949.0,65
"Chesapeake, Virginia",36.6778,-76.3024,244835,279
"Barnstable Town, Massachusetts",41.6722,-70.3599,242847.0,286
"Norfolk, Virginia",36.8945,-76.2590,242742,1759
"Fremont, California",37.5265,-121.9852,241110,1201
"Kennewick, Washington",46.1978,-119.1732,240735.0,1186
"Garland, Texas",32.9100,-96.6305,239928,1623
"Irving, Texas",32.8584,-96.9702,239798,1380
"Visalia, California",36.3276,-119.3269,237386.0,1370
"Atlantic City, New Jersey",39.3797,-74.4527,237054.0,1354
"Nashua, New Hampshire",42.7491,-71.4910,233917.0,1118
"Paradise, Nevada",36.0807,-115.1369,233689,1930
"Hialeah, Florida",25.8696,-80.3046,233339,4174
"York, Pennsylvania",39.9651,-76.7315,233184.0,3204
"Arlington, Virginia",38.8786,-77.1011,231803,3442
"Evansville, Indiana",37.9881,-87.5341,230427.0,962
"Avondale, Arizona",33.3858,-112.3236,227289.0,750
"Brownsville, Texas",25.9980,-97.4565,227239.0,533
"Gulfport, Mississippi",30.4271,-89.0703,220987.0,497
"Appleton, Wisconsin",44.2779,-88.3891,220570.0,1156
"Bremerton, Washington",47.5436,-122.7122,218400.0,561
"Hickory, North Carolina",35.7425,-81.3230,218323.0,536
"Tacoma, Washington",47.2431,-122.4531,217827,1690
"San Bernardino, California",34.1417,-117.2946,215784,1341
"College Station, Texas",30.5852,-96.2960,215243.0,890
"Kalamazoo, Michigan",42.2749,-85.5882,215193.0,1192
"Thousand Oaks, California",34.1914,-118.8755,215029.0,885
"Roanoke, Virginia",37.2785,-79.9580,214674.0,900
"Fontana, California",34.0968,-117.4599,214547,1923
"Moreno Valley, California",33.9244,-117.2045,213055,1604
