city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Algiers,504512.1935113029,4068589.119160688,31,S,Algeria,DZ,Alger,primary,3354000,1977663
Oran,713396.1296701886,3952252.100099093,30,S,Algeria,DZ,Oran,admin,798000,645984
Constantine,285997.05894326454,4027075.6460355627,32,S,Algeria,DZ,Constantine,admin,605179,450097
Blida,484563.58890805,4036098.4960678737,31,S,Algeria,DZ,Blida,admin,511348,265000
Annaba,390116.94906815555,4084489.292628657,32,S,Algeria,DZ,Annaba,admin,503524,206570
Chlef,350201.8466982139,4003562.6736450004,31,S,Algeria,DZ,Chlef,admin,449167,449167
Bejaïa,686058.64071853,4069816.4739089785,31,S,Algeria,DZ,Bejaïa,admin,384937,164103
Batna,244261.17384845437,3938287.253543699,32,S,Algeria,DZ,Batna,admin,280798,258136
Sétif,717037.4981061555,4007847.292992052,31,S,Algeria,DZ,Sétif,admin,274744,274744
Tlemcen,653994.0289983487,3860845.871993724,30,S,Algeria,DZ,Tlemcen,admin,229777,132341
Skikda,313656.64297492005,4083176.8799954467,32,S,Algeria,DZ,Skikda,admin,225181,162702
Sidi Bel Abbès,715709.2861640668,3896677.647578683,30,S,Algeria,DZ,Sidi Bel Abbès,admin,208604,191769
Biskra,749423.960984696,3859845.4373102253,31,S,Algeria,DZ,Biskra,admin,202103,202103
Mostaganem,237391.04823547392,3980228.565281696,31,S,Algeria,DZ,Mostaganem,admin,188354,130000
Tiaret,347111.5144479204,3915490.2018149984,31,S,Algeria,DZ,Tiaret,admin,184195,184195
El Oued,301175.04449787457,3692802.259993446,32,S,Algeria,DZ,El Oued,admin,177497,177497
Ouargla,719537.618027281,3535587.629839816,31,R,Algeria,DZ,Ouargla,admin,176271,176271
Tébessa,420472.72926686355,3918217.30464349,32,S,Algeria,DZ,Tébessa,admin,171742,171742
Djelfa,524093.90146030026,3836788.823331695,31,S,Algeria,DZ,Djelfa,admin,170901,170901
M’Sila,639491.4395286349,3952417.448890064,31,S,Algeria,DZ,M’sila,admin,150000,100000
Jijel,746581.2503913515,4078509.5918451333,31,S,Algeria,DZ,Jijel,admin,148000,148000
Médéa,477896.1169837788,4013277.380694583,31,S,Algeria,DZ,Médéa,admin,147707,144020
Béchar,574297.2129619188,3498213.666232091,30,R,Algeria,DZ,Béchar,admin,143382,141449
Saïda,239516.15949946758,3857927.8770827036,31,S,Algeria,DZ,Saïda,admin,142213,127497
Bordj Bou Arreridj,658582.8365260996,3993504.420107131,31,S,Algeria,DZ,Bordj Bou Arréridj,admin,140000,129000
Souk Ahras,405807.5193476217,4016224.2246501013,32,S,Algeria,DZ,Souk Ahras,admin,134947,134947
Touggourt,225444.67922702985,3666809.3396248757,32,S,Algeria,DZ,Ouargla,,133954,49044
Ghardaïa,562638.2950665298,3594207.2743942053,31,S,Algeria,DZ,Ghardaïa,admin,125480,125480
Guelma,358972.9668903121,4036359.393374646,32,S,Algeria,DZ,Guelma,admin,123590,123590
Laghouat,487517.13312097307,3739988.907211334,31,S,Algeria,DZ,Laghouat,admin,113872,102686
Bouira,580909.4256162758,4025908.7070901385,31,S,Algeria,DZ,Bouira,admin,110144,110144
Mascara,240274.64198054647,3920787.0495735034,31,S,Algeria,DZ,Mascara,admin,108230,108230
Oum el Bouaghi,329699.83244703826,3971773.1705729384,32,S,Algeria,DZ,Oum el Bouaghi,admin,100821,100821
Tamanrasset,759004.7829823366,2521928.896894033,31,Q,Algeria,DZ,Tamanrasset,admin,76000,67616
El Bayadh,316393.68200709287,3728788.596684987,31,S,Algeria,DZ,El Bayadh,admin,67413,67413
Aïn Sefra,726417.5402683819,3626156.567696066,30,S,Algeria,DZ,Naama,,63420,38816
Adrar,767257.3236687549,3085864.9709430356,30,R,Algeria,DZ,Adrar,admin,56910,56910
Timimoun,230930.0315249128,3240402.0784579767,31,R,Algeria,DZ,Adrar,,49237,3899
I-n-Salah,446583.786448075,3007983.2179284156,31,R,Algeria,DZ,Tamanrasset,,49223,8041
Reggane,218588.79613487073,2958078.656043198,31,R,Algeria,DZ,Adrar,,32974,11729
El Golea,488812.2119425643,3381585.154674292,31,R,Algeria,DZ,Ghardaïa,,32049,32049
Tindouf,584081.250156391,3061060.823818604,29,R,Algeria,DZ,Tindouf,admin,18270,18270
Hassi Messaoud,220674.10515318188,3511176.4109990015,32,R,Algeria,DZ,Ouargla,,18124,18124
Abadla,526356.0546276108,3431740.231726421,30,R,Algeria,DZ,Béchar,,14364,14364
Illizi,446845.120670937,2929322.0335088787,32,R,Algeria,DZ,Illizi,admin,7957,6629
Beni Ounif,665336.1317965357,3547179.8758809823,30,S,Algeria,DZ,Béchar,,5628,5628
I-n-Amguel,720434.9322081895,2622543.1458316552,31,Q,Algeria,DZ,Tamanrasset,,3030,3030
Djanet,549200.6237490153,2715511.44368605,32,R,Algeria,DZ,Illizi,,666,666
I-n-Amenas,553183.6352306332,3102162.886023756,32,R,Algeria,DZ,Illizi,,216,216
Mila,254832.3924774661,4037371.509840167,32,S,Algeria,DZ,Mila,admin,,
Khenchela,331469.5559785088,3922960.5374012375,32,S,Algeria,DZ,Khenchela,admin,,
Tizi Ouzou,593412.8264554832,4063414.6721847276,31,S,Algeria,DZ,Tizi Ouzou,admin,,
El Tarf,438755.98242497124,4069267.040799792,32,S,Algeria,DZ,El Tarf,admin,,
Aïn Defla,407288.5807601663,4013730.6185029633,31,S,Algeria,DZ,Aïn Defla,admin,,
Relizane,278977.3380711182,3957570.9746128195,31,S,Algeria,DZ,Relizane,admin,,
Naama,749945.6814841004,3684062.230933645,30,S,Algeria,DZ,Naama,admin,,
Boumerdes,542380.6461381338,4068239.211751358,31,S,Algeria,DZ,Boumerdes,admin,,
Tipasa,450577.63853643043,4049502.514361381,31,S,Algeria,DZ,Tipaza,admin,,
Tissemsilt,392289.6733643679,3941035.9132332457,31,S,Algeria,DZ,Tissemsilt,admin,,
Aïn Temouchent,669087.5388913362,3907620.1480625034,30,S,Algeria,DZ,Aïn Temouchent,admin,,
