city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Sydney,334000.6245371278,6251753.824258294,56,H,Australia,AU,New South Wales,admin,4630000,3641422
South Melbourne,321066.13359643205,5810728.843983308,55,H,Australia,AU,Victoria,,4170000,93625
Brisbane,502400.01269225066,6961394.081123838,56,J,Australia,AU,Queensland,admin,1860000,926353
Perth,392394.0107676641,6464292.2465096265,50,J,Australia,AU,Western Australia,admin,1532000,880216
Adelaide,280658.978785909,6132235.456113139,54,H,Australia,AU,South Australia,admin,1145000,836354
Newcastle,386355.7358490956,6356062.666070914,56,H,Australia,AU,New South Wales,,1134616,497955
Gold Coast,542365.1236717174,6902690.717056034,56,J,Australia,AU,Queensland,,527660,332249
Cranbourne,349480.6906698802,5781698.09369851,55,H,Australia,AU,Victoria,,460491,39419
Canberra,694121.7377502917,6094256.891052015,55,H,Australia,AU,Australian Capital Territory,primary,327700,234032
Wollongong,306420.4948704777,6188817.856610382,56,H,Australia,AU,New South Wales,,260914,141725
Geelong,268512.2100614518,5773859.616766184,55,H,Australia,AU,Victoria,,160991,137681
Cairns,368613.7921911826,8128546.823382911,55,K,Australia,AU,Queensland,,154225,109989
Townsville,479582.15243150096,7869685.233271763,55,K,Australia,AU,Queensland,,138954,119470
Albury,493157.31662509264,6007749.858245263,55,H,Australia,AU,New South Wales,,104258,32810
Nowra,280698.26309412,6137169.002142056,56,H,Australia,AU,New South Wales,,94781,27292
Darwin,699622.7829917008,8622196.699069064,52,L,Australia,AU,Northern Territory,admin,93080,72866
Toowoomba,396723.02978361724,6951038.824203319,56,J,Australia,AU,Queensland,,92800,80622
Ballarat,752839.2369323013,5838854.653144071,54,H,Australia,AU,Victoria,,85109,61699
Bendigo,257216.43379056553,5928503.187805558,55,H,Australia,AU,Victoria,,81657,55923
Hobart,527084.6236728398,5252101.166524813,55,G,Australia,AU,Tasmania,admin,80870,47700
North Mackay,726775.329032797,7663383.250161773,55,K,Australia,AU,Queensland,,75922,56185
Mandurah,379949.3672033814,6400438.719092132,50,H,Australia,AU,Western Australia,,73356,32376
Launceston,511250.8492321808,5412525.914598471,55,G,Australia,AU,Tasmania,,72458,57755
Rockhampton,245072.19948320623,7412175.166517419,56,K,Australia,AU,Queensland,,65850,52199
Coffs Harbour,510915.1158569962,6648380.333263957,56,J,Australia,AU,New South Wales,,62978,34944
Wagga Wagga,532230.4164396693,6112952.017336532,55,H,Australia,AU,New South Wales,,55381,35717
Bundaberg,434124.77557636256,7249708.746300017,56,J,Australia,AU,Queensland,,52472,39652
Port Macquarie,491345.8081759976,6522644.987928955,56,J,Australia,AU,New South Wales,,48547,35593
Mildura,607123.7079968066,6216664.17659791,54,H,Australia,AU,Victoria,,47867,18782
Taree,448365.2667037306,6469300.241746466,56,J,Australia,AU,New South Wales,,44182,16081
Orange,695562.4909351481,6315361.787917985,55,H,Australia,AU,New South Wales,,39329,34087
Caloundra,513687.468059503,7036031.056823695,56,J,Australia,AU,Queensland,,38706,28768
West Tamworth,300615.30522712716,6556742.980703082,56,J,Australia,AU,New South Wales,,38551,31609
Kalgoorlie,353147.12621482334,6597789.942113176,51,J,Australia,AU,Western Australia,,36852,27264
Shepparton,356366.411830159,5972659.794591991,55,H,Australia,AU,Victoria,,33550,33311
Mount Isa,343525.3788024314,7707535.249223026,54,K,Australia,AU,Queensland,,33200,21992
Tweed Heads,553205.2949021325,6883225.333041649,56,J,Australia,AU,New South Wales,,33065,33065
Queanbeyan,702806.942891398,6085308.836573861,55,H,Australia,AU,New South Wales,,32602,32214
Melton,287083.3202522425,5826568.91204061,55,H,Australia,AU,Victoria,,32368,27132
Dubbo,651193.510398173,6431504.75254361,55,H,Australia,AU,New South Wales,,31574,29361
Caboolture,495151.6184565841,7004187.992796279,56,J,Australia,AU,Queensland,,31513,21478
North Lismore,527649.6307068423,6814139.40528405,56,J,Australia,AU,New South Wales,,31430,24701
Gladstone,322424.49273002,7361552.313987652,56,K,Australia,AU,Queensland,,30489,27621
Warrnambool,629964.8654932915,5750778.564519188,54,H,Australia,AU,Victoria,,29928,29836
Sunbury,299201.5745956037,5838638.871554541,55,H,Australia,AU,Victoria,,29925,7430
Alice Springs,386183.1276661888,7378820.4016229715,53,K,Australia,AU,Northern Territory,,27710,26188
Geraldton,267132.72444149625,6814167.492442414,50,J,Australia,AU,Western Australia,,27258,26872
Bunbury,373548.3942989515,6311624.852434147,50,H,Australia,AU,Western Australia,,26998,26369
Albany,579017.6090020732,6126270.507660522,50,H,Australia,AU,Western Australia,,26445,23913
Hervey Bay,487291.6718523119,7202876.775663605,56,J,Australia,AU,Queensland,,25114,25114
Mount Gambier,480569.2644054384,5812823.99826879,54,H,Australia,AU,South Australia,,23209,20428
Armidale,372496.13468445046,6624140.261579029,56,J,Australia,AU,New South Wales,,22673,20914
Whyalla,739540.5370292749,6342166.198468115,53,H,Australia,AU,South Australia,,22559,19645
Sale,505963.31658587116,5781872.545644813,55,H,Australia,AU,Victoria,,22486,12917
Katoomba,250877.68457924385,6266416.512432266,56,H,Australia,AU,New South Wales,,22076,18593
Goulburn,749063.7816700032,6151136.185307827,55,H,Australia,AU,New South Wales,,20940,11948
Maryborough,470355.72255465353,7175142.889800537,56,J,Australia,AU,Queensland,,20678,17163
Kwinana,385170.16275967495,6433404.399156135,50,H,Australia,AU,Western Australia,,20086,17549
Burnie,407880.59917505446,5454465.287185622,55,G,Australia,AU,Tasmania,,19972,17009
Echuca,297723.4912025551,5998118.72037776,55,H,Australia,AU,Victoria,,19457,7463
Devonport,445607.5478922393,5441396.954248363,55,G,Australia,AU,Tasmania,,19317,16548
Roebourne,515246.1621372491,7703046.514638875,50,K,Australia,AU,Western Australia,,19260,3303
East Maitland,367283.2575876983,6375539.813839029,56,H,Australia,AU,New South Wales,,18625,1428
Traralgon,459852.15280500887,5772418.789241673,55,H,Australia,AU,Victoria,,18226,15739
Murray Bridge,342671.7001994004,6112300.621095025,54,H,Australia,AU,South Australia,,18194,10177
Forster,454482.09694374364,6439359.700286524,56,H,Australia,AU,New South Wales,,17591,8960
