city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Vienna,601551.4892620614,5339432.74412694,33,U,Austria,AT,Wien,primary,2400000,1731000
Linz,448086.7500778972,5349881.632879539,33,U,Austria,AT,Oberösterreich,admin,349161,181162
Graz,534168.9065252407,5212670.856825049,33,T,Austria,AT,Steiermark,admin,263234,222326
Salzburg,352732.1464225473,5295944.158031026,33,T,Austria,AT,Salzburg,admin,206279,150269
Innsbruck,681547.4332351517,5237592.209133575,32,T,Austria,AT,Tirol,admin,155214,112467
Klagenfurt,446814.75959202787,5163696.578959063,33,T,Austria,AT,Kärnten,admin,90610,86566
Wiener Neustadt,593603.4903315713,5294827.904544942,33,T,Austria,AT,Niederösterreich,minor,82762,38481
Bregenz,557740.1735541506,5261014.556703685,32,T,Austria,AT,Vorarlberg,admin,26928,26928
Eisenstadt,613462.8112755348,5300742.05731375,33,T,Austria,AT,Burgenland,admin,13165,13165
Dornbirn,555296.1387717929,5251728.955550671,32,T,Austria,AT,Vorarlberg,minor,,
Deutschlandsberg,516952.6917614085,5184660.928527532,33,T,Austria,AT,Steiermark,minor,,
Hartberg,573101.7357070526,5237103.759547449,33,T,Austria,AT,Steiermark,minor,,
Vöcklabruck,399329.47858522105,5319034.37103605,33,U,Austria,AT,Oberösterreich,minor,,
Judenburg,474737.0894933256,5223739.371108027,33,T,Austria,AT,Steiermark,minor,,
Villach,412383.8876289919,5162492.973310257,33,T,Austria,AT,Kärnten,minor,,
Sankt Johann im Pongau,364051.97456390393,5245630.432845863,33,T,Austria,AT,Salzburg,minor,,
Voitsberg,511396.74122798606,5208879.213138951,33,T,Austria,AT,Steiermark,minor,,
Zwettl,512283.71893458493,5384857.299839677,33,U,Austria,AT,Niederösterreich,minor,,
Scheibbs,512432.6069596297,5316313.662712898,33,U,Austria,AT,Niederösterreich,minor,,
Kirchdorf,433980.35116909584,5305563.354062537,33,T,Austria,AT,Oberösterreich,minor,,
Gmunden,410341.9899410436,5307735.045638375,33,T,Austria,AT,Oberösterreich,minor,,
Hollabrunn,579948.4955561244,5377999.925403637,33,U,Austria,AT,Niederösterreich,minor,,
Wels,428123.92542603787,5335276.628728675,33,U,Austria,AT,Oberösterreich,minor,,
Gmünd,498775.24919870216,5401517.920650953,33,U,Austria,AT,Niederösterreich,minor,,
Völkermarkt,472033.74408795347,5167694.066892928,33,T,Austria,AT,Kärnten,minor,,
Kitzbühel,302748.5884837243,5258492.236810519,33,T,Austria,AT,Tirol,minor,,
Freistadt,463064.1314023705,5371996.2826230815,33,U,Austria,AT,Oberösterreich,minor,,
Tulln,577818.8863126066,5353882.579564103,33,U,Austria,AT,Niederösterreich,minor,,
Schwaz,703982.87310326,5245742.609043362,32,T,Austria,AT,Tirol,minor,,
Tamsweg,408996.9990438694,5220679.622763887,33,T,Austria,AT,Salzburg,minor,,
Mistelbach,616309.0511017423,5380856.503554065,33,U,Austria,AT,Niederösterreich,minor,,
Zell am See,332478.22198629373,5242737.885112479,33,T,Austria,AT,Salzburg,minor,,
Sankt Pölten,547060.7963361525,5338723.684199719,33,U,Austria,AT,Niederösterreich,admin,,
Horn,547874.7405142334,5388752.990990419,33,U,Austria,AT,Niederösterreich,minor,,
Leibnitz,541347.9609062715,5181044.456358676,33,T,Austria,AT,Steiermark,minor,,
Perg,472780.7199673794,5344152.272522166,33,U,Austria,AT,Oberösterreich,minor,,
