city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Baku,405138.2641647911,4472230.41692256,39,T,Azerbaijan,AZ,Bakı,primary,2122300,1892000
Gəncə,614973.3286109602,4504433.334061881,38,T,Azerbaijan,AZ,Gəncə,admin,303268,300131
Sumqayıt,387335.1340206136,4494065.707638927,39,T,Azerbaijan,AZ,Sumqayıt,admin,279159,265150
Hacıvar,538509.9175083869,4339961.171508652,38,S,Azerbaijan,AZ,Babək,,94788,64754
Şəki,682022.3373047047,4562336.276234197,38,T,Azerbaijan,AZ,Şəki,admin,64968,62191
Lənkəran,312932.6149171678,4291894.97618353,39,S,Azerbaijan,AZ,Lənkəran,admin,60180,60180
Yevlax,681230.1107486209,4497974.144167884,38,T,Azerbaijan,AZ,Yevlax,admin,53716,46312
Göyçay,731849.6440089607,4503582.361467119,38,T,Azerbaijan,AZ,Göyçay,admin,35348,34715
Tovuz,552854.2069996953,4538113.1731389165,38,T,Azerbaijan,AZ,Tovuz,admin,12626,12626
Qəbələ,739690.4486271035,4540721.609746167,38,T,Azerbaijan,AZ,Qəbələ,admin,11867,11867
Gədəbəy,568756.4984968984,4491402.927639408,38,T,Azerbaijan,AZ,Gədəbəy,admin,8657,8657
Goranboy,651405.2509148985,4497035.160906228,38,T,Azerbaijan,AZ,Goranboy,admin,7333,7333
Oğuz,707119.4926475072,4549598.353570685,38,T,Azerbaijan,AZ,Oğuz,admin,6876,6876
Zaqatala,637002.791401122,4610180.661036014,38,T,Azerbaijan,AZ,Zaqatala,admin,,
Mingəçevir,673831.9489833766,4514593.913533696,38,T,Azerbaijan,AZ,Mingəçevir,admin,,
Xızı,338397.71675122716,4530067.940597295,39,T,Azerbaijan,AZ,Xızı,admin,,
Xırdalan,394425.6034365579,4478236.398530296,39,T,Azerbaijan,AZ,Abşeron,admin,,
Heydərabad,487012.274043069,4397008.770480126,38,S,Azerbaijan,AZ,Sədərək,admin,,
Zəngilan,642814.9616393002,4327884.423972028,38,S,Azerbaijan,AZ,Zəngilan,admin,,
Ağstafa,537513.4219111899,4551601.040272612,38,T,Azerbaijan,AZ,Ağstafa,admin,,
Ucar,724898.9144045946,4488380.266824657,38,T,Azerbaijan,AZ,Ucar,admin,,
Göygöl,611614.1964104294,4493618.649386199,38,T,Azerbaijan,AZ,Göygöl,admin,,
Xocavənd,680643.3255880295,4407185.490998062,38,S,Azerbaijan,AZ,Xocavənd,admin,,
Xaçmaz,316747.3729646953,4592620.394767218,39,T,Azerbaijan,AZ,Xaçmaz,admin,,
Kəlbəcər,589012.6226427611,4440471.449300485,38,T,Azerbaijan,AZ,Kəlbəcər,admin,,
Yardımlı,260722.050316417,4310155.773572759,39,S,Azerbaijan,AZ,Yardımlı,admin,,
Daşkəsən,591638.6995849581,4486473.3758198,38,T,Azerbaijan,AZ,Daşkəsən,admin,,
Kürdəmir,258010.33843458007,4469982.216802574,39,T,Azerbaijan,AZ,Kürdəmir,admin,,
Hacıqabul,324496.2764086267,4434084.6171897575,39,T,Azerbaijan,AZ,Hacıqabul,admin,,
Qax,660489.5983682808,4586969.154469053,38,T,Azerbaijan,AZ,Qax,admin,,
Qazax,530705.2126593951,4549085.472894236,38,T,Azerbaijan,AZ,Qazax,admin,,
Tərtər,664130.3574159024,4467486.237541263,38,T,Azerbaijan,AZ,Tərtər,admin,,
Biləsuvar,288782.9821477238,4370517.041890239,39,S,Azerbaijan,AZ,Biləsuvar,admin,,
Şəmkir,585819.4171469429,4520356.374243363,38,T,Azerbaijan,AZ,Şəmkir,admin,,
Qubadlı,636310.6993468676,4356190.0258524455,38,S,Azerbaijan,AZ,Qubadlı,admin,,
Quba,292011.08846465615,4581824.67769469,39,T,Azerbaijan,AZ,Quba,admin,,
Qusar,285269.23564594577,4589402.360651179,39,T,Azerbaijan,AZ,Qusar,admin,,
Babək,538261.4905360171,4334025.41176985,38,S,Azerbaijan,AZ,Babək,minor,,
Füzuli,684190.9893135997,4385665.612630155,38,S,Azerbaijan,AZ,Füzuli,admin,,
Cəbrayıl,674653.9728064879,4363037.442333684,38,S,Azerbaijan,AZ,Cəbrayıl,admin,,
Salyan,326966.25246551156,4384882.44248792,39,S,Azerbaijan,AZ,Salyan,admin,,
Xocalı,653016.381766659,4419632.2853592085,38,S,Azerbaijan,AZ,Xocalı,admin,,
Astara,314580.3212915489,4258547.569559287,39,S,Azerbaijan,AZ,Astara,admin,,
Culfa,554554.572987531,4311857.056805051,38,S,Azerbaijan,AZ,Culfa,minor,,
