city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Brussels,593892.5234456632,5632138.2433829615,31,U,Belgium,BE,Brussels-Capital Region,primary,1743000,1019022
Antwerp,597888.7458129921,5674543.569384757,31,U,Belgium,BE,Flanders,minor,920000,459805
Liège,681737.1453680792,5612797.895805122,31,U,Belgium,BE,Wallonia,minor,749110,196496
Gent,550233.8942562559,5655629.433846725,31,U,Belgium,BE,Flanders,minor,444336,231493
Charleroi,603206.3478559569,5585167.597403097,31,U,Belgium,BE,Wallonia,minor,345367,200132
Brugge,515784.28261699004,5673306.122230929,31,U,Belgium,BE,Flanders,minor,146469,116709
Namur,629563.622382857,5592473.44993662,31,U,Belgium,BE,Wallonia,admin,106284,88027
Mons,567553.2513748661,5589684.314777741,31,U,Belgium,BE,Wallonia,minor,91277,91277
Hasselt,663954.276534293,5645003.982918061,31,U,Belgium,BE,Flanders,minor,69222,69222
Arlon,703171.8242513683,5507232.407314802,31,U,Belgium,BE,Wallonia,minor,26179,26179
Mouscron,514561.40413548786,5621485.297630066,31,U,Belgium,BE,Wallonia,minor,,
Vilvoorde,598902.6070676069,5641970.797855445,31,U,Belgium,BE,Flanders,minor,,
Virton,683114.0280748089,5493708.870842641,31,U,Belgium,BE,Wallonia,minor,,
Tournai,527548.500103733,5606212.294985622,31,U,Belgium,BE,Wallonia,minor,,
Leuven,619526.9261219092,5637781.842542131,31,U,Belgium,BE,Flanders,minor,,
Ieper,491953.1349644898,5633277.754059177,31,U,Belgium,BE,Flanders,minor,,
Roeselare,508625.7108006207,5643862.56354571,31,U,Belgium,BE,Flanders,minor,,
Dendermonde,577212.2210585552,5653592.272551806,31,U,Belgium,BE,Flanders,minor,,
Tielt,522950.4761991864,5649798.731299982,31,U,Belgium,BE,Flanders,minor,,
Veurne,476346.49010565353,5657919.964567309,31,U,Belgium,BE,Flanders,minor,,
Oudenaarde,542863.164291864,5633508.438021295,31,U,Belgium,BE,Flanders,minor,,
Philippeville,610182.5012275432,5561577.497431578,31,U,Belgium,BE,Wallonia,minor,,
Waremme,659227.0226958857,5618365.186889825,31,U,Belgium,BE,Wallonia,minor,,
Oostende,493844.57937458635,5674671.091576264,31,U,Belgium,BE,Flanders,minor,,
Wavre,615051.1132691122,5619277.718948592,31,U,Belgium,BE,Wallonia,minor,,
Thuin,591788.6573484623,5577392.878581529,31,U,Belgium,BE,Wallonia,minor,,
Ath,555027.4953183777,5608921.712284761,31,U,Belgium,BE,Wallonia,minor,,
Hannut,646902.9037416548,5615348.028381351,31,U,Belgium,BE,Wallonia,minor,,
Marche-en-Famenne,666520.1383689616,5563473.68884865,31,U,Belgium,BE,Wallonia,minor,,
Tongeren,673879.1794118932,5628631.7919524545,31,U,Belgium,BE,Flanders,minor,,
Maaseik,695397.3136700521,5664151.468757144,31,U,Belgium,BE,Flanders,minor,,
Mechelen,603738.2302423122,5654013.02671529,31,U,Belgium,BE,Flanders,minor,,
Lincent,643559.6181849022,5619914.676393321,31,U,Belgium,BE,Wallonia,minor,,
Huy,658866.783948957,5599246.5791869,31,U,Belgium,BE,Wallonia,minor,,
Nivelles,593881.4638986865,5606015.404254903,31,U,Belgium,BE,Wallonia,minor,,
Aalst,572759.5892219911,5643222.971741936,31,U,Belgium,BE,Flanders,minor,,
Enghien,572849.5165147587,5615810.474879149,31,U,Belgium,BE,Wallonia,minor,,
Soignies,575766.0741106311,5603602.667103197,31,U,Belgium,BE,Wallonia,minor,,
Dinant,637093.9165101046,5569826.950103688,31,U,Belgium,BE,Wallonia,minor,,
Eeklo,538894.7082414654,5670770.524665147,31,U,Belgium,BE,Flanders,minor,,
Neufchâteau,675101.2606202757,5523768.298005418,31,U,Belgium,BE,Wallonia,minor,,
Turnhout,635505.6480153829,5687488.687708666,31,U,Belgium,BE,Flanders,minor,,
Verviers,703652.4122273609,5607690.660601657,31,U,Belgium,BE,Wallonia,minor,,
Kortrijk,518847.94700712065,5630293.334073713,31,U,Belgium,BE,Flanders,minor,,
Bastogne,694795.9705688055,5542558.116780116,31,U,Belgium,BE,Wallonia,minor,,
Sint-Niklaas,579966.916426799,5668805.744891553,31,U,Belgium,BE,Flanders,minor,,
Diksmuide,490452.1016098479,5653445.952103524,31,U,Belgium,BE,Flanders,minor,,
