city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Santa Cruz,480697.1787677051,8033780.110596394,20,K,Bolivia,BO,Santa Cruz,,2102998,1616063
La Paz,590716.0415307431,8175564.990785642,19,K,Bolivia,BO,La Paz,primary,1590000,812799
Cochabamba,802110.1687820565,8075114.355584554,19,K,Bolivia,BO,Cochabamba,admin,1000000,608276
Oruro,695891.9761169881,8010681.783803027,19,K,Bolivia,BO,Oruro,admin,246501,208684
Quillacollo,789178.5355855824,8074994.401146095,19,K,Bolivia,BO,Cochabamba,,227052,227052
Sucre,262253.3341819809,7892370.447492328,20,K,Bolivia,BO,Chuquisaca,primary,224838,221736
Potosí,211179.53603655903,7832268.173364541,20,K,Bolivia,BO,Potosí,admin,179901,141251
Tarija,321022.01205091993,7618679.2611465445,20,K,Bolivia,BO,Tarija,admin,159269,151757
Montero,473384.252011732,8082962.518905979,20,K,Bolivia,BO,Santa Cruz,,88616,79026
Trinidad,295545.67207896546,8359239.887429394,20,L,Bolivia,BO,El Beni,admin,84259,54408
Riberalta,820960.2885225987,8781725.356338656,19,L,Bolivia,BO,El Beni,,74014,74014
Cobija,526543.0276133204,8781958.062531788,19,L,Bolivia,BO,Pando,admin,44437,26585
Villazón,232186.7294619038,7555146.545806954,20,K,Bolivia,BO,Potosí,,37215,30253
Bermejo,362679.3908800789,7485521.747686387,20,K,Bolivia,BO,Tarija,,36544,36544
Guayaramerín,239391.24433319372,8805118.422237495,20,L,Bolivia,BO,El Beni,,36008,36008
Viacha,574648.74645489,8159032.389375139,19,K,Bolivia,BO,La Paz,,34776,34776
Tupiza,218208.40561934916,7626328.368820332,20,K,Bolivia,BO,Potosí,,28766,22233
Llallagua,755219.107391911,7961173.608586922,19,K,Bolivia,BO,Potosí,,28069,28069
Camiri,445792.5933824653,7784175.47197937,20,K,Bolivia,BO,Santa Cruz,,27961,10464
Punata,199043.056523111,8058201.256430817,20,K,Bolivia,BO,Cochabamba,,26323,15194
San Ignacio de Velasco,718967.8290607228,8189401.113235962,20,K,Bolivia,BO,Santa Cruz,,25391,23569
Puerto Suárez,415772.7948630553,7904513.959903738,21,K,Bolivia,BO,Santa Cruz,,22000,12546
San Borja,731384.337773029,8360840.720393838,19,L,Bolivia,BO,El Beni,,19640,19640
Villamontes,451339.8657333292,7648744.139203416,20,K,Bolivia,BO,Tarija,,18761,18761
Cliza,188729.08626773785,8053012.413777413,20,K,Bolivia,BO,Cochabamba,,15816,8654
Ascensión,491070.88686745457,8264246.734520473,20,L,Bolivia,BO,Santa Cruz,,14429,9741
Uyuni,726010.2732450642,7735381.227249241,19,K,Bolivia,BO,Potosí,,12939,10293
Rurrenabaque,654483.4889183779,8400178.841814928,19,L,Bolivia,BO,El Beni,,11749,11749
Portachuelo,458265.0393675872,8081497.466989994,20,K,Bolivia,BO,Santa Cruz,,11485,8479
Puerto Quijarro,418738.0954264649,8033619.330543745,21,K,Bolivia,BO,Santa Cruz,,10392,10392
Roboré,209339.54161596816,7970739.895248576,21,K,Bolivia,BO,Santa Cruz,,10036,9882
Challapata,734840.3812184441,7908526.204806361,19,K,Bolivia,BO,Oruro,,9114,8016
