city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Sarajevo,289680.1912885085,4858541.185861062,34,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",primary,696731,628902
Banja Luka,673575.651732173,4960677.646594414,33,T,Bosnia And Herzegovina,BA,"Srpska, Republika",admin,221738,221106
Heca,731594.0226426143,4902983.162594754,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",,164423,138353
Mostar,727606.9305966124,4802772.290021579,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,163067,104518
Tuzla,314659.913331757,4934323.928155348,34,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,144334,142486
Prijedor,635137.609340459,4982147.6701976815,33,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,104858,36347
Kladanj,315722.0715639709,4899640.101990574,34,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Šekovići,328916.658451224,4907315.230833566,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Laktaši,681670.2059151127,4975370.112512303,33,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Lopare,328950.29347218445,4944664.987641959,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bosansko Grahovo,609018.7930302041,4892707.97258843,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Petrovo,290047.78165785817,4945039.949129556,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bosanski Petrovac,608727.4817152094,4934470.869781492,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Šamac,300612.7550834124,4992720.751705853,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Milići,347461.11496841826,4892541.980085289,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Čajniče,344266.2472847182,4824491.619521145,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Hreša,298910.1325824571,4861368.289199663,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bihać,568853.1767821072,4962984.347827919,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Hadžići,275375.59874346113,4855920.672198024,34,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Han Pijesak,336073.58952289145,4882974.840649237,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Sokolac,323495.3725766331,4867356.514950572,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Sapna,340869.5505187741,4929780.694893772,34,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Modriča,287196.3235181746,4981610.763789705,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kotor Varoš,688191.2111399622,4943287.96805535,33,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Vlasenica,335422.636303815,4894130.505046664,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kupres,682531.4337381757,4873584.466799694,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Bratunac,366592.080108196,4893725.310160838,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Glamoč,648097.4995898132,4878624.733295456,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Lukavac,303478.6446917681,4935101.359233599,34,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Srebrenica,363684.5017874284,4885220.996737667,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Donji Žabar,314343.2052176184,4979331.280462164,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Fojnica,732897.4279834217,4871474.338517393,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Omanjska,734323.4062204768,4953692.920697217,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Kopači,341079.3414346904,4838035.124230135,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Tešanj,736888.9291256634,4944176.88231653,33,T,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Ugljevik,343082.987375647,4947550.23826299,34,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Novo Selo,672589.2000821312,4883025.594910907,33,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Jezero,672858.3825545986,4912983.8355761,33,T,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Brčko,327014.0292804484,4970836.5910847625,34,T,Bosnia And Herzegovina,BA,Brcko District,admin,,
