city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Gaborone,389888.08581914695,7273770.132893129,35,J,Botswana,BW,Gaborone,primary,208411,159243
Francistown,552713.2925389748,7658953.45076449,35,K,Botswana,BW,Francistown,admin,89979,88380
Lobatse,367107.3834545327,7210685.70706765,35,J,Botswana,BW,Lobatse,admin,69804,30883
Molepolole,347405.980611452,7299929.223513633,35,J,Botswana,BW,Kweneng,admin,63248,52178
Mahalapye,480974.97108089074,7444947.759402987,35,K,Botswana,BW,Central,,50744,44471
Maun,752880.4593193373,7788539.734458875,34,K,Botswana,BW,North West,admin,49945,44173
Serowe,470833.294846946,7524714.995669564,35,K,Botswana,BW,Central,admin,48573,47419
Kanye,331696.1210339322,7237700.614994198,35,J,Botswana,BW,Southern,admin,46831,44716
Mochudi,413824.1262432813,7299377.119860791,35,J,Botswana,BW,Kgatleng,admin,39700,39700
Palapye,512859.83141936973,7506725.778133845,35,K,Botswana,BW,Central,,30650,23708
Tshabong,645060.7128142124,7117972.754770384,34,J,Botswana,BW,Kgalagadi,admin,9679,9679
Kasane,303924.8897313275,8029128.724397426,35,K,Botswana,BW,Chobe,admin,9250,6299
Nata,414687.6418368782,7764331.90942436,35,K,Botswana,BW,,,4794,191
Mopipi,280249.8688004483,7656094.947226934,35,K,Botswana,BW,Central,,3301,3301
Lehututu,588174.5901622936,7349192.979371912,34,K,Botswana,BW,,,1942,1942
Nokaneng,632785.0850317036,7824910.602247432,34,K,Botswana,BW,,,1763,1763
Lokwabe,584651.6756255658,7327068.868942732,34,J,Botswana,BW,,,1473,1473
Tsau,651545.8097874364,7771258.876989902,34,K,Botswana,BW,,,1409,1409
Muhembo,584547.9534571383,7976437.762811446,34,K,Botswana,BW,,,757,757
Sowa Town,419163.56619655644,7725955.32254784,35,K,Botswana,BW,Sowa Town,admin,,
Masunga,546754.2557457793,7719339.479182265,35,K,Botswana,BW,North East,admin,,
Selibe Phikwe,586177.5105512353,7569613.063289998,35,K,Botswana,BW,Selibe Phikwe,admin,,
Ghanzi,581101.4906274335,7614931.874047304,34,K,Botswana,BW,Ghanzi,admin,,
Ramotswa,385838.16545782593,7248798.4388577035,35,J,Botswana,BW,South East,admin,,
Jwaneng,269965.5181809566,7277258.5736094415,35,J,Botswana,BW,Jwaneng,admin,,
