city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Sofia,689798.7733443112,4728252.53689959,34,T,Bulgaria,BG,Sofia-Grad,primary,1185000,874827
Plovdiv,314093.7817167347,4668881.031171958,35,T,Bulgaria,BG,Plovdiv,admin,340494,297685
Varna,574453.1539418632,4785283.60404477,35,T,Bulgaria,BG,Varna,admin,312770,178274
Burgas,538434.4655555864,4706071.769128698,35,T,Bulgaria,BG,Burgas,admin,195966,152542
Ruse,417288.5004485319,4856437.196790387,35,T,Bulgaria,BG,Ruse,admin,184270,156238
Stara Zagora,388293.3859104761,4698722.222150188,35,T,Bulgaria,BG,Stara Zagora,admin,143431,113200
Pleven,307053.08969530906,4809845.6070597,35,T,Bulgaria,BG,Pleven,admin,118675,102216
Sliven,445043.65393063356,4726146.171171789,35,T,Bulgaria,BG,Sliven,admin,96368,78325
Dobrich,567296.1975264786,4824082.631188808,35,T,Bulgaria,BG,Dobrich,admin,94831,52795
Shumen,494252.4903813329,4791541.377057895,35,T,Bulgaria,BG,Shumen,admin,87283,63692
Pernik,666807.6237316034,4718400.936098043,34,T,Bulgaria,BG,Pernik,admin,82467,78783
Haskovo,381412.7013876239,4644134.962879228,35,T,Bulgaria,BG,Haskovo,admin,79699,65911
Vratsa,708156.8810537937,4787323.501030688,34,T,Bulgaria,BG,Vratsa,admin,71633,64941
Kyustendil,639431.5116905847,4682681.514446316,34,T,Bulgaria,BG,Kyustendil,admin,51067,48286
Montana,680140.7639497551,4809028.320389655,34,T,Bulgaria,BG,Montana,admin,47445,47445
Lovech,314288.9346078826,4778152.059546048,35,T,Bulgaria,BG,Lovech,admin,42211,42211
Razgrad,460946.7467849009,4820156.747744987,35,T,Bulgaria,BG,Razgrad,admin,38285,38285
Borino,274697.418353225,4618242.165054483,35,T,Bulgaria,BG,Smolyan,minor,,
Madan,328035.8422564432,4596167.4444464445,35,T,Bulgaria,BG,Smolyan,minor,,
Zlatograd,340793.25728206267,4582635.290666371,35,T,Bulgaria,BG,Smolyan,minor,,
Pazardzhik,279837.98901214777,4675425.192063632,35,T,Bulgaria,BG,Pazardzhik,admin,,
Smolyan,307609.8917319047,4606304.524618383,35,T,Bulgaria,BG,Smolyan,admin,,
Blagoevgrad,673875.7328400431,4653760.084242588,34,T,Bulgaria,BG,Blagoevgrad,admin,,
Nedelino,339646.1124876351,4591160.541130087,35,T,Bulgaria,BG,Smolyan,minor,,
Rudozem,320469.59831375815,4595110.588106769,35,T,Bulgaria,BG,Smolyan,minor,,
Devin,283566.00768499135,4624410.922237018,35,T,Bulgaria,BG,Smolyan,minor,,
Veliko Tarnovo,390568.5557553355,4771223.585816881,35,T,Bulgaria,BG,Veliko Tarnovo,admin,,
Vidin,650152.221005345,4872466.569338549,34,T,Bulgaria,BG,Vidin,admin,,
Kirkovo,363072.4763810957,4576366.46068351,35,T,Bulgaria,BG,Kardzhali,minor,,
Krumovgrad,387678.9106715367,4591947.905460385,35,T,Bulgaria,BG,Kardzhali,minor,,
Dzhebel,358403.82975767774,4595171.665327551,35,T,Bulgaria,BG,Kardzhali,minor,,
Silistra,521337.85328175884,4884865.48688127,35,T,Bulgaria,BG,Silistra,admin,,
Sarnitsa,252544.36021363866,4625005.737669127,35,T,Bulgaria,BG,Pazardzhik,minor,,
Shiroka Laka,298683.46357838286,4616991.333134317,35,T,Bulgaria,BG,Smolyan,minor,,
Yambol,458905.9779164469,4703563.503691466,35,T,Bulgaria,BG,Yambol,admin,,
Dospat,263362.9122566619,4614221.187809503,35,T,Bulgaria,BG,Smolyan,minor,,
Kardzhali,363990.3481918411,4612205.862987818,35,T,Bulgaria,BG,Kardzhali,admin,,
Gabrovo,363943.71576222975,4748248.975283323,35,T,Bulgaria,BG,Gabrovo,admin,,
Targovishte,466654.7456871086,4789677.432748927,35,T,Bulgaria,BG,Targovishte,admin,,
