city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Bujumbura,762717.8740196791,9625840.979827488,35,M,Burundi,BI,,primary,331700,331700
Mugongora,198385.66302386334,9687010.665129079,36,M,Burundi,BI,Muyinga,,71076,71076
Ruyigi,194281.4627339758,9615304.469088227,36,M,Burundi,BI,Ruyigi,admin,38458,38458
Gitega,825687.5675130691,9620777.147719763,35,M,Burundi,BI,Gitega,admin,23167,23167
Ngozi,814700.4001813099,9678236.571764983,35,M,Burundi,BI,Ngozi,admin,21506,21506
Rutana,167800.63447259943,9565812.33467285,36,M,Burundi,BI,Rutana,,20893,20893
Bururi,798409.8372304889,9562706.830725001,35,M,Burundi,BI,Bururi,,20393,19740
Makamba,811332.1267558791,9542422.78041937,35,M,Burundi,BI,Makamba,admin,19642,19642
Yanza,786935.807780778,9675702.951901855,35,M,Burundi,BI,Kayanza,,19443,19443
Muramvya,791893.3942126222,9638225.241561348,35,M,Burundi,BI,Muramvya,,18041,18041
Rutana,762530.9180399978,9655246.428629458,35,M,Burundi,BI,Bubanza,,12728,12728
Karuzi,184618.51507851365,9656777.235626545,36,M,Burundi,BI,Karuzi,admin,10705,10705
Cankuzo,229709.28165981884,9644641.120187182,36,M,Burundi,BI,Cankuzo,,6585,6585
Kirundo,177034.20971708454,9713963.829036014,36,M,Burundi,BI,Kirundo,admin,6083,6083
Mwaro,800560.19132657,9611456.182435967,35,M,Burundi,BI,Mwaro,admin,,
Rutana,832308.5127562569,9565247.440034658,35,M,Burundi,BI,Rutana,admin,,
Bururi,790921.6326111412,9563372.528192243,35,M,Burundi,BI,Bururi,admin,,
Cankuzo,228031.85308245447,9643917.987395711,36,M,Burundi,BI,Cankuzo,admin,,
Bubanza,765753.7956003465,9659221.845861634,35,M,Burundi,BI,Bubanza,admin,,
Kayanza,792300.1508194981,9676675.257864313,35,M,Burundi,BI,Kayanza,admin,,
Rumonge,770788.6893835689,9560391.231552256,35,M,Burundi,BI,Rumonge,admin,,
Muyinga,204420.3250230368,9685187.799965125,36,M,Burundi,BI,Muyinga,admin,,
Isale,776013.4971986318,9629492.034662964,35,M,Burundi,BI,Bujumbura Rural,admin,,
Cibitoke,736193.2169239806,9680687.446818799,35,M,Burundi,BI,Cibitoke,admin,,
Muramvya,789825.2707003187,9638385.542014437,35,M,Burundi,BI,Muramvya,admin,,
