city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Phnom Penh,490842.004918185,1278172.3054317292,48,P,Cambodia,KH,Phnom Penh,primary,1466000,1466000
Battambang,304663.56147739745,1449190.8537077033,48,P,Cambodia,KH,Battambang,admin,154773,150444
Siem Reap,376611.2622220193,1477429.1759073804,48,P,Cambodia,KH,Siem Reap,admin,109398,85000
Kampong Cham,550458.1417447417,1325864.7945493958,48,P,Cambodia,KH,Kampong Cham,admin,83233,61750
Kampong Chhnang,463747.2672472716,1354220.769448731,48,P,Cambodia,KH,Kampong Chhnang,admin,75244,56390
Prey Veng,535481.3187440326,1269828.1708972482,48,P,Cambodia,KH,Prey Veng,admin,74000,74000
Pursat,382578.007569775,1386372.2700521054,48,P,Cambodia,KH,Pursat,admin,52476,13446
Sisŏphŏn,280749.99542333325,1502838.0112971265,48,P,Cambodia,KH,Banteay Meanchey,admin,50302,23218
Kampot,410460.0046716901,1173020.6058417116,48,P,Cambodia,KH,Kampot,admin,50105,22691
Kampong Speu,447736.4219755908,1266147.4993184279,48,P,Cambodia,KH,Kampong Speu,admin,33231,33231
Koh Kong,280169.81275092217,1284795.3774333901,48,P,Cambodia,KH,Koh Kong,admin,33134,27436
Stung Treng,604782.9829362384,1495497.4420349295,48,P,Cambodia,KH,Stung Treng,admin,29665,29665
Tbêng Méanchey,497887.57345951657,1526416.5564779486,48,P,Cambodia,KH,Preah Vihear,admin,24380,24380
Svay Rieng,587301.1818983135,1225810.4201251687,48,P,Cambodia,KH,Svay Rieng,admin,23956,23956
Kratie,610705.9015834618,1380742.012240801,48,P,Cambodia,KH,Kratie,admin,19975,19975
Kampong Thom,487920.13653791865,1405192.7251636651,48,P,Cambodia,KH,Kampong Thom,admin,19951,19951
Lumphăt,714496.5762997572,1491950.6273373829,48,P,Cambodia,KH,Ratanakiri,,19205,19205
Takeo,476510.0472178057,1214971.694236652,48,P,Cambodia,KH,Takeo,admin,15264,15264
Sênmônoŭrôm,737840.6394482357,1377938.8216525256,48,P,Cambodia,KH,Mondolkiri,admin,7944,7944
Suŏng,571676.5916550265,1316883.3422478926,48,P,Cambodia,KH,Tbong Khmum,admin,,
Aek Phnum,308299.96581531706,1455495.8941329008,48,P,Cambodia,KH,Battambang,minor,,
