city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
N’Djamena,505241.9628319537,1338552.0832126085,33,P,Chad,TD,Ville de N’Djaména,primary,989000,681387
Bongor,540758.6505145621,1136455.642416127,33,P,Chad,TD,Mayo-Kébbi Est,admin,193941,30518
Sagh,213396.06719262188,1011687.7441433659,34,P,Chad,TD,Moyen-Chari,admin,169196,102528
Abéché,480186.1020434607,1527458.309819848,34,P,Chad,TD,Ouaddaï,admin,158317,74188
Moundou,619218.6009542386,947112.5465336619,33,P,Chad,TD,Logone Occidental,admin,156705,135167
Kelo,588580.2550514296,1029070.6136175363,33,P,Chad,TD,Tandjilé,,96224,42533
Pala Oua,496431.3174681464,1033790.9681840106,33,P,Chad,TD,Mayo-Kébbi Ouest,,35466,204
Am Timan,421645.33725758723,1219357.2188850618,34,P,Chad,TD,Salamat,admin,30443,28885
Doba,703566.5561437168,956651.9181369419,33,P,Chad,TD,Logone Oriental,admin,29597,24336
Mongo,248975.24867090638,1348012.7330988466,34,P,Chad,TD,Guéra,admin,27763,27763
Ati,211193.668595151,1462492.3413050938,34,P,Chad,TD,Batha,admin,25373,24074
Laï,642620.5977338436,1038808.7966546323,33,P,Chad,TD,Tandjilé,admin,19382,19382
Oum Hadjer,358815.60207873373,1470172.6215629566,34,P,Chad,TD,Batha,,19271,3894
Mao,533492.5928721576,1561148.0850352896,33,P,Chad,TD,Kanem,admin,18031,12049
Biltine,491021.94335914194,1606713.2371713328,34,P,Chad,TD,Wadi Fira,admin,11000,2365
Bol,469121.73976575135,1487870.5805580877,33,P,Chad,TD,Lac,admin,3303,3303
Fada,561797.9628006342,1900152.2759787787,34,Q,Chad,TD,Ennedi-Ouest,admin,448,448
Zouar,659360.2907098196,2262944.5032423506,33,Q,Chad,TD,Tibesti,,204,204
Moussoro,661104.9231173524,1508565.2010622218,33,P,Chad,TD,Barh el Gazel,admin,,
Pala,489524.8993224611,1035118.9354483208,33,P,Chad,TD,Mayo-Kébbi Ouest,admin,,
Massenya,627700.9186533457,1260897.3834577538,33,P,Chad,TD,Chari-Baguirmi,admin,,
Massakory,579086.1226932784,1436806.4570289706,33,P,Chad,TD,Hadjer-Lamis,admin,,
Faya,299199.8036516849,1982987.7809882264,34,Q,Chad,TD,Borkou,admin,,
Koumra,780867.9856299539,986155.4742392624,33,P,Chad,TD,Mandoul,admin,,
Goz Beïda,544632.226037243,1351450.1563820874,34,P,Chad,TD,Sila,admin,,
Bardaï,707519.0325242706,2362750.7045754073,33,Q,Chad,TD,Tibesti,admin,,
Am Djarass,697158.0500763418,1777101.4604223003,34,Q,Chad,TD,Ennedi-Est,admin,,
