city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Santiago,345093.4284014094,6297582.108715378,19,H,Chile,CL,Región Metropolitana,primary,5720000,46611
Concepción,674074.5680747131,5924098.482571792,18,H,Chile,CL,Biobío,admin,889725,212003
Valparaíso,256468.51816918846,6340480.752306463,19,H,Chile,CL,Valparaíso,admin,854000,15938
Viña del Mar,261862.1485590684,6343949.4706386905,19,H,Chile,CL,Valparaíso,,503534,294551
Antofagasta,357683.9018543123,7383566.157868716,19,K,Chile,CL,Antofagasta,admin,309832,281246
Talcahuano,668166.3958475451,5933986.990653212,18,H,Chile,CL,Biobío,,288074,252968
Temuco,708730.7082063869,5709375.7999417875,18,H,Chile,CL,Araucanía,admin,265901,238129
San Bernardo,342290.31007759535,6281766.937779461,19,H,Chile,CL,Región Metropolitana,,246762,241138
Rancagua,339218.70181993314,6217527.49336919,19,H,Chile,CL,Libertador General Bernardo O’Higgins,admin,233268,212695
Iquique,381001.6272547127,7763724.672268724,19,K,Chile,CL,Tarapacá,admin,227499,218525
Talca,258924.15925280625,6076429.451537089,19,H,Chile,CL,Maule,admin,197479,175088
Arica,362961.2935749272,7956813.344725138,19,K,Chile,CL,Arica y Parinacota,admin,185999,170894
Puerto Montt,671787.0797748114,5407496.542904516,18,G,Chile,CL,Los Lagos,admin,174629,160054
Coquimbo,274226.02304042707,6684085.255262172,19,J,Chile,CL,Coquimbo,,161317,156848
Valdivia,651962.7621224672,5589868.918454759,18,H,Chile,CL,Los Ríos,admin,159599,133419
La Serena,282859.860461197,6689668.23388764,19,J,Chile,CL,Coquimbo,admin,154521,148059
Osorno,657988.1722367188,5506862.872939394,18,G,Chile,CL,Los Lagos,,154131,135773
Chillán,759265.9810784471,5944432.187967315,18,H,Chile,CL,Biobío,,150396,149352
Los Ángeles,734026.6606242477,5849727.518273499,18,H,Chile,CL,Biobío,,145239,125430
Calama,507849.1556091879,7516623.107999962,19,K,Chile,CL,Antofagasta,,143084,125589
Copiapó,368329.084598241,6972235.334277687,19,J,Chile,CL,Atacama,admin,129280,105353
Punta Arenas,372198.71929588914,4108799.5688703423,19,F,Chile,CL,Magallanes y de la Antártica Chilena,admin,117430,95162
Curicó,295587.91579755937,6126574.449824441,19,H,Chile,CL,Maule,,113711,102438
San Antonio,258036.87546818043,6279730.636249555,19,H,Chile,CL,Valparaíso,,104292,85651
Coronel,665412.9521009307,5899753.952559538,18,H,Chile,CL,Biobío,,92940,64249
Linares,265815.0543671473,6029953.5711555015,19,H,Chile,CL,Maule,,81015,69535
Quillota,289626.57488588884,6359396.474361518,19,H,Chile,CL,Valparaíso,,79686,67779
Ovalle,289174.8188046088,6612549.016352011,19,J,Chile,CL,Coquimbo,,77138,68830
San Fernando,317925.58786970744,6170855.542223263,19,H,Chile,CL,Libertador General Bernardo O’Higgins,,60746,60746
San Felipe,338315.52222774853,6375136.460497705,19,H,Chile,CL,Valparaíso,,59294,39219
Los Andes,350463.50504596916,6366099.294521848,19,H,Chile,CL,Valparaíso,,56859,49411
Lota Alto,663887.2291705825,5894803.336307306,18,H,Chile,CL,Biobío,,49763,15641
Coyhaique,729219.9071486052,4948821.981904713,18,G,Chile,CL,Aysén,admin,45787,40655
Vallenar,327927.67621912766,6837705.357429657,19,J,Chile,CL,Atacama,,44895,30858
Angol,701066.7440661585,5814451.873009793,18,H,Chile,CL,Araucanía,,44856,31913
Constitución,735264.5455570896,6086929.2407591585,18,H,Chile,CL,Maule,,37917,15888
Villarrica,739000.4411341498,5647750.342470613,18,H,Chile,CL,Araucanía,,31602,2034
Cauquenes,741177.9604506451,6016633.78440974,18,H,Chile,CL,Maule,,31362,16948
Curanilahue,646338.1028847111,5850820.722542756,18,H,Chile,CL,Biobío,,30611,14094
Castro,601437.5973736054,5296415.192925276,18,G,Chile,CL,Los Lagos,,29926,20443
Ancud,598236.8395576994,5363902.354234369,18,G,Chile,CL,Los Lagos,,28020,20462
La Ligua,290341.10943723615,6407411.518747285,19,H,Chile,CL,Valparaíso,,26665,24857
Illapel,294229.95060042094,6498144.324016093,19,J,Chile,CL,Coquimbo,,26340,22816
La Unión,663050.8698597025,5537941.825500199,18,G,Chile,CL,,,26298,19388
Puerto Varas,668616.600178005,5423821.032284838,18,G,Chile,CL,Los Lagos,,24958,14180
Victoria,733440.0650361823,5764978.83505731,18,H,Chile,CL,Araucanía,,24555,11424
Tocopilla,376423.08207309665,7556506.18178669,19,K,Chile,CL,Antofagasta,,24460,20251
Lebu,618842.3850802528,5836797.206068925,18,H,Chile,CL,Biobío,,22345,10904
Salamanca,314040.4501454171,6482356.619240111,19,J,Chile,CL,Coquimbo,,20214,13265
Puerto Bories,670323.1685565605,4270398.092251429,18,F,Chile,CL,Magallanes y de la Antártica Chilena,,20000,786
Nueva Imperial,678136.0378702733,5709579.785765925,18,H,Chile,CL,Araucanía,,18777,7868
Diego de Almagro,395243.23089993576,7083282.747012067,19,J,Chile,CL,Atacama,,18137,18137
Collipulli,725412.3705564342,5796124.690271256,18,H,Chile,CL,Araucanía,,16392,6223
Loncoche,704094.6333881824,5639809.274002823,18,H,Chile,CL,Araucanía,,15590,1717
Río Bueno,673656.3044366555,5533060.473021378,18,G,Chile,CL,Los Ríos,,15456,10663
Chañaral,263031.65626016364,6785878.310822785,19,J,Chile,CL,Atacama,,13543,13543
Vicuña,334856.12276197015,6676054.984629853,19,J,Chile,CL,Coquimbo,,13496,13496
Tierra Amarilla,375250.8713125005,6961278.474739408,19,J,Chile,CL,Atacama,,12888,8578
Los Lagos,686734.4963485567,5585295.894136817,18,H,Chile,CL,Los Ríos,,12813,12813
Alto Calbuco,654613.3805951141,5372715.662791076,18,G,Chile,CL,Los Lagos,,12490,1377
Chuquicamata,507313.99171244947,7532215.238548614,19,K,Chile,CL,Antofagasta,,11941,11941
Carahue,659892.9459471656,5713664.108810465,18,H,Chile,CL,Araucanía,,11875,5309
Pichilemu,775732.4465575911,6190696.868821079,18,H,Chile,CL,Libertador General Bernardo O’Higgins,,11603,11603
Pozo Almonte,417880.53799455194,7760011.046988346,19,K,Chile,CL,Tarapacá,,10830,10830
Calderilla,315889.0829606346,7002363.943383542,19,J,Chile,CL,Atacama,,10259,10259
Lonquimay,304855.9079045838,5743775.954152436,19,H,Chile,CL,Araucanía,,10237,6802
Taltal,350781.11590786744,7188964.424307852,19,J,Chile,CL,Antofagasta,,10018,7877
Puerto Aisén,680637.9005436967,4969684.946781832,18,G,Chile,CL,Aysén,,8067,8067
Quellón,612542.3760373023,5225131.528222138,18,G,Chile,CL,Los Lagos,,7029,7029
Quirihue,720798.0183399759,5982076.253965119,18,H,Chile,CL,Biobío,,6529,6529
Combarbalá,309116.57284043235,6548873.604642305,19,J,Chile,CL,Coquimbo,,5134,5134
Cochrane,683519.774844702,4763789.855343553,18,G,Chile,CL,Aysén,,4441,4441
Santa Bárbara,762617.9097493537,5826821.384299867,18,H,Chile,CL,Biobío,,3494,3494
Huasco,282369.98959939345,6849163.148532752,19,J,Chile,CL,Atacama,,2558,2558
Puerto Williams,589083.8798134635,3911717.8257171065,19,F,Chile,CL,Magallanes y de la Antártica Chilena,,2500,2262
Oficina María Elena,431856.1495386227,7528892.851094652,19,K,Chile,CL,Antofagasta,,2370,2370
Nueva Toltén,652516.0388046501,5657692.284459793,18,H,Chile,CL,Araucanía,,2293,2293
Mejillones,351958.6213635399,7444591.585754045,19,K,Chile,CL,Antofagasta,,2041,2041
Chonchi,600318.7220698311,5280653.177885462,18,G,Chile,CL,Los Lagos,,381,381
Toconao,601800.1650268998,7435089.738125471,19,K,Chile,CL,Antofagasta,,378,378
Balsadero Río Verde,333395.5272843373,4163717.7885946417,19,F,Chile,CL,Magallanes y de la Antártica Chilena,,358,358
Villa O’Higgins,680427.0136523084,4628949.6558005335,18,F,Chile,CL,Aysén,,250,100
