city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Shanghai,353130.8814412877,3455254.708674556,51,R,China,CN,Shanghai,admin,14987000,14608512
Beijing,447779.7391742938,4420035.625780511,50,S,China,CN,Beijing,primary,11106000,7480601
Guangzhou,730426.0420365126,2558211.7869122755,49,Q,China,CN,Guangdong,admin,8829000,3152825
Shenzhen,205131.91184938932,2494689.8338129604,50,Q,China,CN,Guangdong,minor,7581000,1002592
Wuhan,237883.49506842913,3386608.840029128,50,R,China,CN,Hubei,admin,7243000,4184206
Tianjin,515267.2376202599,4332574.162608744,50,S,China,CN,Tianjin,admin,7180000,3766207
Chongqing,650423.4906269121,3271345.0346792773,48,R,China,CN,Chongqing,admin,6461000,3967028
Shenyang,535958.0436492575,4626797.794669768,51,T,China,CN,Liaoning,admin,4787000,3512192
Dongguan,781257.0086380895,2551570.6952063637,49,Q,China,CN,Guangdong,minor,4528000,4528000
Chengdu,410588.0394441072,3393032.676015387,48,R,China,CN,Sichuan,admin,4123000,3950437
Lianhu,308871.96798139066,3792765.7147424207,49,S,China,CN,Shaanxi,minor,4009000,3225812
Hechi,381118.1130901602,2544288.966685612,49,Q,China,CN,Guangxi,,3830000,2720379
Nanjing,667819.9910597932,3548653.376524266,50,S,China,CN,Jiangsu,admin,3679000,3087010
Guiyang,670958.1179900947,2941433.205856199,48,R,China,CN,Guizhou,admin,3662000,1171633
Harbin,317217.56146090175,5068957.145028549,52,T,China,CN,Heilongjiang,admin,3621000,3229883
Zhangzhou,566411.1096911585,2711219.194598333,50,R,China,CN,Fujian,minor,3531147,1338452
Changchun,686603.6682400501,4861167.401438093,51,T,China,CN,Jilin,admin,3183000,2537421
Dalian,378811.9819419871,4307964.4665239705,51,S,China,CN,Liaoning,,3167000,2035307
Zibo,594871.6091742248,4072165.7433664356,50,S,China,CN,Shandong,,3061000,669770
Hangzhou,226979.80396586907,3354738.1420285003,51,R,China,CN,Zhejiang,admin,3007000,1878129
Kunming,269790.84721456247,2771194.5696045207,48,R,China,CN,Yunnan,admin,2931000,1023674
Taiyuan,637234.962313468,4192476.9431749023,49,S,China,CN,Shanxi,admin,2913000,2722475
Qingdao,263081.74445881974,3994477.510424522,51,S,China,CN,Shandong,minor,2866000,1642245
Jinan,499751.75505959895,4058080.5047138724,50,S,China,CN,Shandong,admin,2798000,2069266
Zhengzhou,732007.6388253939,3840876.50110602,49,S,China,CN,Henan,,2636000,2014125
Fuzhou,730708.6400356526,2884522.8331301585,50,R,China,CN,Fujian,admin,2606000,1179720
Changsha,693030.5954026487,3120923.614230322,49,R,China,CN,Hunan,admin,2604000,2073938
Xiangtandong,690344.125453118,3083933.9589509526,49,R,China,CN,Hunan,,2586948,1779960
Lanzhou,395513.1511885172,3990893.9604715654,48,S,China,CN,Gansu,admin,2561000,2004218
Xiamen,609630.5563714415,2707777.0036331574,50,R,China,CN,Fujian,minor,2519000,578337
Jinjiao,315664.32224399835,4512564.864070417,51,T,China,CN,Liaoning,,2426000,313247
Shijiazhuang,278735.9122684146,4213408.46486615,50,S,China,CN,Hebei,admin,2417000,1992474
Jilin,303905.5967406988,4858198.651724233,52,T,China,CN,Jilin,,2396000,1881977
Wenzhou,270558.9037924792,3099331.609928201,51,R,China,CN,Zhejiang,,2350000,865672
Nanchangshi,392996.87232299714,3170337.873491609,50,R,China,CN,Jiangxi,,2350000,1871351
Nanchong,603779.1353298172,3407394.444578469,48,R,China,CN,Sichuan,minor,2174000,2174000
Nanning,224567.0722594622,2525727.416913237,49,Q,China,CN,Guangxi,admin,2167000,803788
Ürümqi,550713.5837123095,4850668.8217613,45,T,China,CN,Xinjiang,admin,2151000,1508225
Daguozhuangcun,555136.0060056924,3862845.9600877333,50,S,China,CN,Shandong,,2145000,183665
Yantai,358633.98987758043,4155242.0909263995,51,S,China,CN,Shandong,,2116000,719332
Linyi,622440.4857212092,3880860.0932206316,50,S,China,CN,Shandong,,2082000,270669
Haikou,431153.71355095465,2216688.7796720434,49,Q,China,CN,Hainan,admin,2046189,1167428
Baotou,400427.17808980844,4500818.343356218,49,T,China,CN,Inner Mongolia,,2036000,423329
Hefei,526565.3366210227,3525383.3468802264,50,R,China,CN,Anhui,admin,2035000,1388904
Suzhou,498042.1712501033,3721810.0799539206,50,S,China,CN,Anhui,,1964000,1964000
Lanzhuang,639700.1596143031,3650064.4731459664,49,S,China,CN,Henan,,1944000,251532
Ningbo,359919.9588253838,3306170.947295336,51,R,China,CN,Zhejiang,minor,1923000,719867
Tangshan,601548.4963759431,4387731.011409913,50,S,China,CN,Hebei,,1879000,1596949
Datong,695333.9089960642,4440663.506801811,49,T,China,CN,Shanxi,,1873000,1052678
Shucheng,664227.2451353238,3777035.505048794,50,S,China,CN,Jiangsu,minor,1770000,1770000
Shangqiu,375987.5071346486,3812879.4699026556,50,S,China,CN,Henan,,1753000,181218
Wuxi,242656.38493026723,3495839.4398076367,51,R,China,CN,Jiangsu,minor,1749000,1108647
Hohhot,555009.7997224038,4517931.961855408,49,T,China,CN,Inner Mongolia,admin,1726000,774477
Luoyang,633158.0256909814,3838918.9540671986,49,S,China,CN,Henan,,1715000,1390581
Daqing,653227.4764633386,5160806.058126856,51,T,China,CN,Heilongjiang,,1693000,203488
Lu’an,451832.3896532137,3513607.808953715,50,R,China,CN,Anhui,minor,1690000,1126455
Wanxian,248484.97911308063,3412105.6523326435,49,R,China,CN,Chongqing,,1680000,1680000
Suzhou,271140.9154998213,3465798.2606777614,51,R,China,CN,Jiangsu,minor,1650000,1343091
Qiqihar,572552.6347203716,5243493.216346901,51,T,China,CN,Heilongjiang,minor,1641000,882364
Anshan,499160.55787628226,4552479.251477958,51,T,China,CN,Liaoning,,1639000,1199275
Handan,273498.26343375025,4053547.6219142033,50,S,China,CN,Hebei,,1631000,1358318
Tai’an,510789.9622270644,4004505.481132819,50,S,China,CN,Shandong,,1629000,1629000
Shantou,470851.0265524653,2584302.482031397,50,Q,China,CN,Guangdong,minor,1601000,1333973
Zhanjiang,431816.7121073486,2353439.1703667864,49,Q,China,CN,Guangdong,minor,1590000,637790
Xiantao,730612.8262234655,3363706.7967675086,49,R,China,CN,Hubei,,1556000,239406
Weifang,687742.6987796712,4064761.6002029073,50,S,China,CN,Shandong,,1553000,394732
Xinyang,223143.0839515326,3557816.7176692463,50,S,China,CN,Henan,,1541000,1282888
Luzhou,542956.5127703026,3193927.4999432527,48,R,China,CN,Sichuan,minor,1537000,1537000
Tantou,293535.17450478254,2872426.5878516426,50,R,China,CN,Jiangxi,,1500000,932269
Liuzhou,336543.2660880287,2689780.6094317557,49,R,China,CN,Guangxi,minor,1497000,1375061
Fushun,576640.9722949029,4634181.80917673,51,T,China,CN,Liaoning,,1470000,1400646
Changde,568818.3318002843,3226740.246617852,49,R,China,CN,Hunan,,1469000,517780
Neijiang,506020.0628556263,3272640.836354414,48,R,China,CN,Sichuan,minor,1466000,546854
Quanzhou,660150.5839908419,2756346.6529859677,50,R,China,CN,Fujian,minor,1463000,184143
Huainan,499713.3241073212,3609869.63581346,50,S,China,CN,Anhui,,1451000,1027655
Suining,555012.4093842014,3375219.663102758,48,R,China,CN,Sichuan,minor,1425000,1425000
Mianyang,476650.96649181383,3480536.18440192,48,R,China,CN,Sichuan,minor,1396000,264136
Huashan,641733.5295261075,3508317.027720858,50,R,China,CN,Anhui,,1366302,633940
Yiyang,629894.1651910455,3163190.8365669283,49,R,China,CN,Hunan,,1352000,202608
Heze,361112.63770532364,3900647.4463330954,50,S,China,CN,Shandong,minor,1338000,254602
Zhangshu,216459.1777264817,3522811.0806005904,51,R,China,CN,Jiangsu,,1327000,949018
Chifeng,661939.6696098243,4681436.460348551,50,T,China,CN,Inner Mongolia,minor,1277000,346654
Huaiyin,687374.9345268359,3718370.5205465676,50,S,China,CN,Jiangsu,,1264000,555230
Mudanjiang,547630.672143484,4936840.737776439,52,T,China,CN,Heilongjiang,minor,1244000,665915
Huzhou,222076.7983113759,3418847.3055078746,51,R,China,CN,Zhejiang,minor,1231000,158320
Maoling,483991.6687303348,2420782.7341124774,49,Q,China,CN,Guangdong,,1217715,1217715
Jining,461990.1099240219,3918037.974140741,50,S,China,CN,Shandong,,1186000,450327
Leshan,380252.61467955715,3270920.861786978,48,R,China,CN,Sichuan,,1157000,154477
Shangrao,594836.6403548862,3147791.593283302,50,R,China,CN,Jiangxi,minor,1144577,700266
Yuzhi,408939.31342084776,2500496.8542895447,49,Q,China,CN,Guangxi,,1127000,148485
Xianyangshi,290116.1126408945,3802916.7195660314,49,S,China,CN,Shaanxi,,1126000,1126000
Baoding,368993.72337845794,4301337.268886351,50,S,China,CN,Hebei,,1107000,995652
Zigong,478340.6196912067,3245856.035683709,48,R,China,CN,Sichuan,,1105000,689961
Ankang,314095.81527245964,3617549.892013399,49,S,China,CN,Shaanxi,,1100000,950000
Jinhua,757328.9032005225,3222705.966041707,50,R,China,CN,Zhejiang,minor,1092852,142206
Zhuzhou,711746.0089652041,3080595.525097638,49,R,China,CN,Hunan,minor,1080000,709358
Xiangyang,608085.520736338,3545686.5196430977,49,S,China,CN,Hubei,minor,1069000,462956
Xining,746567.2315062277,4056874.8840530775,47,S,China,CN,Qinghai,admin,1048000,767531
Zhangjiakou,321140.81208976335,4519829.303830383,50,T,China,CN,Hebei,,1046000,559641
Zhuhai,764594.0504211143,2465729.934913514,49,Q,China,CN,Guangdong,minor,1023000,1023000
Jiamusi,600448.2276574189,5183699.519677235,52,T,China,CN,Heilongjiang,minor,1020000,549549
Hengyang,660403.5287358665,2975059.0680585443,49,R,China,CN,Hunan,,1016000,759602
Benxi,564056.458850171,4571078.609961372,51,T,China,CN,Liaoning,,1012000,835866
Tiezhuang,719685.4101782389,4425148.618717384,50,S,China,CN,Hebei,,1003000,759718
Yaowan,515274.60343343846,2776771.140022234,47,R,China,CN,Yunnan,,1000000,850000
Yinchuan,611058.873425545,4258516.4776467895,48,S,China,CN,Ningxia,admin,991000,324228
Jiaxing,284621.03363965126,3404302.8490439886,51,R,China,CN,Zhejiang,minor,988000,466101
Guilin,428153.72932287847,2796358.685139868,49,R,China,CN,Guangxi,minor,987000,649352
Yichun,243919.27365903594,3081454.0746432715,50,R,China,CN,Jiangxi,minor,982000,982000
Dayangquan,725724.8777737357,4191856.473269366,49,S,China,CN,Shanxi,,981448,722155
Jixi,653445.4831838796,5018262.3789789425,52,T,China,CN,Heilongjiang,minor,965000,403759
Xigui,623249.5334126333,3808044.472697017,50,S,China,CN,Jiangsu,,962656,962656
Pingxiang,781619.2667269197,3057998.449362096,49,R,China,CN,Jiangxi,minor,961000,372123
Jinzhou,343962.4519095152,4552385.591156765,51,T,China,CN,Liaoning,,956000,604269
Nantong,299301.84409463935,3545766.510803209,51,S,China,CN,Jiangsu,minor,947000,666251
Foshan,718429.7382765847,2548073.07738652,49,Q,China,CN,Guangdong,minor,943000,627348
Xinyu,287862.12755242974,3081237.577302162,50,R,China,CN,Jiangxi,minor,913000,97480
Huaibei,480755.12343923794,3759341.937131289,50,S,China,CN,Anhui,,913000,903039
Yibin,463279.1398774844,3182192.778642289,48,R,China,CN,Sichuan,minor,902000,242111
Xiaobengbu,531156.2039385355,3645793.255862055,50,S,China,CN,Anhui,,894000,576648
Tongliao,440712.2120091806,4829097.749184908,51,T,China,CN,Inner Mongolia,minor,884000,261110
Yangjiang,599476.856023716,2417159.056751951,49,Q,China,CN,Guangdong,minor,872363,630000
Dandong,618830.4384744498,4443025.921694647,51,T,China,CN,Liaoning,,870000,631973
Xuanzhou,667664.9235566194,3425658.9336588862,50,R,China,CN,Anhui,,866000,866000
Rizhao,722899.2454675189,3923222.326614169,50,S,China,CN,Shandong,minor,865000,246387
Jiaozuo,703191.3212609387,3901913.219181049,49,S,China,CN,Henan,,857000,517540
Zhenjiang,731393.5722249786,3566452.18342482,50,S,China,CN,Jiangsu,minor,854000,632552
Anshun,593209.7262672023,2903706.034443101,48,R,China,CN,Guizhou,,849000,351936
Zunyi,688082.3744612498,3063948.4934022333,48,R,China,CN,Guizhou,,849000,466292
Jingshan,715142.913705569,3731236.534178625,49,S,China,CN,Henan,,849000,849000
Yuci,652723.7919631526,4171753.3546808064,49,S,China,CN,Shanxi,,840000,235929
Yuanzhuang,230680.8815078333,3701352.2968511432,51,S,China,CN,Jiangsu,,839000,839000
Linfen,546713.8910676619,3993932.2163782534,49,S,China,CN,Shanxi,,834000,232566
Heiyutang,701554.2970260592,3247706.3885295168,49,R,China,CN,Hunan,,826000,826000
Xingyi,498318.8191157296,2770484.298457117,48,R,China,CN,Guizhou,,816000,263072
Langfang,473756.13176613994,4373387.94345383,50,S,China,CN,Hebei,,810000,578931
Wuhubei,626826.0645435393,3469159.6133216,50,R,China,CN,Anhui,,810000,507524
Shuibatang,376041.66528536176,3023520.3669542302,48,R,China,CN,Yunnan,,809000,109400
Lingyuan,701210.6601427355,4568180.081271234,50,T,China,CN,Liaoning,,806000,806000
Baojishi,699027.4622356538,3805577.680591864,48,S,China,CN,Shaanxi,,800000,800000
Yingkou,434773.3375630273,4501836.554566716,51,T,China,CN,Liaoning,minor,795000,591159
Liaoyang,514494.29294184386,4568960.579490624,51,T,China,CN,Liaoning,,794000,687890
Yichun,486792.85649104556,5285710.305058392,52,T,China,CN,Heilongjiang,minor,777000,109223
Shaoxing,265770.0764073695,3322490.0631830213,51,R,China,CN,Zhejiang,minor,777000,421283
Fuyuan,784367.2861855663,3324294.8892991343,50,R,China,CN,Zhejiang,,771000,771000
Fuxin,396158.9031638784,4657076.546083735,51,T,China,CN,Liaoning,,770000,689050
Shiyanjie,476541.2000267403,3606971.8995561893,49,S,China,CN,Hubei,,770000,537647
Jincheng,666225.0480099443,3930284.140635075,49,S,China,CN,Shanxi,minor,760000,280000
Hegang,598191.8129446657,5245009.701027394,52,T,China,CN,Heilongjiang,minor,743307,572360
Beihai,303151.3614960345,2376836.5864751237,49,Q,China,CN,Guangxi,,728978,405600
Shaoguan,761161.5313271252,2745273.0096575515,49,R,China,CN,Guangdong,minor,720266,628749
Hanzhuang,704546.764100334,3829408.663077987,50,S,China,CN,Jiangsu,,715600,715600
Qingyuan,707318.7409173105,2622492.077483883,49,Q,China,CN,Guangdong,minor,706717,706717
Changzhi,689315.2366414253,4006398.679588335,49,S,China,CN,Shanxi,minor,706000,706000
Huangshi,314953.0893842301,3342971.843977233,50,R,China,CN,Hubei,minor,688090,688090
Huadong,317597.41323569516,3952181.783504295,50,S,China,CN,Henan,,666322,666322
Changping,434880.9863420211,4452025.2372910315,50,T,China,CN,Beijing,,614821,130000
Taizhou,773264.4198476304,3598554.2367560477,50,S,China,CN,Jiangsu,minor,612356,612356
Xingtai,277205.4763518529,4104804.789371619,50,S,China,CN,Hebei,,611739,611739
Anqing,504531.9669698561,3375704.669210957,50,R,China,CN,Anhui,minor,580497,358661
Shihezi,423180.382263034,4905900.253493855,45,T,China,CN,Xinjiang,minor,573182,572772
Shuozhou,622629.7991735092,4352790.483617758,49,S,China,CN,Shanxi,minor,570000,246137
Tongling,578019.422714115,3422499.4258012143,50,R,China,CN,Anhui,,562832,312588
Weihai,421655.96863541467,4151723.9442010894,51,S,China,CN,Shandong,minor,560255,152595
Siping,611257.988989027,4779862.001696146,51,T,China,CN,Jilin,,555609,502013
Sunjialong,402409.08630596614,3285735.433784791,50,R,China,CN,Jiangxi,,545616,545616
Kashgar,585113.9380102343,4369475.023172473,43,S,China,CN,Xinjiang,minor,543914,400225
Yangzhou,729109.6222764655,3587076.433974188,50,S,China,CN,Jiangsu,,539715,539715
Jiangmen,714186.3311415896,2498891.911996472,49,Q,China,CN,Guangdong,minor,532419,532419
Cangzhou,488344.23347488337,4240959.2396154655,50,S,China,CN,Hebei,,527681,527681
Jiangxia,299495.1841511596,3005125.216538849,50,R,China,CN,Jiangxi,,520248,460194
Shashi,619683.7064316475,3353484.9454069505,49,R,China,CN,Hubei,,520000,498780
Liaoyuan,674363.1258143018,4752324.008246133,51,T,China,CN,Jilin,,506548,465249
Shuangyashan,664856.9179353833,5166981.024927971,52,T,China,CN,Heilongjiang,,500000,500000
Wuwei,291876.16933803307,4200328.622210258,48,S,China,CN,Gansu,minor,493092,493092
Yanji,541450.2192324696,4750667.962056781,52,T,China,CN,Jilin,,488740,326957
Zhaoqing,649549.4015229795,2549928.8776609283,49,Q,China,CN,Guangdong,minor,480000,361969
Jiaojiang,347852.12505845353,3173556.4358233325,51,R,China,CN,Zhejiang,,471500,470804
Chaoyang,288109.68209342647,4605185.705897223,51,T,China,CN,Liaoning,,470296,410005
Jingdezhen,520190.50248332176,3240654.4909351817,50,R,China,CN,Jiangxi,minor,457298,310565
Hengshui,385545.1126671986,4176899.1848003464,50,S,China,CN,Hebei,,456356,456356
Taihe,643963.8544682388,5069265.797066603,52,T,China,CN,Heilongjiang,,450617,345033
Chengde,578761.579804784,4536126.211820154,50,T,China,CN,Hebei,,449325,305933
Xuwan,764541.3504671503,3769585.1193369613,49,S,China,CN,Henan,,449258,449258
Wuzhou,532335.9354437445,2597061.8358970596,49,Q,China,CN,Guangxi,minor,442315,265846
Wanyuan,581143.582033748,3587185.6793210865,48,S,China,CN,Sichuan,,437435,213365
Chaozhou,463071.9079918499,2617199.308485054,50,Q,China,CN,Guangdong,minor,424787,424787
Luohe,225466.04077211104,3717727.4642785885,50,S,China,CN,Henan,minor,417356,417356
Meizhou,409404.1786840107,2687475.715633852,50,R,China,CN,Guangdong,minor,414930,144212
Yili,528108.0335215899,4860825.68851184,44,T,China,CN,Xinjiang,minor,403489,403489
Yuxi,250656.47850110338,2695737.242553467,48,R,China,CN,Yunnan,minor,396325,103829
Baicheng,486023.44884151174,5050450.398958216,51,T,China,CN,Jilin,minor,386861,316970
Xichang,230617.2287938816,3088739.9995212182,48,R,China,CN,Sichuan,minor,379993,126787
Dezhou,439011.7116001191,4145158.1849657274,50,S,China,CN,Shandong,minor,379555,379555
Zhoukou,280484.54670677154,3724013.8293040385,50,S,China,CN,Henan,minor,377061,377061
Putian,702155.462045453,2815132.000780383,50,R,China,CN,Fujian,minor,376558,376558
Shache,695608.0819001973,4254423.949044237,43,S,China,CN,Xinjiang,,373492,191291
Quzhou,682090.8539917297,3204930.406304221,50,R,China,CN,Zhejiang,,370000,82216
Longyan,502268.4941632237,2776820.5615838105,50,R,China,CN,Fujian,minor,367896,367896
Sanya,341939.10330535134,2017722.298923327,49,Q,China,CN,Hainan,minor,362689,144753
Fuyu,642723.6866545479,5004922.022379305,51,T,China,CN,Jilin,,356905,138704
Wafangdian,414857.6314709176,4385867.315827999,51,S,China,CN,Liaoning,,355844,250591
Aksu,436417.47810974345,4569225.555781432,44,T,China,CN,Xinjiang,minor,340020,279389
Tieling,569361.4394924272,4682657.454328196,51,T,China,CN,Liaoning,,340000,333907
Shawan,309122.40237765096,3321099.1458288534,48,R,China,CN,Sichuan,,340000,340000
Hanguzhan,569013.0746769953,4346674.543876398,50,S,China,CN,Tianjin,,332793,208369
Heyuan,263842.51543590036,2626625.587541687,50,Q,China,CN,Guangdong,minor,330961,207600
Baishan,286088.23509118485,4646171.268159067,52,T,China,CN,Jilin,minor,330000,330000
Chenzhou,703861.322318664,2855110.2312956504,49,R,China,CN,Hunan,minor,322997,179038
Ningde,751091.41200405,2951444.1764691006,50,R,China,CN,Fujian,minor,314077,65170
Huizhou,233648.130039274,2555115.2668310073,50,Q,China,CN,Guangdong,minor,289201,289201
Tongchuanshi,325396.70379375014,3883008.544571772,49,S,China,CN,Shaanxi,,282258,223603
Jining,677035.7378221441,4543945.923097041,49,T,China,CN,Inner Mongolia,,281716,258757
Xinzhou,651337.8930620808,4252636.974566563,49,S,China,CN,Shanxi,minor,279607,154003
Jinshi,584252.8040794214,3275319.119958451,49,R,China,CN,Hunan,minor,274000,82906
Hotan,405415.65108202264,4107327.6089096176,44,S,China,CN,Xinjiang,minor,261730,114000
Zhuanghe,499237.9367522147,4394553.504912835,51,S,China,CN,Liaoning,,261510,80384
Turpan,677749.1602266796,4757309.6362348385,45,T,China,CN,Xinjiang,minor,254900,102827
Chuxiong,756850.2223759422,2771392.744570424,47,R,China,CN,Yunnan,,254370,254370
Suihua,346554.6172267485,5167060.626225925,52,T,China,CN,Heilongjiang,minor,252245,249561
Linhai,317391.10732987354,3192601.4068790968,51,R,China,CN,Zhejiang,,251759,152937
Laiyang,296486.6634009263,4094634.5593059906,51,S,China,CN,Shandong,,250000,169594
Qinzhou,254869.15107430794,2431735.3942079106,49,Q,China,CN,Guangxi,minor,245376,100996
Hebi,246613.04013871372,3976406.517727553,50,S,China,CN,Henan,,244662,244662
Ulanhot,429127.0952505509,5103714.841969476,51,T,China,CN,Inner Mongolia,,241894,165846
Xiahuang,437440.6392684813,3100183.74731928,50,R,China,CN,Jiangxi,,241104,241104
Shayinshi,639287.3220381571,3286899.792185468,49,R,China,CN,Hubei,,231787,122411
Zhangye,625821.6535698884,4310472.855122379,47,S,China,CN,Gansu,minor,230728,96228
Beipiao,315472.7350979155,4629060.349939565,51,T,China,CN,Liaoning,,228515,154999
Qiantucheng,410112.1507197022,4031363.426765586,50,S,China,CN,Shandong,,226930,226930
Hancheng,448203.62836512545,3924237.7786675445,49,S,China,CN,Shaanxi,,222135,58049
Lhasa,316092.44049527973,3281512.3887919537,46,R,China,CN,Tibet,admin,219599,118721
