city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Adjamé,386471.05173214036,591505.896903011,30,N,Côte D’Ivoire,CI,Abidjan,,3802000,3190395
Bouaké,276052.5806199248,850983.6819731229,30,N,Côte D’Ivoire,CI,Vallée du Bandama,admin,567481,454821
Déraouan,784770.1360630346,762453.3029460615,29,N,Côte D’Ivoire,CI,Sassandra-Marahoué,,255168,215652
San-Pédro,762197.6136339678,525312.7704210028,29,N,Côte D’Ivoire,CI,Bas-Sassandra,admin,210273,196751
Yamoussoukro,248371.98165198744,754505.1121289874,30,N,Côte D’Ivoire,CI,Yamoussoukro,primary,206499,194530
Korhogo,211245.48428277852,1046580.8761360225,30,P,Côte D’Ivoire,CI,Savanes,admin,177711,167359
Man,659603.0702439558,819611.0551083494,29,N,Côte D’Ivoire,CI,Montagnes,admin,146974,139341
Divo,238977.93428681896,645775.6887825289,30,N,Côte D’Ivoire,CI,Gôh-Djiboua,minor,127867,127867
Gagnoa,173395.97678884875,678687.7818438861,30,N,Côte D’Ivoire,CI,Gôh-Djiboua,admin,123184,99192
Soubré,764861.8967980844,640057.0500733806,29,N,Côte D’Ivoire,CI,Bas-Sassandra,,108933,58492
Abengourou,445141.7129821864,743898.5871985151,30,N,Côte D’Ivoire,CI,Comoé,admin,104020,71598
Agboville,365709.9962649303,655393.4982807286,30,N,Côte D’Ivoire,CI,Lagunes,minor,81770,64285
Grand-Bassam,418121.1063912438,576123.9378918374,30,N,Côte D’Ivoire,CI,Comoé,minor,73772,48681
Dabou,347433.14911555283,588821.110542785,30,N,Côte D’Ivoire,CI,Lagunes,admin,72913,69661
Dimbokro,311494.6804763953,735026.6612828564,30,N,Côte D’Ivoire,CI,Lacs,admin,67349,25586
Ferkessédougou,259144.69083931146,1061160.498285859,30,P,Côte D’Ivoire,CI,Savanes,minor,62008,52812
Bouaflé,196780.38941571873,773572.5291317918,30,N,Côte D’Ivoire,CI,Sassandra-Marahoué,minor,60962,60962
Bondoukou,522033.9698960944,888747.5161997763,30,P,Côte D’Ivoire,CI,Zanzan,admin,58297,18706
Séguéla,756519.856938098,880720.3657230212,29,N,Côte D’Ivoire,CI,Woroba,admin,51157,12603
Odienné,657590.7017453271,1051023.0434501038,29,P,Côte D’Ivoire,CI,Denguélé,admin,49857,19119
Guiglo,666570.24315906,723554.5715720343,29,N,Côte D’Ivoire,CI,Montagnes,minor,39134,35846
Toumodi,276895.9586808205,725334.9896310192,30,N,Côte D’Ivoire,CI,Lacs,minor,39005,39005
Sassandra,823488.202773144,547848.2949096112,29,N,Côte D’Ivoire,CI,Bas-Sassandra,minor,38411,23274
Aboisso,477057.84697314363,604377.863978243,30,N,Côte D’Ivoire,CI,Comoé,minor,37654,37654
Touba,645006.0089689812,915861.0381743188,29,P,Côte D’Ivoire,CI,Woroba,minor,27504,27504
Toulépleu,565123.6351851161,727329.5700094076,29,N,Côte D’Ivoire,CI,Montagnes,minor,,
Sakassou,246964.18039703942,824663.541856236,30,N,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Ayamé,482603.26291088,619565.5956574837,30,N,Côte D’Ivoire,CI,Comoé,minor,,
