city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Zagreb,577710.7199854135,5072312.711560039,33,T,Croatia,HR,"Zagreb, Grad",primary,722526,698966
Split,617669.5368271174,4818913.29245456,33,T,Croatia,HR,Splitsko-Dalmatinska Županija,admin,214741,176314
Rijeka,453712.04872624046,5021230.491902187,33,T,Croatia,HR,Primorsko-Goranska Županija,admin,170992,141172
Slavonski Brod,265437.33703573694,5005089.249212619,34,T,Croatia,HR,Brodsko-Posavska Županija,admin,97718,60742
Osijek,319994.8773432103,5046761.547127993,34,T,Croatia,HR,Osječko-Baranjska Županija,admin,95077,88140
Zadar,519380.84237204556,4885198.759286384,33,T,Croatia,HR,Zadarska Županija,admin,71258,47145
Pula,409001.45690126746,4968969.432612323,33,T,Croatia,HR,Istarska Županija,minor,61599,59078
Karlovac,542976.0680391646,5037717.836895416,33,T,Croatia,HR,Karlovačka Županija,,55063,48123
Šibenik,572956.3979929355,4841975.370599987,33,T,Croatia,HR,Šibensko-Kninska Županija,admin,37112,37112
Dubrovnik,261576.30774884482,4726112.896223971,34,T,Croatia,HR,Dubrovačko-Neretvanska Županija,admin,36994,28428
Luka,563274.3083642228,5090668.18669166,33,T,Croatia,HR,Zagrebačka Županija,minor,,
Lukač,687771.3598283031,5082728.077020267,33,T,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Bol,634323.0390569493,4791233.623596998,33,T,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Popovac,318058.3345430272,5075511.5882991385,34,T,Croatia,HR,Osječko-Baranjska Županija,minor,,
Zrinski Topolovac,636147.0137792156,5098665.135668736,33,T,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Slano,736541.4664677411,4741119.957244455,33,T,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Garčin,278689.1902419156,5007115.778160514,34,T,Croatia,HR,Brodsko-Posavska Županija,minor,,
Jakšić,716474.770381019,5026443.564204801,33,T,Croatia,HR,Požeško-Slavonska Županija,minor,,
Podbablje,677486.5989582136,4807260.011062643,33,T,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Klakar,274363.46816866397,4997906.36120861,34,T,Croatia,HR,Brodsko-Posavska Županija,minor,,
Biograd na Moru,536268.6916630153,4865678.258065173,33,T,Croatia,HR,Zadarska Županija,minor,,
Vis,596332.4956419356,4768372.725348937,33,T,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Krašić,540340.5863223997,5055939.693308931,33,T,Croatia,HR,Zagrebačka Županija,minor,,
Delnice,484325.4769450174,5027498.9418165805,33,T,Croatia,HR,Primorsko-Goranska Županija,minor,,
Rovišće,634478.1372449105,5089369.259066334,33,T,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Rovinj,392960.4753425714,4992737.074862405,33,T,Croatia,HR,Istarska Županija,minor,,
Labin,430735.37809359224,4993880.661537694,33,T,Croatia,HR,Istarska Županija,minor,,
Bilice,573881.7061003102,4847323.47419447,33,T,Croatia,HR,Šibensko-Kninska Županija,minor,,
Mikleuš,718596.6816926299,5055498.24416285,33,T,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Ogulin,517934.4440198953,5012538.068311563,33,T,Croatia,HR,Karlovačka Županija,minor,,
Žumberak,533704.7640318627,5066362.685999201,33,T,Croatia,HR,Zagrebačka Županija,minor,,
Solin,619373.7983279724,4821523.080198976,33,T,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Čepin,309711.55780257843,5044007.670824678,34,T,Croatia,HR,Osječko-Baranjska Županija,minor,,
Kukljica,519675.7510825246,4875758.655972706,33,T,Croatia,HR,Zadarska Županija,minor,,
Babino Polje,709726.2441713957,4734385.50001703,33,T,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Povljana,509210.4855360992,4910384.046237298,33,T,Croatia,HR,Zadarska Županija,minor,,
Kaštelir,396928.0763787912,5017488.4329391755,33,T,Croatia,HR,Istarska Županija,minor,,
Rešetari,693258.3177712712,5014383.911846699,33,T,Croatia,HR,Brodsko-Posavska Županija,minor,,
Lasinja,567669.9113709108,5042564.9747407995,33,T,Croatia,HR,Zagrebačka Županija,minor,,
Galovac,531497.2953960699,4879877.109248639,33,T,Croatia,HR,Zadarska Županija,minor,,
