city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Havana,360325.14703444345,2558779.3526349342,17,Q,Cuba,CU,La Habana,primary,2174000,1990917
Santiago de Cuba,413535.38005010894,2214000.2517034416,18,Q,Cuba,CU,Santiago de Cuba,admin,555865,446063
Camagüey,197524.52193819254,2367105.087978115,18,Q,Cuba,CU,Camagüey,admin,347562,295605
Holguín,368625.748715951,2310182.597451497,18,Q,Cuba,CU,Holguín,admin,319102,300177
Guantánamo,478140.0281418472,2227479.3536978513,18,Q,Cuba,CU,Guantánamo,admin,272801,217338
Santa Clara,606558.8407257056,2478238.0698651783,17,Q,Cuba,CU,Villa Clara,admin,250512,219288
Las Tunas,297142.2499301706,2319141.203108127,18,Q,Cuba,CU,Las Tunas,admin,203684,156112
Bayamo,328461.6431815345,2253744.262957779,18,Q,Cuba,CU,Granma,admin,192632,162614
Pinar del Río,222395.0358919237,2481439.8205998624,17,Q,Cuba,CU,Pinar del Río,admin,186990,159618
Cienfuegos,558203.1932825465,2449107.617661316,17,Q,Cuba,CU,Cienfuegos,admin,186644,106455
Matanzas,440834.1567931357,2548187.456869711,17,Q,Cuba,CU,Matanzas,admin,146733,123873
Ciego de Ávila,731315.1081833902,2416798.63820691,17,Q,Cuba,CU,Ciego de Ávila,admin,142027,102660
Manzanillo,278549.2587738905,2250722.917472208,18,Q,Cuba,CU,Granma,minor,128188,86678
Sancti Spíritus,660859.940415225,2425864.8809967847,17,Q,Cuba,CU,Sancti Spíritus,admin,127069,76352
Palma Soriano,396197.97385052504,2235174.6920204777,18,Q,Cuba,CU,Santiago de Cuba,minor,102826,67394
Güines,394682.40422222443,2525871.7144901277,17,Q,Cuba,CU,Mayabeque,minor,68935,45955
Artemisa,319426.9208203085,2524300.4596442156,17,Q,Cuba,CU,Artemisa,admin,68073,23976
Morón,744841.978834189,2446661.1082236706,17,Q,Cuba,CU,Ciego de Ávila,minor,66060,49043
Colón,509764.0884142752,2512598.3647931553,17,Q,Cuba,CU,Matanzas,minor,63882,17472
Sagua la Grande,594875.7176242414,2522414.817216823,17,Q,Cuba,CU,Villa Clara,minor,62073,19432
Placetas,638597.1824948906,2467961.5485290685,17,Q,Cuba,CU,Villa Clara,minor,55408,14538
Nuevitas,265418.2272144032,2384264.092879823,18,Q,Cuba,CU,Camagüey,,54022,39570
Banes,424942.6202326192,2318018.7438490475,18,Q,Cuba,CU,Holguín,minor,53104,42387
San Antonio de los Baños,346039.93625326274,2532147.672441407,17,Q,Cuba,CU,Artemisa,minor,42724,32628
Caibarién,657771.291369797,2491190.6850627777,17,Q,Cuba,CU,Villa Clara,minor,39140,11722
Nueva Gerona,313458.8149465881,2421378.580836568,17,Q,Cuba,CU,Isla de la Juventud,admin,25566,20264
San Luis,411156.23195440706,2232523.3138942635,18,Q,Cuba,CU,Santiago de Cuba,minor,,
San Luis,215637.60100234236,2466303.759796282,17,Q,Cuba,CU,Pinar del Río,minor,,
Río Cauto,300189.6356904026,2274595.137105657,18,Q,Cuba,CU,Granma,minor,,
Primero de Enero,765309.6670489684,2428963.8426175765,17,Q,Cuba,CU,Ciego de Ávila,minor,,
Bolivia,774596.2729398758,2444520.223818915,17,Q,Cuba,CU,Ciego de Ávila,minor,,
Guanajay,326951.24418362975,2536363.9873244576,17,Q,Cuba,CU,Artemisa,minor,,
Niquero,230035.28772166785,2218765.934192235,18,Q,Cuba,CU,Granma,minor,,
Gaspar,753993.8120189505,2405923.9650409366,17,Q,Cuba,CU,Ciego de Ávila,minor,,
Jaruco,396606.3249476815,2548768.169559054,17,Q,Cuba,CU,Mayabeque,minor,,
Los Palacios,269020.24180883187,2499744.00698694,17,Q,Cuba,CU,Pinar del Río,minor,,
Majagua,706252.1930416593,2425001.0570116113,17,Q,Cuba,CU,Ciego de Ávila,minor,,
Cubitas,214323.7220761148,2403510.698614542,18,Q,Cuba,CU,Camagüey,minor,,
Quivicán,360889.0268464744,2524579.036100415,17,Q,Cuba,CU,Mayabeque,minor,,
Esmeralda,797960.6414633944,2419169.1556291245,17,Q,Cuba,CU,Camagüey,minor,,
Venezuela,728229.1986260173,2405398.3669884508,17,Q,Cuba,CU,Ciego de Ávila,minor,,
Ciro Redondo,737080.7129919345,2436144.2820697655,17,Q,Cuba,CU,Ciego de Ávila,minor,,
San José de las Lajas,381993.4027978546,2539708.033067307,17,Q,Cuba,CU,Mayabeque,admin,,
Bejucal,357608.52255512186,2536289.369695658,17,Q,Cuba,CU,Mayabeque,minor,,
Imías,538540.3571019149,2219199.146428588,18,Q,Cuba,CU,Guantánamo,minor,,
Mayarí,429223.045067911,2284022.376591229,18,Q,Cuba,CU,Holguín,minor,,
Campechuela,261815.60694897297,2238937.4834302594,18,Q,Cuba,CU,Granma,minor,,
Jagüey Grande,486774.25941579574,2491159.8425636315,17,Q,Cuba,CU,Matanzas,minor,,
Lajas,572754.3418308591,2478911.1471970133,17,Q,Cuba,CU,Cienfuegos,minor,,
Trinidad,604951.9109449877,2411283.3616707306,17,Q,Cuba,CU,Sancti Spíritus,minor,,
Báguanos,393219.6234242808,2294932.0728181885,18,Q,Cuba,CU,Holguín,minor,,
Palmira,562745.053568615,2459657.207783513,17,Q,Cuba,CU,Cienfuegos,minor,,
Santa Lucía,396668.64256702154,2325725.877594372,18,Q,Cuba,CU,Holguín,minor,,
Puerto Padre,333543.2804573976,2344589.9922816954,18,Q,Cuba,CU,Las Tunas,minor,,
Florida,787382.3242058721,2382846.8383284127,17,Q,Cuba,CU,Camagüey,minor,,
Corralillo,542478.7049732457,2541600.5514458786,17,Q,Cuba,CU,Villa Clara,minor,,
Baracoa,552579.5568727108,2249974.183140276,18,Q,Cuba,CU,Guantánamo,minor,,
San Cristóbal,289747.70312890096,2513504.0706788884,17,Q,Cuba,CU,Artemisa,minor,,
Manicaragua,605801.1487423191,2449467.157748567,17,Q,Cuba,CU,Villa Clara,minor,,
Minas,229534.4958253553,2378417.0635925536,18,Q,Cuba,CU,Camagüey,minor,,
San Germán,381865.44445371116,2278300.6579943304,18,Q,Cuba,CU,Holguín,minor,,
Moa,506135.10212483053,2284401.1340621137,18,Q,Cuba,CU,Holguín,minor,,
Los Arabos,528668.2430364931,2513624.5745403706,17,Q,Cuba,CU,Matanzas,minor,,
Cayo Mambí,471999.6998802321,2284965.033472416,18,Q,Cuba,CU,Holguín,minor,,
Ranchuelo,587523.5360844326,2474781.7237860393,17,Q,Cuba,CU,Villa Clara,minor,,
Martí,508302.389262768,2537670.041099854,17,Q,Cuba,CU,Matanzas,minor,,
Consolación del Sur,241327.4830037268,2490809.309333867,17,Q,Cuba,CU,Pinar del Río,minor,,
