city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Cairo,334795.44369324826,3328565.1891156035,36,R,Egypt,EG,Al Qāhirah,primary,11893000,7734614
Alexandria,781548.9284533344,3457266.395100822,35,R,Egypt,EG,Al Iskandarīyah,admin,4165000,3811516
Al Jīzah,327448.2961861316,3321028.1653463403,36,R,Egypt,EG,Al Jīzah,admin,2681863,2681863
Ismailia,430238.6134460207,3385972.235965416,36,R,Egypt,EG,Al Ismā‘īlīyah,admin,656135,284813
Port Said,431840.0984979385,3458254.6356750512,36,R,Egypt,EG,Būr Sa‘īd,admin,623864,500000
Luxor,464240.0294662741,2842050.967292837,36,R,Egypt,EG,Al Uqşur,admin,609248,487896
Sūhāj,369992.42149310873,2938027.2631361885,36,R,Egypt,EG,Sūhāj,admin,600000,209419
Al Manşūrah,345459.9473589314,3434759.116025878,36,R,Egypt,EG,Ad Daqahlīyah,admin,600000,480494
Suez,454297.24914654624,3315967.0528014917,36,R,Egypt,EG,As Suways,admin,508335,488125
Al Minyā,278996.7083934748,3111419.8534152927,36,R,Egypt,EG,Al Minyā,admin,500000,227150
Ib‘ādīyat Damanhūr,254245.86058616114,3436087.1725267414,36,R,Egypt,EG,Al Buḩayrah,,500000,242700
Banī Suwayf,314845.28560589044,3217723.424023289,36,R,Egypt,EG,Banī Suwayf,admin,489450,189624
Asyūţ,320065.4272770906,3007781.1395341055,36,R,Egypt,EG,Asyūţ,admin,420585,420585
Ţanţā,308812.93306524586,3407866.4140531477,36,R,Egypt,EG,Al Gharbīyah,admin,404901,404901
Al Fayyūm,290396.0267434574,3244259.1901214696,36,R,Egypt,EG,Al Fayyūm,admin,316772,306393
Aswān,490551.57138321316,2664574.0638454356,36,R,Egypt,EG,Aswān,admin,313442,241261
Qinā,472687.8396853301,2893894.553593753,36,R,Egypt,EG,Qinā,admin,302027,235362
Mallawī,287233.17211444234,3069314.231846034,36,R,Egypt,EG,Al Minyā,,217365,142504
Al ‘Arīsh,575996.4087420234,3444134.1346925753,36,R,Egypt,EG,Shamāl Sīnā’,admin,178651,128855
Banhā,325127.7175947336,3371064.584506776,36,R,Egypt,EG,Al Qalyūbīyah,admin,167029,167029
Ma‘şarat Samālūţ,276123.8323380307,3134398.7414127565,36,R,Egypt,EG,Al Minyā,,152097,90465
Kafr ash Shaykh,303566.0771630135,3444094.9613790503,36,R,Egypt,EG,Kafr ash Shaykh,admin,143970,143970
Jirjā,389390.29860879865,2913619.0304109477,36,R,Egypt,EG,Sūhāj,,128250,102701
Marsá Maţrūḩ,523328.8859917327,3468699.1602429408,35,R,Egypt,EG,Maţrūḩ,admin,103470,62042
Isnā,455103.2396982408,2797505.939186486,36,R,Egypt,EG,Qinā,,100000,69335
Banī Mazār,284714.64954262297,3154963.33990016,36,R,Egypt,EG,Al Minyā,,79553,58153
Al Khārijah,253266.87127914382,2817204.0125239408,36,R,Egypt,EG,Al Wādī al Jadīd,admin,49991,49991
Būr Safājah,593140.1530438301,2956782.066047132,36,R,Egypt,EG,Al Baḩr al Aḩmar,,32944,9127
Aţ Ţūr,561357.2702676463,3123546.3898761077,36,R,Egypt,EG,Janūb Sīnā’,admin,27628,14972
Sīwah,356270.0949909915,3231196.4405295034,35,R,Egypt,EG,Maţrūḩ,,23080,23080
Aḑ Ḑab‘ah,637912.4744452473,3433622.5175223956,35,R,Egypt,EG,Maţrūḩ,,14212,14212
Al ‘Alamayn,686985.462702744,3412404.5357521805,35,R,Egypt,EG,Maţrūḩ,,7400,2476
As Sallūm,325155.14163597673,3492441.005776072,35,R,Egypt,EG,Maţrūḩ,,7330,7330
Qaşr al Farāfirah,596172.5171720845,2993096.5297886543,35,R,Egypt,EG,Al Wādī al Jadīd,,5000,5000
Al Qaşr,689097.634010929,2843437.6254303004,35,R,Egypt,EG,Al Wādī al Jadīd,,1716,1716
Al Ghardaqah,580987.9879113527,3014710.5317576826,36,R,Egypt,EG,Al Baḩr al Aḩmar,admin,,
Bi’r al ‘Abd,500935.3830800371,3431693.691312683,36,R,Egypt,EG,Shamāl Sīnā’,minor,,
Rafaḩ,617841.5502140586,3462160.056202763,36,R,Egypt,EG,Shamāl Sīnā’,minor,,
Damanhūr,258351.07717378196,3436132.909674587,36,R,Egypt,EG,Al Buḩayrah,admin,,
Shibīn al Kawm,309030.0832141027,3381705.445254712,36,R,Egypt,EG,Al Minūfīyah,admin,,
Damietta,387203.5905076686,3476368.468508408,36,R,Egypt,EG,Dumyāţ,admin,,
Ash Shaykh Zuwayd,605801.1566478099,3454105.022764068,36,R,Egypt,EG,Shamāl Sīnā’,minor,,
Az Zaqāzīq,356371.988043229,3384863.0915774195,36,R,Egypt,EG,Ash Sharqīyah,admin,,
