city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Paris,451108.4142781086,5412848.196066809,31,U,France,FR,Île-de-France,primary,9904000,11177
Lyon,643641.0845474506,5067758.338974432,31,T,France,FR,Auvergne-Rhône-Alpes,admin,1423000,472317
Marseille,692773.3121040983,4795251.618316287,31,T,France,FR,Provence-Alpes-Côte d’Azur,admin,1400000,794811
Lille,504143.2333694645,5609012.8052988555,31,U,France,FR,Hauts-de-France,admin,1044000,228328
Nice,359788.1771327513,4841540.623772701,32,T,France,FR,Provence-Alpes-Côte d’Azur,,927000,338620
Toulouse,373539.5728517235,4828586.090552767,31,T,France,FR,Occitanie,admin,847000,433055
Bordeaux,691222.5349089409,4968073.27717086,30,T,France,FR,Nouvelle-Aquitaine,admin,803000,231844
Rouen,361034.30870038597,5477395.169463439,31,U,France,FR,Normandie,admin,532559,110276
Strasbourg,410597.50545158633,5383743.304935503,32,U,France,FR,Grand Est,admin,439972,274845
Nantes,609609.960723569,5230240.790561997,30,T,France,FR,Pays de la Loire,admin,438537,277269
Metz,293926.1356339094,5444132.277436742,32,U,France,FR,Grand Est,minor,409186,123914
Grenoble,713924.1338833426,5005613.079925872,31,T,France,FR,Auvergne-Rhône-Alpes,,388574,158552
Toulon,739322.9653043636,4778087.023402802,31,T,France,FR,Provence-Alpes-Côte d’Azur,,357693,168701
Montpellier,570789.2486870481,4829033.861791861,31,T,France,FR,Occitanie,minor,327254,248252
Nancy,293051.1104867464,5397046.549989018,32,U,France,FR,Grand Est,,268976,105334
Saint-Étienne,608802.4619848353,5032258.7652063165,31,T,France,FR,Auvergne-Rhône-Alpes,,265684,176280
Melun,474431.0148393698,5377013.231695942,31,U,France,FR,Île-de-France,,249432,38953
Le Havre,292445.0543467954,5486990.590486917,31,U,France,FR,Normandie,,242124,185972
Tours,326737.4366290958,5251598.19636735,31,T,France,FR,Centre-Val de Loire,,236096,141621
Clermont-Ferrand,506707.4071659844,5069569.96736548,31,T,France,FR,Auvergne-Rhône-Alpes,minor,233050,138681
Orléans,418082.06920564896,5306088.509985424,31,T,France,FR,Centre-Val de Loire,admin,217301,124149
Mulhouse,376142.2840774988,5288511.496248023,32,T,France,FR,Grand Est,,215454,111430
Rennes,598676.7851937551,5329596.500603186,30,U,France,FR,Bretagne,admin,209375,199284
Reims,575200.9880631304,5455761.451445454,31,U,France,FR,Grand Est,,196565,159313
Caen,694739.7160202267,5452816.554589703,30,U,France,FR,Normandie,minor,190099,110624
Angers,684775.1508247207,5260733.609096796,30,T,France,FR,Pays de la Loire,,188380,168279
Dijon,652407.5561099697,5242327.238727418,31,T,France,FR,Bourgogne-Franche-Comté,admin,169946,149782
Nîmes,609310.8675270304,4854309.524903648,31,T,France,FR,Occitanie,,169547,148236
Limoges,364689.5602315408,5076805.8808761155,31,T,France,FR,Nouvelle-Aquitaine,minor,152199,141176
Aix-en-Provence,697880.2701603391,4822441.460726628,31,T,France,FR,Provence-Alpes-Côte d’Azur,,146821,143797
Perpignan,491571.41996516025,4727081.244741335,31,T,France,FR,Occitanie,,146620,110706
Biarritz,616812.0691989193,4815146.719455397,30,T,France,FR,Nouvelle-Aquitaine,,145348,33188
Brest,389979.9842439872,5360799.590065908,30,U,France,FR,Bretagne,,144899,140929
Le Mans,291493.9830190366,5320124.3580068825,31,U,France,FR,Pays de la Loire,,144515,142270
Amiens,449729.2782480901,5527747.24464655,31,U,France,FR,Hauts-de-France,minor,143086,94731
Besançon,274365.57489263744,5237123.773108929,32,T,France,FR,Bourgogne-Franche-Comté,minor,128426,119960
Annecy,277140.8675799492,5087641.421513915,32,T,France,FR,Auvergne-Rhône-Alpes,,105749,49232
Calais,419852.9870927216,5645022.528550547,31,U,France,FR,Hauts-de-France,,92201,74433
Poitiers,295698.4236814419,5162317.744108922,31,T,France,FR,Nouvelle-Aquitaine,minor,85960,84807
Versailles,436427.5377965287,5405983.941527339,31,U,France,FR,Île-de-France,,85416,85416
Kerbrient,469196.3627458995,5286405.947739487,30,T,France,FR,Bretagne,,84952,58112
Béziers,518023.5172260492,4799183.499025758,31,T,France,FR,Occitanie,,81438,74081
La Rochelle,642818.0906246975,5114229.12699624,30,T,France,FR,Nouvelle-Aquitaine,,76997,76810
Roanne,582675.8124754236,5099412.443386764,31,T,France,FR,Auvergne-Rhône-Alpes,,73315,39840
Bourges,454455.68585213646,5214599.317163029,31,T,France,FR,Centre-Val de Loire,,72340,67987
Arras,484350.68287883897,5571098.151412185,31,U,France,FR,Hauts-de-France,,64165,47052
Troyes,580482.1704262106,5350294.794172128,31,U,France,FR,Grand Est,,61703,60785
Cherbourg,599960.1450021522,5499522.634594624,30,U,France,FR,Normandie,,60991,60991
Agen,310356.5291432056,4896816.132194699,31,T,France,FR,Nouvelle-Aquitaine,,58223,34367
Tarbes,263162.377107085,4790857.638086933,31,T,France,FR,Occitanie,,54854,52106
Ajaccio,477996.74402259075,4641730.311431368,32,T,France,FR,Corsica,admin,54364,39446
Saint-Brieuc,517287.8270082006,5373069.608707816,30,U,France,FR,Bretagne,,53223,52774
Nevers,511944.36055210716,5204198.505615139,31,T,France,FR,Bourgogne-Franche-Comté,,45929,43988
Vichy,532714.5555271935,5108385.8170963945,31,T,France,FR,Auvergne-Rhône-Alpes,,43158,27019
Dieppe,362646.1259411663,5531536.013003118,31,U,France,FR,Normandie,,42461,35707
Auxerre,542708.4890925671,5294184.45683214,31,T,France,FR,Bourgogne-Franche-Comté,,41516,34552
Bastia,536855.0854951908,4727907.814668004,32,T,France,FR,Corsica,,41001,40116
Châlons-en-Champagne,600094.1520522935,5423234.745996689,31,U,France,FR,Grand Est,minor,,
