city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Conakry,641352.6657016617,1051407.5169671744,28,P,Guinea,GN,Conakry,primary,1494000,1494000
Guéckédou,375368.65057600534,946667.3676566157,29,P,Guinea,GN,N’Zérékoré,admin,221715,221715
Nzérékoré,519419.08529070445,856357.0441662698,29,N,Guinea,GN,N’Zérékoré,admin,168121,132728
Labé,796561.1268702322,1252374.2286623747,28,P,Guinea,GN,Labé,admin,140575,58649
Kindia,735634.4300621252,1113556.4862790983,28,P,Guinea,GN,Kindia,admin,117062,69960
Boké,576489.600008005,1208696.672847463,28,P,Guinea,GN,Boké,admin,116270,116270
Kankan,467160.4726351541,1147811.1262619367,29,P,Guinea,GN,Kankan,admin,114009,106906
Mamou,819401.723776646,1149261.8045244524,28,P,Guinea,GN,Mamou,admin,71153,41619
Kissidougou,379149.00947925076,1015306.2239232013,29,P,Guinea,GN,Faranah,admin,66815,47099
Siguiri,481818.6825970096,1262056.370594162,29,P,Guinea,GN,Kankan,admin,50159,43601
Macenta,448338.2742198758,944703.5328809936,29,P,Guinea,GN,N’Zérékoré,admin,43102,41233
Kamsar,543746.2314895948,1179151.3121405756,28,P,Guinea,GN,Boké,,34973,34973
Télimélé,714957.8112630583,1205620.2361757185,28,P,Guinea,GN,Kindia,admin,30311,30311
Tougué,207216.73979846254,1267098.6215134298,29,P,Guinea,GN,Labé,admin,25531,25531
Fria,660530.520134649,1155539.4835496293,28,P,Guinea,GN,Boké,admin,23729,23729
Pita,784044.8099830176,1226433.179795835,28,P,Guinea,GN,Mamou,admin,20052,20052
Faranah,310026.4775312771,1109598.6600638335,29,P,Guinea,GN,Faranah,admin,19469,9350
Kérouané,498169.4248702201,1024334.3953588707,29,P,Guinea,GN,Kankan,admin,15406,7228
Kouroussa,403385.6664681871,1177417.855540706,29,P,Guinea,GN,Kankan,admin,14223,14223
Koundara,684748.9487358257,1380593.1535732779,28,P,Guinea,GN,Boké,admin,13990,13990
Beyla,540336.533155868,959862.1392158037,29,P,Guinea,GN,N’Zérékoré,admin,13204,13204
Dabola,268525.1768819965,1189134.825969693,29,P,Guinea,GN,Faranah,admin,13057,13057
Forécariah,709932.1276773227,1043027.8942583682,28,P,Guinea,GN,Kindia,admin,12358,12358
Gaoual,696154.8648744574,1299536.9827309507,28,P,Guinea,GN,Boké,admin,7461,7461
Dalaba,800828.5377092075,1184149.7785638708,28,P,Guinea,GN,Mamou,admin,6349,6349
Dinguiraye,312630.83620225557,1249701.0324002907,29,P,Guinea,GN,Faranah,admin,6062,6062
Mali,794129.7093852916,1336741.317011231,28,P,Guinea,GN,Labé,admin,5479,5479
Yomou,470736.01025365817,835695.3241413524,29,N,Guinea,GN,N’Zérékoré,admin,3614,1601
Boffa,605892.6716567817,1123997.561210527,28,P,Guinea,GN,Boké,admin,2332,2332
Koubia,183707.0726811019,1282088.3592266052,29,P,Guinea,GN,Labé,admin,,
Coyah,678060.0635007487,1073283.268776864,28,P,Guinea,GN,Kindia,admin,,
Mandiana,534636.1359486211,1175455.0364343713,29,P,Guinea,GN,Kankan,admin,,
Lola,551451.6274703601,862216.0851175925,29,N,Guinea,GN,N’Zérékoré,admin,,
Lélouma,725675.5417329624,1237040.4126183088,28,P,Guinea,GN,Labé,admin,,
Dubréka,661955.3693073536,1082672.1005750569,28,P,Guinea,GN,Kindia,admin,,
