city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Budapest,355651.5476851317,5262510.122472369,34,T,Hungary,HU,Budapest,primary,1679000,1679000
Miskolc,483868.8796248649,5327437.608423556,34,U,Hungary,HU,Miskolc,admin,247757,172637
Debrecen,547668.1974948135,5264628.591871057,34,T,Hungary,HU,Debrecen,admin,231286,204124
Szeged,435764.4210074564,5122162.269593491,34,T,Hungary,HU,Szeged,admin,187765,164883
Pécs,286026.89453812764,5106143.882234736,34,T,Hungary,HU,Pécs,admin,186262,156649
Nyíregyháza,553511.6308207897,5310991.473492923,34,T,Hungary,HU,Szabolcs-Szatmár-Bereg,admin,176880,116298
Székesfehérvár,303787.90554036613,5230145.297177257,34,T,Hungary,HU,Fejér,admin,144319,101600
Győr,697933.934761439,5284913.941728226,33,T,Hungary,HU,Győr,admin,136081,128265
Kecskemét,407330.2032254252,5194770.040258109,34,T,Hungary,HU,Bács-Kiskun,admin,113895,109847
Szombathely,622370.6908581663,5232361.658547677,33,T,Hungary,HU,Vas,admin,109518,79534
Szolnok,439388.04259594966,5225847.974280406,34,T,Hungary,HU,Jász-Nagykun-Szolnok,admin,109261,75474
Kaposvár,715369.8986633221,5138598.339310527,33,T,Hungary,HU,Somogy,admin,108528,67746
Horváttanya,306884.7792210159,5269479.209765069,34,T,Hungary,HU,Komárom-Esztergom,,70541,70541
Békéscsaba,507647.3585949388,5169979.888558121,34,T,Hungary,HU,Békés,admin,65206,65206
Veszprém,720986.5158160874,5219757.211289422,33,T,Hungary,HU,Veszprém,admin,62023,62023
Zalaegerszeg,640599.127937584,5189034.699433181,33,T,Hungary,HU,Zala,admin,61898,61898
Eger,453910.67552409315,5305369.77054411,34,T,Hungary,HU,Heves,admin,56647,56647
Salgótarján,411054.91645172087,5328479.029743008,34,U,Hungary,HU,Nógrád,admin,39640,39640
Vác,359994.0310810651,5293619.476381298,34,T,Hungary,HU,Pest,minor,35293,35108
Szekszárd,323730.93732468097,5135501.861682912,34,T,Hungary,HU,Tolna,admin,34174,34174
Szeghalom,512663.07089925953,5208881.77385257,34,T,Hungary,HU,Békés,minor,,
Nagyatád,682060.5072018941,5122097.08374153,33,T,Hungary,HU,Somogy,minor,,
Sarkad,529278.7562743757,5177454.466368724,34,T,Hungary,HU,Békés,minor,,
Kemecse,560055.0436011276,5324986.063872965,34,U,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Edelény,480223.45132151636,5349679.215433092,34,U,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
Jánoshalma,371065.31106763973,5128588.118126429,34,T,Hungary,HU,Bács-Kiskun,minor,,
