city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Mumbai,272226.7372161496,2100878.030527181,43,Q,India,IN,Mahārāshtra,admin,18978000,12691836
Delhi,718101.5483221703,3171463.0154037415,43,R,India,IN,Delhi,admin,15926000,7633213
Kolkata,640142.2112819235,2495743.7134200493,45,Q,India,IN,West Bengal,admin,14787000,4631392
Chennai,418516.4019529825,1446614.7862711423,44,P,India,IN,Tamil Nādu ,admin,7163000,4328063
Bengalūru,780661.3812677474,1436022.8332361798,43,P,India,IN,Karnātaka,admin,6787000,5104047
Hyderabad,229730.27372535714,1923834.876785318,44,Q,India,IN,Andhra Pradesh,admin,6376000,3597816
Ahmadābād,252735.1705377514,2548412.241725379,43,Q,India,IN,Gujarāt,minor,5375000,3719710
Hāora,635554.6523863688,2497280.8755567865,45,Q,India,IN,West Bengal,,4841638,1027672
Pune,378592.8801660654,2047360.324572849,43,Q,India,IN,Mahārāshtra,,4672000,2935744
Sūrat,274754.166640252,2345376.100940749,43,Q,India,IN,Gujarāt,,3842000,2894504
Mardānpur,426928.57017216797,2923520.3554436024,44,R,India,IN,Uttar Pradesh,,3162000,2823249
Rāmpura,578395.3221517588,2973907.0170092587,43,R,India,IN,Rājasthān,,2917000,2711758
Lucknow,492362.812696344,2968636.650649773,44,R,India,IN,Uttar Pradesh,admin,2695000,2472011
Nāra,301664.0895749016,2345821.4939261265,44,Q,India,IN,Mahārāshtra,,2454000,2228018
Patna,309318.62006833556,2834457.07207679,45,R,India,IN,Bihār,admin,2158000,1599920
Indore,588173.8347551387,2512528.9263870833,43,Q,India,IN,Madhya Pradesh,,2026000,1837041
Vadodara,315409.72402998153,2467063.0025288397,43,Q,India,IN,Gujarāt,,1756000,1409476
Bhopal,745837.5540727539,2573750.216130591,43,Q,India,IN,Madhya Pradesh,admin,1727000,1599914
Coimbatore,714822.0587795689,1217296.6151777587,43,P,India,IN,Tamil Nādu ,,1696000,959823
Ludhiāna,581584.0266444745,3420166.32948085,43,R,India,IN,Punjab,,1649000,1545368
Āgra,203162.1422276795,3010799.2373508164,44,R,India,IN,Uttar Pradesh,,1592000,1430055
Kalyān,304025.65748393664,2128844.1902076136,43,Q,India,IN,Mahārāshtra,,1576614,1576614
Vishākhapatnam,743692.7437806434,1958929.98321837,44,Q,India,IN,Andhra Pradesh,,1529000,1063178
Kochi,637443.3503403949,1099894.6005849608,43,P,India,IN,Kerala,,1519000,604696
Nāsik,372048.4609038625,2211944.36351235,43,Q,India,IN,Mahārāshtra,,1473000,1289497
Meerut,763701.9676817805,3208790.6951714368,43,R,India,IN,Uttar Pradesh,,1398000,1223184
Farīdābād,726600.5789521026,3144935.6039143633,43,R,India,IN,Haryāna,,1394000,1394000
Vārānasi,701908.5128488622,2801643.1712804623,44,R,India,IN,Uttar Pradesh,,1352000,1164404
Ghāziābād,738373.1501240691,3173345.3815683294,43,R,India,IN,Uttar Pradesh,,1341000,1199191
Āsansol,498300.6592245415,2619167.91549216,45,Q,India,IN,West Bengal,,1328000,1328000
Jamshedpur,416400.6994779454,2521917.712876476,45,Q,India,IN,Jharkhand,,1300000,616338
Madurai,184118.03416316415,1097642.456456463,44,P,India,IN,Tamil Nādu ,,1294000,909908
Jabalpur,391086.0405969893,2563234.5630868003,44,Q,India,IN,Madhya Pradesh,,1285000,1030168
Rājkot,684738.1932486084,2466201.0628265627,42,Q,India,IN,Gujarāt,,1260000,1099882
Dhanbād,443284.8345522647,2632415.3477938157,45,Q,India,IN,Jharkhand,,1246000,219636
Amritsar,488176.7104808768,3498582.588214941,43,R,India,IN,Punjab,,1212000,1092450
Warangal,351784.4279737009,1988357.2627818994,44,Q,India,IN,Andhra Pradesh,,1203853,865527
Allahābād,584781.8553172393,2814467.132820675,44,R,India,IN,Uttar Pradesh,,1201000,1073438
Srīnagar,482061.2710918563,3771670.0271988087,43,S,India,IN,Jammu and Kashmīr,admin,1140000,975857
Aurangābād,536298.0749217808,2198343.898489869,43,Q,India,IN,Mahārāshtra,,1113000,1016441
Bhilai,544471.1484813197,2345359.493795504,44,Q,India,IN,Chhattīsgarh,,1097000,1097000
Solāpur,596561.4537881633,1954077.6352959096,43,Q,India,IN,Mahārāshtra,,1057000,961112
Ranchi,330156.3779721307,2582994.539968738,45,Q,India,IN,Jharkhand,admin,1044000,846454
