city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Jakarta Pusat,701638.5233740824,9316353.415204028,48,M,Indonesia,ID,Jakarta,,9125000,8540121
Surabaya,693306.2337447295,9198333.66484224,49,M,Indonesia,ID,Jawa Timur,admin,2845000,2374658
Tanjung,785714.6262689871,9233241.913952934,48,M,Indonesia,ID,Jawa Barat,,2394000,1699719
Bekasijaya,722794.7450526078,9310853.501890564,48,M,Indonesia,ID,Jawa Barat,,2378211,1520119
Merdeka,462161.4908786006,394648.60815011687,47,N,Indonesia,ID,Sumatera Utara,,2115000,1750971
Palembang,472218.4472725616,9671013.469439346,48,M,Indonesia,ID,Sumatera Selatan,admin,1749000,1441500
Semarangindah,432719.32422153803,9229081.91897725,49,M,Indonesia,ID,Jawa Tengah,,1396000,1288084
Ujungtanah,768798.5976171484,9434160.741090976,50,M,Indonesia,ID,Sulawesi Selatan,,1262000,1262000
Cilacap,280455.72043693904,9145437.194640769,49,M,Indonesia,ID,Jawa Tengah,minor,1174964,1174964
Bogor,697812.5418509135,9270728.788983498,48,M,Indonesia,ID,Jawa Barat,,918000,800000
Tanjung Gintung,530501.4657873942,9399861.679916339,48,M,Indonesia,ID,Lampung,,881801,881801
Bandar Lampung,528925.7392787145,9399889.681549106,48,M,Indonesia,ID,Lampung,admin,865000,726514
Pampangan,653795.9572635836,9891750.765480539,47,M,Indonesia,ID,Sumatera Barat,,855000,840352
Gadang,679455.3300278106,9113986.860592553,49,L,Indonesia,ID,Jawa Timur,minor,805000,746716
Pekanbaru,771768.2435727185,57159.48430926197,47,N,Indonesia,ID,Riau,admin,799000,611436
Wanasari,303529.3328780667,9044167.27694721,50,L,Indonesia,ID,Bali,,732344,405923
Yogyakarta,429958.0254719433,9137606.088110976,49,M,Indonesia,ID,Yogyakarta,admin,636660,636660
Palu,819546.53033454,9899474.836836085,50,M,Indonesia,ID,Sulawesi Tengah,admin,612445,335297
Pontianak Barat,312884.04072296247,9997905.542608585,49,M,Indonesia,ID,Kalimantan Barat,minor,607311,550304
Banjarmasin,232072.88364164403,9632310.008841721,50,M,Indonesia,ID,Kalimantan Selatan,admin,603576,572837
Samarinda,516226.9858426033,9945655.833216155,50,M,Indonesia,ID,Kalimantan Timur,admin,592228,355160
Pekan Binjai,443249.7173294813,398857.8367976046,47,N,Indonesia,ID,Sumatera Utara,,564979,246010
Surakarta,481430.3025782683,9164770.66083119,49,M,Indonesia,ID,Jawa Tengah,,555308,555308
Lampaseh Aceh,755935.4076443727,614845.2529232688,46,N,Indonesia,ID,Aceh,,513698,174433
Bukittinggi,652520.5623024962,9965828.85482711,47,M,Indonesia,ID,Sumatera Barat,,506964,98746
Pasuruan,710420.3829373199,9154448.325994333,49,M,Indonesia,ID,Jawa Timur,,500000,186322
Mataram Timur,401570.6915740891,9050018.254923623,50,L,Indonesia,ID,Nusa Tenggara Barat,,499409,318674
Jambi,345526.73951023875,9820871.112562332,48,M,Indonesia,ID,Jambi,admin,457090,420323
Manado Light,704125.5132267401,164314.32660751193,51,N,Indonesia,ID,Sulawesi Utara,,451893,447102
Balikpapan Baru,485248.3794018816,9862533.19436954,50,M,Indonesia,ID,Kalimantan Timur,,445905,433866
Bengkulu,198717.8475901542,9578123.494864762,48,M,Indonesia,ID,Bengkulu,admin,426673,309712
Gorontalo,506954.38259971293,59409.952866858475,51,N,Indonesia,ID,Gorontalo,admin,365497,144195
Ambon,409310.0737434834,9591452.059366819,52,M,Indonesia,ID,Maluku,admin,355596,99526
Pematangsiantar,507634.4641610957,327116.8275173491,47,N,Indonesia,ID,Sumatera Utara,,341200,209614
Jumerto,796231.079719645,9099472.82097446,49,L,Indonesia,ID,Jawa Timur,minor,298585,298585
Kupang,566484.472078178,8875637.329260467,51,L,Indonesia,ID,Nusa Tenggara Timur,admin,282396,259200
Sukabumi,712878.4766426159,9234878.507669589,48,M,Indonesia,ID,Jawa Barat,,276414,276414
Majene,718917.0015228251,9608452.929520389,50,M,Indonesia,ID,Sulawesi Barat,minor,272377,37715
Pencongan,349085.955376336,9238721.304095766,49,M,Indonesia,ID,Jawa Tengah,,272000,257945
Tasikmalaya,193125.1605422903,9189108.119389854,49,M,Indonesia,ID,Jawa Barat,,271143,271143
Kampung Tebingtinggi,518751.8890821656,367186.5426945715,47,N,Indonesia,ID,Sumatera Utara,,268043,117530
Padangmatinggi,528111.3220232361,151129.49932128674,47,N,Indonesia,ID,Sumatera Utara,,266882,100561
Kacirebonan,231127.84910894738,9255960.53444454,49,M,Indonesia,ID,Jawa Barat,,254298,254298
Singkawang,275721.61896611826,100562.36381632701,49,N,Indonesia,ID,Kalimantan Barat,,248012,101838
Tegal,294491.303023224,9240289.433769317,49,M,Indonesia,ID,Jawa Tengah,,237084,237084
Kediri,612091.06146563,9135834.5425189,49,M,Indonesia,ID,Jawa Timur,,235143,235143
Kampungsingaraja,289170.259351235,9101695.199606504,50,L,Indonesia,ID,Bali,,234468,133784
Tanjungpinang,439732.7834593402,101323.89023159376,48,N,Indonesia,ID,Kepulauan Riau,admin,226666,125472
Sibolga,475441.71511313354,192622.7467721911,47,N,Indonesia,ID,Sumatera Utara,,217312,79714
Martapura,262702.19169448956,9622725.361130068,50,M,Indonesia,ID,Kalimantan Selatan,minor,198239,131449
Tarakan,565713.241747678,366245.0040252204,50,N,Indonesia,ID,Kalimantan Utara,,193069,97478
Ternate,320199.718877286,87425.29536915034,52,N,Indonesia,ID,Maluku Utara,,187521,101731
Gading,555689.8379574243,9157048.662498213,49,M,Indonesia,ID,Jawa Timur,,186099,186099
Pinrang,794591.1023797693,9581064.3940314,50,M,Indonesia,ID,Sulawesi Selatan,minor,182731,182731
Probolinggo,744393.4582032613,9142226.617853897,49,M,Indonesia,ID,Jawa Timur,,181656,181656
Salatigapermai,441712.4086795026,9193482.769618185,49,M,Indonesia,ID,Jawa Tengah,,176000,172645
Banyuwangi,209641.09769394156,9090259.424610136,50,L,Indonesia,ID,Jawa Timur,minor,172424,108166
Jayapura,467267.4524310442,9719831.506244157,54,M,Indonesia,ID,Papua,admin,169341,134895
Kendari,446345.02125537273,9560620.306719977,51,M,Indonesia,ID,Sulawesi Tenggara,admin,165377,165377
Secang,629432.0500765436,9324196.603366695,48,M,Indonesia,ID,Banten,,164767,164767
Palangkaraya,824453.2725143798,9755593.213862736,49,M,Indonesia,ID,Kalimantan Tengah,admin,148289,148289
Kota Lhokseumawe,294086.4447119213,572542.0124516889,47,N,Indonesia,ID,Aceh,,140322,88974
Blitar,628701.2680990729,9104650.072730504,49,L,Indonesia,ID,Jawa Timur,,132416,132416
Pangkalpinang,623716.9704251955,9765538.70275587,48,M,Indonesia,ID,Kepulauan Bangka Belitung,admin,125933,73638
Sorong,754580.6839941835,9902954.624542639,52,M,Indonesia,ID,Papua Barat,,125535,125535
Indramayu,203480.8722906065,9299950.881407881,49,M,Indonesia,ID,Jawa Barat,minor,123263,123263
Pati,504199.2825450624,9253235.240937468,49,M,Indonesia,ID,Jawa Tengah,minor,122785,122785
Mojokasri,654487.6759674109,9174416.887829637,49,M,Indonesia,ID,,,112557,112557
Magelang,413689.6111876167,9174155.66426845,49,M,Indonesia,ID,Jawa Tengah,,111461,111461
Sabali,695144.828647758,9062202.562516887,50,L,Indonesia,ID,Nusa Tenggara Barat,,106101,106101
Maumere,413197.6013193679,9047080.62276856,51,L,Indonesia,ID,Nusa Tenggara Timur,minor,104285,47598
Barias,620115.7902153544,9869392.303394975,53,M,Indonesia,ID,Papua,,103610,103610
Prabumulih,414530.55124300276,9620348.707091136,48,M,Indonesia,ID,Sumatera Selatan,minor,103470,64038
Bontangkuala,557207.0623637941,15441.673536293833,50,N,Indonesia,ID,Kalimantan Timur,,101691,101691
Sungai Penuh,765999.2043294755,9772538.950253319,47,M,Indonesia,ID,Jambi,,95913,17633
Sampit,716773.3203621357,9720028.415950993,49,M,Indonesia,ID,Kalimantan Tengah,minor,92710,66053
Parepare,791542.4448726143,9555912.605434256,50,M,Indonesia,ID,Sulawesi Selatan,,87776,87776
Sumenep,816744.1619253135,9223440.089512583,49,M,Indonesia,ID,Jawa Timur,minor,84656,84656
Watampone,203481.459586697,9497790.370280106,51,M,Indonesia,ID,Sulawesi Selatan,minor,81629,36277
Ende,352892.4731881815,9022219.085595325,51,L,Indonesia,ID,Nusa Tenggara Timur,minor,77205,44655
Tuban,617651.3754349152,9237439.758967131,49,M,Indonesia,ID,Jawa Timur,minor,76242,76242
Manokwari,395686.74092028325,9904808.463016463,53,M,Indonesia,ID,Papua Barat,admin,74504,53190
Lahat-ulu,336572.7064142454,9580017.653428733,48,M,Indonesia,ID,Sumatera Selatan,,65906,35033
Tanjungpandan,794268.2908184951,9697512.856436426,48,M,Indonesia,ID,Kepulauan Bangka Belitung,minor,62374,60808
Redong,219613.03644999658,9048802.895809367,51,L,Indonesia,ID,Nusa Tenggara Timur,,53976,34569
Sawahlunto,701110.4805012422,9925373.16845302,47,M,Indonesia,ID,Sumatera Barat,,50354,50354
Wunga,199595.23781211028,8930199.12311993,51,L,Indonesia,ID,Nusa Tenggara Timur,,48828,23153
Luwuk,476357.2552174317,9894818.782869015,51,M,Indonesia,ID,Sulawesi Tengah,minor,47778,39323
Amahai,491590.64630562713,9631466.22267276,52,M,Indonesia,ID,Maluku,minor,47653,4692
Poso,249907.61180241843,9845591.258824477,51,M,Indonesia,ID,Sulawesi Tengah,minor,47110,35904
Padangpanjang,656375.441152761,9949580.481590666,47,M,Indonesia,ID,Sumatera Barat,,44096,44096
Nabire,555142.8692099391,9627827.00623278,53,M,Indonesia,ID,Papua,minor,43898,13771
Kotaalam,485868.8923579901,9465615.739193218,48,M,Indonesia,ID,Lampung,,42366,42366
Bayan,419583.3962091796,9039420.158872932,50,L,Indonesia,ID,Nusa Tenggara Barat,,35183,35183
Merauke,432349.431848913,9061576.283806596,54,L,Indonesia,ID,Papua,minor,34412,34412
Baubau,455956.36745116604,9396108.304611914,51,M,Indonesia,ID,Sulawesi Tenggara,,24412,24412
Makale,817236.7659552912,9656715.693187313,50,M,Indonesia,ID,Sulawesi Selatan,minor,9960,9960
Pakkalolo,191101.9445530327,9654358.608565053,51,M,Indonesia,ID,Sulawesi Selatan,,2444,2444
Tarutung,496161.4802025243,222682.86158427646,47,N,Indonesia,ID,Sumatera Utara,minor,1305,1305
Ketawang,569119.0070205305,9207886.407378571,49,M,Indonesia,ID,Jawa Timur,minor,,
Tekung,751166.675040937,9095799.667183066,49,L,Indonesia,ID,Jawa Timur,minor,,
Dukuhsawah,255175.6870119454,9176797.165047424,49,M,Indonesia,ID,Jawa Tengah,minor,,
Dusun Tengah Cihaurbeuti,191065.89507243602,9200451.158639051,49,M,Indonesia,ID,Jawa Barat,minor,,
Kemiren,551757.9382263058,9237413.001381911,49,M,Indonesia,ID,Jawa Tengah,minor,,
Kramat,774632.3532817506,9148023.290331483,49,M,Indonesia,ID,Jawa Timur,minor,,
Sukokerto,810146.4245660544,9108565.133184996,49,L,Indonesia,ID,Jawa Timur,minor,,
Ragang,811892.7535802197,9109040.098343685,49,L,Indonesia,ID,Jawa Timur,minor,,
Sepang,270593.45282805787,9080949.732148485,50,L,Indonesia,ID,Bali,minor,,
Sepanjang,175160.40896084165,9081174.011040842,50,L,Indonesia,ID,Jawa Timur,minor,,
Makemi,686086.8762177911,9091585.61459261,51,L,Indonesia,ID,Nusa Tenggara Timur,minor,,
