city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Dublin,683184.0285019879,5912850.096988987,29,U,Ireland,IE,Dublin,primary,1059000,968976
Cork,534689.3713191823,5749881.640486176,29,U,Ireland,IE,Cork,admin,188907,136797
Limerick,525492.3284937072,5835041.348193669,29,U,Ireland,IE,Limerick,admin,90054,78078
Galway,496739.6934690101,5902523.866191646,29,U,Ireland,IE,Galway,admin,75594,70686
Waterford,628862.8148978915,5791450.621795412,29,U,Ireland,IE,Waterford,admin,49275,49275
Drogheda,675002.40944236,5955511.996653376,29,U,Ireland,IE,Louth,,36533,33441
Tralee,451093.6172512247,5790940.255157954,29,U,Ireland,IE,Kerry,admin,26384,22941
Kilkenny,618224.2705221769,5835234.289943801,29,U,Ireland,IE,Kilkenny,admin,21589,21213
Sligo,533650.3221601443,6013314.983290356,29,U,Ireland,IE,Sligo,admin,20228,14200
Killarney,464570.17611246154,5766725.34709288,29,U,Ireland,IE,Kerry,,11902,7300
Shannon,509178.0443837508,5839340.101358128,29,U,Ireland,IE,Clare,,8781,7506
Monaghan,632475.3712848108,6013245.442176571,29,U,Ireland,IE,Monaghan,,5937,5937
Ros Comáin,554000.9240485278,5943037.276135535,29,U,Ireland,IE,Roscommon,admin,4860,4860
Donegal,556995.568023896,6056203.262577253,29,U,Ireland,IE,Donegal,,2513,1945
Lifford,597402.369553854,6077144.332813446,29,U,Ireland,IE,Donegal,admin,,
Carlow,639682.5324640118,5856579.838830863,29,U,Ireland,IE,Carlow,admin,,
Mullingar,609358.3516309545,5932868.584815762,29,U,Ireland,IE,Westmeath,admin,,
An Cabhán,607483.8964173041,5983745.808396449,29,U,Ireland,IE,Cavan,admin,,
Wicklow,698103.2446299411,5873563.431541307,29,U,Ireland,IE,Wicklow,admin,,
Dún Dealgan,669318.5974486251,5986610.641173681,29,U,Ireland,IE,Louth,admin,,
Clonmel,588271.2604587352,5801314.129321765,29,U,Ireland,IE,Tipperary,admin,,
Naas,655778.1879471597,5898821.34195375,29,U,Ireland,IE,Kildare,admin,,
Ennis,500916.7364025215,5854873.858335816,29,U,Ireland,IE,Clare,admin,,
Port Laoise,613998.0607047409,5877206.361973833,29,U,Ireland,IE,Laois,admin,,
Swords,684687.0909013203,5927016.352225842,29,U,Ireland,IE,Fingal,admin,,
Tallaght,677232.1878954606,5907581.913482508,29,U,Ireland,IE,South Dublin,admin,,
Wexford,673227.0031138051,5801249.600939459,29,U,Ireland,IE,Wexford,admin,,
Trim,646283.9905184988,5936280.828686427,29,U,Ireland,IE,Meath,admin,,
Tullamore,600764.9857249494,5903804.254993779,29,U,Ireland,IE,Offaly,admin,,
Castlebar,480264.5375506297,5966874.520261071,29,U,Ireland,IE,Mayo,admin,,
Nenagh,554083.3060533672,5857215.373006807,29,U,Ireland,IE,Tipperary,admin,,
Dunleary,691372.3189098361,5908655.334612529,29,U,Ireland,IE,Dún Laoghaire-Rathdown,admin,,
Longford,579159.5768020195,5954521.233807086,29,U,Ireland,IE,Longford,admin,,
Carrick on Shannon,559725.1384297677,5978002.118416887,29,U,Ireland,IE,Leitrim,admin,,
