city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Rome,291242.24969235004,4641736.327642262,33,T,Italy,IT,Lazio,primary,3339000,35452
Milan,515634.5768736186,5034812.767863783,32,T,Italy,IT,Lombardy,admin,2945000,1306661
Naples,436764.96635342273,4520526.335537164,33,T,Italy,IT,Campania,admin,2250000,988972
Turin,395004.40388839867,4989369.480518968,32,T,Italy,IT,Piedmont,admin,1652000,865263
Florence,681099.2808875386,4848417.9217153825,32,T,Italy,IT,Tuscany,admin,1500000,371517
Salerno,481691.03506480844,4503627.556127143,33,T,Italy,IT,Campania,minor,954265,139579
Palermo,356820.5458652493,4220019.508177085,33,S,Italy,IT,Sicilia,admin,863000,672175
Catania,508839.008570065,4150346.0375263332,33,S,Italy,IT,Sicilia,minor,674542,291274
Genoa,496019.4549462024,4918154.036862377,32,T,Italy,IT,Liguria,admin,647497,601951
Bari,655277.557001802,4555207.807461192,33,T,Italy,IT,Puglia,admin,500577,316532
Bologna,685548.5619088487,4928205.96731142,32,T,Italy,IT,Emilia-Romagna,admin,488172,371217
Verona,656391.3880591084,5034887.247388351,32,T,Italy,IT,Veneto,minor,347459,253208
Pescara,435602.20043509663,4701889.067937994,33,T,Italy,IT,Abruzzo,minor,314789,116286
Cagliari,510071.5184860351,4340827.2842506515,32,S,Italy,IT,Sardegna,admin,291511,164249
Venice,290915.26111679926,5035153.079222977,33,T,Italy,IT,Veneto,admin,270816,270816
Messina,549627.9281110949,4226308.22890018,33,S,Italy,IT,Sicilia,minor,252026,196069
Como,506477.80658863817,5069978.137373865,32,T,Italy,IT,Lombardy,minor,250000,84876
Caserta,443988.6407493853,4546371.849692549,33,T,Italy,IT,Campania,minor,250000,79488
Trieste,404936.52289877576,5055730.738831309,33,T,Italy,IT,Friuli-Venezia Giulia,admin,216035,211184
Pisa,611434.4196232925,4841334.217003711,32,T,Italy,IT,Tuscany,minor,203336,89694
Taranto,689007.545879637,4482991.031226178,33,T,Italy,IT,Puglia,minor,202033,95581
Bergamo,555808.8684419475,5059114.332930275,32,T,Italy,IT,Lombardy,minor,200000,121316
Reggio di Calabria,556990.9767802592,4217109.797103075,33,S,Italy,IT,Calabria,minor,180353,177716
Treviso,285398.4301777808,5060704.879924251,33,T,Italy,IT,Veneto,minor,177309,80144
Modena,651936.367659923,4947709.236749501,32,T,Italy,IT,Emilia-Romagna,minor,175502,174567
Parma,605452.0632421585,4961597.984203429,32,T,Italy,IT,Emilia-Romagna,minor,166011,163457
Lecce,260904.34549894786,4474114.203260038,34,T,Italy,IT,Puglia,minor,162582,83303
Livorno,606357.6693246852,4822736.367366662,32,T,Italy,IT,Tuscany,minor,156274,133759
Foggia,547332.0544165766,4588868.232434188,33,T,Italy,IT,Puglia,minor,155203,138853
Perugia,285821.02664495865,4778987.677614592,33,T,Italy,IT,Umbria,admin,149125,134871
Ravenna,277179.16312941635,4922055.908939441,33,T,Italy,IT,Emilia-Romagna,minor,134631,113974
Ferrara,704196.0655474607,4967682.7765446985,32,T,Italy,IT,Emilia-Romagna,minor,130992,112516
Siracusa,526669.5314433008,4102310.0834135027,33,S,Italy,IT,Sicilia,minor,123657,122563
Sassari,462866.6090667366,4508569.805917046,32,T,Italy,IT,Sardegna,minor,120729,84916
Udine,364043.90786177304,5102431.913623403,33,T,Italy,IT,Friuli-Venezia Giulia,minor,119009,95030
Barletta,607413.2244336517,4574705.349723161,33,T,Italy,IT,Puglia,minor,107830,92094
Trento,664989.038948633,5103667.188410373,32,T,Italy,IT,Trentino-Alto Adige,admin,107808,104946
Brindisi,748076.511980238,4502192.220796978,33,T,Italy,IT,Puglia,minor,104437,89081
