city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Amman,777272.9157727549,3538651.556749725,36,R,Jordan,JO,Al ‘Āşimah,primary,1060000,1060000
Az Zarqā’,225107.6780677131,3552211.2916723513,37,S,Jordan,JO,Az Zarqā’,admin,894691,792665
Irbid,767608.7107147658,3605600.934404967,36,S,Jordan,JO,Irbid,admin,650000,292040
As Salţ,757533.9597522069,3548030.1080837646,36,S,Jordan,JO,Al Balqā’,admin,140689,80189
Al Karak,757754.8068523502,3453225.7197344494,36,R,Jordan,JO,Al Karak,admin,80062,21678
Al Mafraq,237226.27382767282,3581870.4139924785,37,S,Jordan,JO,Al Mafraq,admin,57118,57118
Ma‘ān,763222.353122968,3343690.3509210465,36,R,Jordan,JO,Ma‘ān,admin,50350,50350
Aţ Ţafīlah,749095.7686108521,3414498.398485454,36,R,Jordan,JO,Aţ Ţafīlah,admin,25429,25429
Ar Ruwayshid,425229.07027177536,3596306.7921983404,37,S,Jordan,JO,Al Mafraq,minor,,
Ar Ruşayfah,219720.70095155458,3546200.1331081097,37,S,Jordan,JO,Az Zarqā’,minor,,
Al Jīzah,780108.1809027479,3510863.4281145446,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Al Jubayhah,773752.7024818728,3545294.242514704,36,S,Jordan,JO,Al ‘Āşimah,minor,,
Al Quwayrah,723452.4391676928,3299201.9504788727,36,R,Jordan,JO,Al ‘Aqabah,minor,,
Yarqā,754796.3773297083,3540932.934441825,36,R,Jordan,JO,Al Balqā’,minor,,
Al Qaşr,761136.3476223085,3467660.8140475205,36,R,Jordan,JO,Al Karak,minor,,
Ar Rīshah,713340.3624336321,3345723.5702933786,36,R,Jordan,JO,Al ‘Aqabah,minor,,
Al Mughayyir,763439.1180832589,3477956.6135361493,36,R,Jordan,JO,Al Karak,minor,,
‘Ajlūn,759114.1916406975,3580707.3385778074,36,S,Jordan,JO,‘Ajlūn,admin,,
Al Juwayyidah,777346.381897787,3531696.554767792,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Bal‘amā,225613.16780180245,3570370.608309892,37,S,Jordan,JO,Al Mafraq,minor,,
Ad Dīsah,743081.1805731766,3282955.367444435,36,R,Jordan,JO,Al ‘Aqabah,minor,,
Al Murayghah,743157.2312378582,3332026.679192957,36,R,Jordan,JO,Ma‘ān,minor,,
Ma’dabā,764758.0728964475,3512351.5907606673,36,R,Jordan,JO,Ma’dabā,admin,,
Ash Shūnah al Janūbīyah,747594.1915162553,3531398.5759333214,36,R,Jordan,JO,Al Balqā’,minor,,
Aţ Ţayyibah,755299.8028450272,3603982.5638950854,36,S,Jordan,JO,Irbid,minor,,
Mārkā,783136.0581281185,3542845.7514106194,36,R,Jordan,JO,Al ‘Āşimah,minor,,
‘Ayn al Bāshā,767292.7325974554,3550289.0090193874,36,S,Jordan,JO,Al Balqā’,minor,,
Muthallath Şabḩā,261464.6659623063,3572081.6936501563,37,S,Jordan,JO,Al Mafraq,minor,,
Al Ḩasā,784600.4580271954,3413586.253882847,36,R,Jordan,JO,Aţ Ţafīlah,minor,,
Al Hāshimīyah,228422.44112276915,3558365.8502934,37,S,Jordan,JO,Az Zarqā’,minor,,
Ḩisbān,766033.8282242785,3521506.5193851055,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Juraynah,764703.1744243145,3517234.2056747642,36,R,Jordan,JO,Ma’dabā,minor,,
Adhruḩ,749642.5729378458,3358288.3627043674,36,R,Jordan,JO,Ma‘ān,minor,,
Saḩāb,216631.30323099502,3529974.178218732,37,R,Jordan,JO,Al ‘Āşimah,minor,,
Mulayḩ,766386.6594211645,3497875.717113614,36,R,Jordan,JO,Ma’dabā,minor,,
Al Ḩişn,771083.418034838,3597605.6903192266,36,S,Jordan,JO,Irbid,minor,,
Al Maşţabah,769260.7139828536,3564445.0901787593,36,S,Jordan,JO,Jarash,minor,,
‘Irjān,757053.1910253732,3587519.2635659436,36,S,Jordan,JO,‘Ajlūn,minor,,
Samā as Sirḩān,240936.7431424182,3595723.9231191385,37,S,Jordan,JO,Al Mafraq,minor,,
Al Muwaqqar,226464.05444106495,3523751.6505748816,37,R,Jordan,JO,Al ‘Āşimah,minor,,
Irḩāb,226135.24244668894,3580003.3288639756,37,S,Jordan,JO,Al Mafraq,minor,,
Ḩawshā,227289.2462797957,3594182.6482050833,37,S,Jordan,JO,Al Mafraq,minor,,
Al Khālidīyah,245733.2817649353,3563464.6522947075,37,S,Jordan,JO,Al Mafraq,minor,,
Muthallath Jāmi‘at Āl al Bayt,239633.5166185337,3582143.939175287,37,S,Jordan,JO,Al Mafraq,minor,,
Muthallath al Azraq,293206.8595918488,3523971.810209329,37,R,Jordan,JO,Az Zarqā’,minor,,
Kafr Asad,754697.3578964905,3609464.5624480154,36,S,Jordan,JO,Irbid,minor,,
Al Fuḩayş,762701.1739708083,3544334.8364814166,36,S,Jordan,JO,Al Balqā’,minor,,
Ghawr al Mazra‘ah,739629.5262249826,3461799.0986369555,36,R,Jordan,JO,Al Karak,minor,,
Al Mazār ash Shamālī,763032.8844114393,3596237.50479097,36,S,Jordan,JO,Irbid,minor,,
Al Mazār al Janūbī,757131.3945168415,3440173.0186915738,36,R,Jordan,JO,Al Karak,minor,,
Umm al Qiţţayn,276717.35168300214,3577766.463262288,37,S,Jordan,JO,Al Mafraq,minor,,
Dayr ‘Allā,747135.4879849891,3565142.566718665,36,S,Jordan,JO,Al Balqā’,minor,,
Dayr Abī Sa‘īd,752290.52040756,3598827.980810966,36,S,Jordan,JO,Irbid,minor,,
Ar Ramthā,219077.99087429885,3606318.465896562,37,S,Jordan,JO,Irbid,minor,,
Ash Shawbak,746735.1062333357,3379368.8827527678,36,R,Jordan,JO,Ma‘ān,minor,,
Fuqū‘,757015.8747975258,3473548.6559095187,36,R,Jordan,JO,Al Karak,minor,,
Rujm ash Shāmī al Gharbī,216541.17325006233,3526271.0865143766,37,R,Jordan,JO,Al ‘Āşimah,minor,,
Umm ar Raşāş,777159.8508193626,3490065.2885198686,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Al Qaţrānah,218992.07420823688,3461156.872800131,37,R,Jordan,JO,Al Karak,minor,,
‘Ayy,752077.2019457457,3447428.6565823136,36,R,Jordan,JO,Al Karak,minor,,
Ash Shūnah ash Shamālīyah,745313.436322991,3612204.910568363,36,S,Jordan,JO,Irbid,minor,,
Al Fayşalīyah,762322.9726138585,3515961.6608779817,36,R,Jordan,JO,Ma’dabā,minor,,
Kufrinjah,754442.572597398,3576624.8138217344,36,S,Jordan,JO,‘Ajlūn,minor,,
Şakhrah,767523.5517051821,3585065.3249582946,36,S,Jordan,JO,‘Ajlūn,minor,,
‘Allān,758849.4476013429,3556828.7307281913,36,S,Jordan,JO,Al Balqā’,minor,,
Ghawr aş Şāfī,737512.7605869244,3436243.2097368883,36,R,Jordan,JO,Al Karak,minor,,
Jarash,773065.630633652,3575254.8992694383,36,S,Jordan,JO,Jarash,admin,,
Al Ḩusaynīyah,768191.8133150073,3388102.738699996,36,R,Jordan,JO,Ma‘ān,minor,,
Bīrayn,779135.5863681396,3555287.5126998397,36,S,Jordan,JO,Az Zarqā’,minor,,
Al ‘Abdallī,774852.3241700832,3540251.538781969,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Manshīyat Banī Ḩasan,225191.62092447618,3585273.6612283834,37,S,Jordan,JO,Al Mafraq,minor,,
Nā‘ūr,767216.9859021739,3529989.0266788467,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Umm al Jimāl,252235.09233533897,3579907.878563219,37,S,Jordan,JO,Al Mafraq,minor,,
Mā‘īn,758988.1203885411,3508212.917710607,36,R,Jordan,JO,Ma’dabā,minor,,
Şabḩā,264820.6626870186,3579420.4860138837,37,S,Jordan,JO,Al Mafraq,minor,,
Dayr al Kahf,296519.70957797277,3573005.5827224837,37,S,Jordan,JO,Al Mafraq,minor,,
Sammā ar Rawsān,765217.3769047303,3614542.1988892793,36,S,Jordan,JO,Irbid,minor,,
Umm al Basātīn,772210.7384622332,3524615.404733095,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Al Ḩusaynīyah,759924.1231280749,3435674.7831131187,36,R,Jordan,JO,Al Karak,minor,,
Al ‘Arīḑ,752239.1100868053,3494550.556624901,36,R,Jordan,JO,Ma’dabā,minor,,
Burmā,762481.1494434169,3568146.76718531,36,S,Jordan,JO,Jarash,minor,,
Buşayrā,749885.9729651266,3402788.5891590463,36,R,Jordan,JO,Aţ Ţafīlah,minor,,
Aş Şubayḩī,755163.1703561211,3560096.72929346,36,S,Jordan,JO,Al Balqā’,minor,,
Wādī as Sīr,766383.882417139,3538861.7110292534,36,R,Jordan,JO,Al ‘Āşimah,minor,,
Wādī Mūsá,738352.5016345722,3356955.205176493,36,R,Jordan,JO,Ma‘ān,minor,,
Dhībān,764422.439861053,3488214.8018537434,36,R,Jordan,JO,Ma’dabā,minor,,
Az̧ Z̧ulayl,243384.58907848375,3557065.241423716,37,S,Jordan,JO,Az Zarqā’,minor,,
Al Jafr,228619.1691204923,3357443.5658045034,37,R,Jordan,JO,Ma‘ān,minor,,
Ayl,744150.0373817852,3344319.0295979194,36,R,Jordan,JO,Ma‘ān,minor,,
Al ‘Aqabah,694582.7209623677,3268022.6649899636,36,R,Jordan,JO,Al ‘Aqabah,admin,,
