city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Seoul,321527.2310693385,4163190.856677865,52,S,"Korea, South",KR,Seoul,primary,9796000,9796000
Busan,503670.8325968711,3884441.592716216,52,S,"Korea, South",KR,Busan,admin,3480000,3480000
Incheon,299364.1314172612,4147610.752861081,52,S,"Korea, South",KR,Incheon,admin,2550000,2550000
Daegu,463087.44858980546,3969637.7212109896,52,S,"Korea, South",KR,Daegu,admin,2460000,2460000
Yejŏng,354903.500801241,4022134.00294157,52,S,"Korea, South",KR,Daejeon,,1468000,1448330
Gwangju,310135.5357069344,3892190.4609912327,52,S,"Korea, South",KR,Gwangju,admin,1440000,1416938
Kumasan,462071.0790742161,3895302.169274265,52,S,"Korea, South",KR,Gyeongnam,,1081499,1081499
Suwŏn,323506.9221414691,4129025.484977395,52,S,"Korea, South",KR,Gyeonggi,,1078000,1078000
Ulsan,528706.3044430461,3932667.697688533,52,S,"Korea, South",KR,Ulsan,admin,1061000,962865
Song-mal,334769.414881939,4142948.1952410243,52,S,"Korea, South",KR,Gyeonggi,,942000,1031935
Goyang,309023.67422812746,4169896.6859315084,52,S,"Korea, South",KR,Gyeonggi,minor,903000,903000
Bucheon,304028.47260910424,4152526.716282463,52,S,"Korea, South",KR,Gyeonggi,minor,866000,866000
Cheongju,363018.7673462001,4055514.4393534316,52,S,"Korea, South",KR,Chungbuk,admin,775096,663745
Ansan,307017.1019992338,4132997.182634286,52,S,"Korea, South",KR,Gyeonggi,,739493,650728
Jeonju,332780.2975511659,3965781.1310401256,52,S,"Korea, South",KR,Jeonbuk,admin,711424,648473
Pohang,532867.5952725721,3987245.166351493,52,S,"Korea, South",KR,Gyeongbuk,minor,435266,435266
Jeju,269822.33525238483,3710546.1606284226,52,S,"Korea, South",KR,Jeju,admin,408364,314152
Yŏsu,384459.51260537107,3845398.1392219686,52,S,"Korea, South",KR,Jeonnam,,341994,262290
Iksan,315496.0966486712,3979658.7212511697,52,S,"Korea, South",KR,Jeonbuk,,283501,239589
Tŏkho,260945.5787951633,3850029.5614970913,52,S,"Korea, South",KR,Jeonnam,,268402,260018
Kunsan,293660.10384408047,3983997.873117041,52,S,"Korea, South",KR,Jeonbuk,,244080,243406
Wŏnju,406587.19162442116,4134375.9216089025,52,S,"Korea, South",KR,Gangwon,,243387,238409
Sinchon,386012.85216451425,4194097.678449274,52,S,"Korea, South",KR,Gangwon,,226509,209746
Kangnŭng,490848.6291378551,4178699.0949619752,52,S,"Korea, South",KR,Gangwon,,180611,166983
Kyŏngju,519114.85134130606,3966531.139372758,52,S,"Korea, South",KR,Gyeongbuk,,155237,142468
Andong,475191.52930055285,4046804.2394277784,52,S,"Korea, South",KR,Gyeongbuk,minor,129319,118522
Seongcheon,460280.1295066359,4231074.219530738,52,S,"Korea, South",KR,Gangwon,,85430,85430
Eumseong,383315.0248057473,4088494.4144812888,52,S,"Korea, South",KR,Chungbuk,,10077,10077
Oepo,474125.42649669957,3866466.1121088453,52,S,"Korea, South",KR,Gyeongnam,minor,,
Onam,341823.03865031665,4173860.2854217896,52,S,"Korea, South",KR,Gyeonggi,minor,,
Chuncheon,388672.1962563121,4192670.390972292,52,S,"Korea, South",KR,Gangwon,admin,,
Gampo,545273.6632062778,3962477.982834763,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Gijang,519459.5852397506,3900141.762888853,52,S,"Korea, South",KR,Busan,minor,,
Haean,424590.3418525071,4237937.8490481125,52,S,"Korea, South",KR,Gangwon,minor,,
Songhae,276771.01991654077,4182610.9005585443,52,S,"Korea, South",KR,Gyeonggi,minor,,
Sokcho,464263.08750241203,4228862.239984202,52,S,"Korea, South",KR,Gangwon,minor,,
Hyeonpung,449884.7279569359,3950325.2583663026,52,S,"Korea, South",KR,Daegu,minor,,
Cheorwon,343940.84072689444,4230524.735816977,52,S,"Korea, South",KR,Gangwon,minor,,
Hongcheon,401900.52426318306,4172286.929349728,52,S,"Korea, South",KR,Gangwon,minor,,
Guryongpo,549916.9115931917,3982974.966400494,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Yeonsan,338204.6121796741,4009159.5206032265,52,S,"Korea, South",KR,Chungnam,minor,,
Sinseo,334316.4880658942,4228101.052018906,52,S,"Korea, South",KR,Gyeonggi,minor,,
Dongmyeon,416230.56912068505,4228587.820659355,52,S,"Korea, South",KR,Gangwon,minor,,
Yeongdeok,533171.9078838527,4029894.561731949,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Ganghwa,278464.9436031383,4180746.3077687463,52,S,"Korea, South",KR,Incheon,minor,,
Wolgot,284432.3653921058,4177171.5308052,52,S,"Korea, South",KR,Gyeonggi,minor,,
Su-dong,352414.5933351945,4174241.030304103,52,S,"Korea, South",KR,Gyeonggi,minor,,
Haseong,291209.1988982621,4177338.4757880704,52,S,"Korea, South",KR,Gyeonggi,minor,,
Daejeon,358148.0252085861,4020755.0123842587,52,S,"Korea, South",KR,Daejeon,admin,,
Hajeom,272089.2915605509,4183915.380021219,52,S,"Korea, South",KR,Incheon,minor,,
Bangsan,408098.0060030423,4229502.981800718,52,S,"Korea, South",KR,Gangwon,minor,,
Yangsan,503051.69931266486,3910970.5992232556,52,S,"Korea, South",KR,Gyeongnam,minor,,
Toseong,461476.5353605037,4234399.017776202,52,S,"Korea, South",KR,Gangwon,minor,,
Jangheung,318542.77596564393,4176441.4252541442,52,S,"Korea, South",KR,Gyeonggi,minor,,
Naju,291773.16711257666,3878662.33830155,52,S,"Korea, South",KR,Jeonnam,minor,,
Hwasun,316476.23126769625,3881687.835414405,52,S,"Korea, South",KR,Jeonnam,minor,,
Gwangtan,310667.22544098814,4183643.8641558797,52,S,"Korea, South",KR,Gyeonggi,minor,,
Gyodong,260568.5248282064,4185189.186972931,52,S,"Korea, South",KR,Incheon,minor,,
Cheongpyeong,360549.8836588557,4177647.7204475375,52,S,"Korea, South",KR,Gyeonggi,minor,,
Jangseong,298545.1812456691,3908317.619142624,52,S,"Korea, South",KR,Jeonnam,minor,,
Singwang,523719.0625291925,3998300.631864664,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Yecheon,451303.65277407214,4057006.4198446707,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Damyang,316730.47951165657,3910272.1519543505,52,S,"Korea, South",KR,Jeonnam,minor,,
Yangsa,271789.0125615905,4186647.9367203927,52,S,"Korea, South",KR,Incheon,minor,,
Samsan,263855.93521473964,4176247.2168605584,52,S,"Korea, South",KR,Incheon,minor,,
Hwacheon,386581.42648668704,4218482.823451721,52,S,"Korea, South",KR,Gangwon,minor,,
Ilgwang,521237.80084277276,3902345.505390246,52,S,"Korea, South",KR,Busan,minor,,
Heunghae,531066.7273851293,3996142.8751751157,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Seonwon,278257.8849432574,4176865.863716658,52,S,"Korea, South",KR,Incheon,minor,,
Daehap,452150.0352088118,3941226.8891754183,52,S,"Korea, South",KR,Gyeongnam,minor,,
Jinjeop,340486.58714042464,4177092.5136069017,52,S,"Korea, South",KR,Gyeonggi,minor,,
Ocheon,537166.4486485183,3980750.796893047,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Seoseok,428352.83717091393,4174161.2984904884,52,S,"Korea, South",KR,Gangwon,minor,,
Beobwon,313067.42190906766,4191190.340148133,52,S,"Korea, South",KR,Gyeonggi,minor,,
Gwanin,346624.7113183442,4224928.136027396,52,S,"Korea, South",KR,Gangwon,minor,,
Cheongha,530486.4837877001,4005959.3099135137,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Sindong,387036.4721657322,4186325.432800511,52,S,"Korea, South",KR,Gangwon,minor,,
Yeoncheon,331414.0844182682,4218781.743900313,52,S,"Korea, South",KR,Gyeonggi,minor,,
Mungyeong,420387.86498070246,4065877.095768621,52,S,"Korea, South",KR,Gyeongbuk,minor,,
Changpyeong,319647.71503780084,3901352.018478418,52,S,"Korea, South",KR,Jeonnam,minor,,
Jeongok,330621.79240999895,4210452.309374667,52,S,"Korea, South",KR,Gyeonggi,minor,,
Dongnae,391048.2938198826,4189614.642095323,52,S,"Korea, South",KR,Gangwon,minor,,
Gimpo,298615.670359437,4166103.7769243275,52,S,"Korea, South",KR,Gyeonggi,minor,,
Gwangjeok,322528.42445383384,4188387.9360525915,52,S,"Korea, South",KR,Gyeonggi,minor,,
