city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Bishkek,467352.3068515484,4746795.52165067,43,T,Kyrgyzstan,KG,Bishkek,primary,837000,804212
Osh,314320.1444254967,4487234.388788802,43,T,Kyrgyzstan,KG,Osh,admin,391277,200000
Jalal-Abad,331622.66418607347,4533282.261552725,43,T,Kyrgyzstan,KG,Jalal-Abad,admin,248899,75700
Tokmok,524636.612160053,4743306.709464386,43,T,Kyrgyzstan,KG,Chüy,,112860,63047
Kara-Balta,405830.1310549852,4740829.172208923,43,T,Kyrgyzstan,KG,Chüy,minor,74133,62796
Karakol,285805.3544141437,4707549.8506466765,44,T,Kyrgyzstan,KG,Ysyk-Köl,admin,70171,56652
Naryn,582811.690594235,4586818.11749166,43,T,Kyrgyzstan,KG,Naryn,admin,52300,35707
Balykchy,597601.0297804987,4701552.7040102435,43,T,Kyrgyzstan,KG,Ysyk-Köl,,40527,40000
Talas,273521.5307139022,4711505.661493534,43,T,Kyrgyzstan,KG,Talas,admin,35172,22120
Toktogul,329063.10124511586,4637481.649445532,43,T,Kyrgyzstan,KG,Jalal-Abad,minor,26115,19336
Tash-Kömür,267168.5813836358,4580917.873826676,43,T,Kyrgyzstan,KG,Jalal-Abad,,23594,16355
Cholpon-Ata,670685.7337187165,4723989.048399498,43,T,Kyrgyzstan,KG,Ysyk-Köl,minor,18595,9578
At-Bashy,567995.2726466651,4557964.57090035,43,T,Kyrgyzstan,KG,Naryn,minor,15601,15226
Kök-Janggak,348357.91629738954,4543683.530159425,43,T,Kyrgyzstan,KG,Jalal-Abad,,15000,14046
Uch-Korgon,249798.62918211293,4457302.724299252,43,T,Kyrgyzstan,KG,Batken,minor,,
Ormosh,693147.843602117,4424201.346977608,42,S,Kyrgyzstan,KG,Batken,minor,,
Kara-Dzhygach,252259.3357849422,4445360.258062449,43,T,Kyrgyzstan,KG,Batken,minor,,
Kazarman,418778.3017466112,4584119.6305510225,43,T,Kyrgyzstan,KG,Jalal-Abad,minor,,
Baetov,496396.82567783067,4568362.984405364,43,T,Kyrgyzstan,KG,Naryn,minor,,
Üch-Terek,350396.0548883552,4624937.753685382,43,T,Kyrgyzstan,KG,Jalal-Abad,minor,,
Kochkor,562447.2898740263,4673982.2172821015,43,T,Kyrgyzstan,KG,Naryn,minor,,
Toguz-Bulak,561047.5202861538,4410609.620344386,42,S,Kyrgyzstan,KG,Batken,minor,,
Chaek,459952.9497552386,4641859.905744078,43,T,Kyrgyzstan,KG,Naryn,minor,,
Ala-Buka,707805.699822635,4587311.501274486,42,T,Kyrgyzstan,KG,Jalal-Abad,minor,,
Suzak,323515.22158782283,4529570.1250132285,43,T,Kyrgyzstan,KG,Jalal-Abad,minor,,
Ak-Suu,531766.7511853059,4416587.743996219,42,S,Kyrgyzstan,KG,Batken,minor,,
Kara-Döbö,248623.41490782346,4459061.187415963,43,T,Kyrgyzstan,KG,Batken,minor,,
Lebedinovka,473721.0517087423,4748043.067341732,43,T,Kyrgyzstan,KG,Chüy,minor,,
Boz-Adyr,676993.2420770136,4429660.8707693145,42,S,Kyrgyzstan,KG,Batken,minor,,
Bazar-Korgon,310524.30489143106,4545378.482450201,43,T,Kyrgyzstan,KG,Jalal-Abad,minor,,
Markaz,746676.9487413899,4458451.026018117,42,T,Kyrgyzstan,KG,Batken,minor,,
Chüy,523079.7458639705,4740835.530599507,43,T,Kyrgyzstan,KG,Chüy,minor,,
Tüp,284253.70980825694,4733934.072698501,44,T,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Bökönbaev,664780.6497533454,4664765.5371853225,43,T,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Kerben,730244.4141735997,4597270.030231881,42,T,Kyrgyzstan,KG,Jalal-Abad,minor,,
Khalmion,724046.4734359926,4454632.25709113,42,T,Kyrgyzstan,KG,Batken,minor,,
Kyzyl-Suu,253402.50986594733,4692102.154378237,44,T,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Pokrovka,713635.673508409,4734824.223766033,42,T,Kyrgyzstan,KG,Talas,minor,,
Ak-Tatyr,626794.1964205545,4424361.282247427,42,S,Kyrgyzstan,KG,Batken,minor,,
Kyzyl-Bulak,733490.8171405327,4437086.215588647,42,T,Kyrgyzstan,KG,Batken,minor,,
Belovodskoe,427118.39464693004,4742260.464817062,43,T,Kyrgyzstan,KG,Chüy,minor,,
Kulundu,554654.1384704604,4439758.064433603,42,T,Kyrgyzstan,KG,Batken,minor,,
Teploklyuchenka,296797.0852410892,4708198.606150959,44,T,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Gülchö,367803.24039596296,4463748.156006977,43,T,Kyrgyzstan,KG,Osh,minor,,
Sokuluk,443019.36474688497,4744838.491384379,43,T,Kyrgyzstan,KG,Chüy,minor,,
Kara-Suu,319778.07164959924,4508154.466773676,43,T,Kyrgyzstan,KG,Osh,minor,,
Samarkandyk,631963.1799025412,4428690.760962758,42,S,Kyrgyzstan,KG,Batken,minor,,
Aravan,288171.54304085835,4488043.90291861,43,T,Kyrgyzstan,KG,Osh,minor,,
Ak-Say,630167.6402922964,4414923.401237921,42,S,Kyrgyzstan,KG,Batken,minor,,
Kara-Bak,654956.9574533545,4447290.691355803,42,T,Kyrgyzstan,KG,Batken,minor,,
Kara-Kulja,380968.80520516686,4498884.485631041,43,T,Kyrgyzstan,KG,Osh,minor,,
Alga,712587.1227134522,4456980.845154344,42,T,Kyrgyzstan,KG,Batken,minor,,
