city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Vientiane,245821.41969111713,1988140.5064183096,48,Q,Laos,LA,Viangchan,primary,754000,570348
Louangphabang,199997.1640355303,2201419.6147213876,48,Q,Laos,LA,Louangphabang,admin,107142,47378
Pakxé,585850.4504025894,1671779.18498235,48,P,Laos,LA,Champasak,admin,102775,88332
Savannakhét,473620.07454935234,1831455.3908579536,48,Q,Laos,LA,Savannakhét,admin,84898,66553
Thakhèk,479838.81656090706,1923514.0933707436,48,Q,Laos,LA,Khammouan,admin,76928,26200
Xam Nua,400716.2609409782,2257795.1789335166,48,Q,Laos,LA,Houaphan,admin,38992,38992
Xaignabouli,784903.1394477866,2131550.3800466033,47,Q,Laos,LA,Xaignabouli,admin,16200,16200
Champasak,594428.3194926402,1646570.6770152221,48,P,Laos,LA,Champasak,,12994,12994
Ban Houaynon,644896.7918123151,2246459.45842909,47,Q,Laos,LA,Bokèo,,6347,6347
Phôngsali,200461.24127511104,2400617.4264950408,48,Q,Laos,LA,Phôngsali,admin,6000,6000
Salavan,651879.5208443854,1738088.218877373,48,P,Laos,LA,Salavan,,5521,5521
Xiangkhoang,328418.811075876,2138520.494863849,48,Q,Laos,LA,Xiangkhouang,,5189,5189
Attapu,697138.16208288,1638195.3061955466,48,P,Laos,LA,Attapu,admin,4297,4297
Louang Namtha,749764.9349666017,2318331.348253061,47,Q,Laos,LA,Louangnamtha,admin,3225,3225
Muang Khamkeut,471579.83251142735,2015179.4689289848,48,Q,Laos,LA,Bolikhamxai,minor,,
Ban Houayxay,647561.2196821326,2242711.8231465225,47,Q,Laos,LA,Bokèo,admin,,
Muang Xai,810936.072661943,2290955.329790334,47,Q,Laos,LA,Oudômxai,admin,,
Muang Hinboun,457969.6025762798,1944980.339168288,48,Q,Laos,LA,Khammouan,minor,,
Muang Sanakham,783249.0666424125,1982268.4749127831,47,Q,Laos,LA,Viangchan,minor,,
Không,591606.8458797911,1560933.4559362347,48,P,Laos,LA,Champasak,minor,,
Muang Long,689295.0291351401,2319355.1491232775,47,Q,Laos,LA,Louangnamtha,minor,,
Borikhan,365630.99636094365,2052934.9279057714,48,Q,Laos,LA,Bolikhamxai,minor,,
Xaisomboun,299138.0544120886,2090656.4653946115,48,Q,Laos,LA,Xaisômboun,minor,,
Ban Namnga,263851.5655690741,2342869.5427280357,48,Q,Laos,LA,Phôngsali,minor,,
Muang Nalè,755133.804040269,2272279.4156453433,47,Q,Laos,LA,Louangnamtha,minor,,
Ban Xiang-Ngeun,204716.8740885426,2187223.048312915,48,Q,Laos,LA,Louangphabang,minor,,
Lamam,681848.2459455637,1705169.5962108083,48,P,Laos,LA,Xékong,admin,,
Muang Pakxan,358292.0931169585,2033040.5149079985,48,Q,Laos,LA,Bolikhamxai,admin,,
Muang Kènthao,754315.0245328648,1962255.9952696587,47,Q,Laos,LA,Xaignabouli,minor,,
Muang Kasi,211209.5525806038,2128475.565311098,48,Q,Laos,LA,Viangchan,minor,,
Phônthong,570295.6734829181,1669619.0062694203,48,P,Laos,LA,Champasak,minor,,
Muang Phônsavan,312791.0237466419,2151590.527385968,48,Q,Laos,LA,Xiangkhouang,admin,,
Muang Phôn-Hông,226962.33478919585,2046979.651170169,48,Q,Laos,LA,Viangchan,admin,,
Muang Phin,609269.636201858,1828281.4249966824,48,Q,Laos,LA,Savannakhét,minor,,
Khoa,240884.77741969627,2332846.2424238482,48,Q,Laos,LA,Phôngsali,minor,,
Ban Pakla,199448.73226270668,2310393.976610946,48,Q,Laos,LA,Oudômxai,minor,,
Muang Sing,722979.4769607314,2344915.5982717187,47,Q,Laos,LA,Louangnamtha,minor,,
Muang Mok,395348.78445660055,2091160.2376673664,48,Q,Laos,LA,Xiangkhouang,minor,,
Pakxong,632171.8215197814,1678776.6356746617,48,P,Laos,LA,Champasak,minor,,
Pakkading,393670.76892336155,2026390.7588369618,48,Q,Laos,LA,Bolikhamxai,minor,,
Ban Fangdèng,708170.0357649185,1638564.2458985758,48,P,Laos,LA,Attapu,minor,,
Ban Hatgnao,670359.0042875584,1623562.6562879784,48,P,Laos,LA,Attapu,minor,,
Ban Dônghén,530075.5975905784,1846717.8517469082,48,Q,Laos,LA,Savannakhét,minor,,
Viangxai,419012.88785910694,2256687.36000274,48,Q,Laos,LA,Houaphan,minor,,
