city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Luxembourg,292677.3329708349,5499412.015984344,32,U,Luxembourg,LU,Luxembourg,primary,107260,76684
Diekirch,295622.51814919355,5527809.636146106,32,U,Luxembourg,LU,Diekirch,admin,6242,6242
Grevenmacher,315447.586459039,5505607.663464159,32,U,Luxembourg,LU,Grevenmacher,admin,3958,3958
Dippach,715611.37763953,5497137.130589045,31,U,Luxembourg,LU,Capellen,minor,,
Differdange,709241.4672821991,5489745.26698811,31,U,Luxembourg,LU,Esch-sur-Alzette,minor,,
Pétange,708312.2226120039,5493512.882573682,31,U,Luxembourg,LU,Esch-sur-Alzette,minor,,
Vichten,284138.1518609404,5521052.356006805,32,U,Luxembourg,LU,Redange,minor,,
Gœsdorf,713060.9660576852,5534146.056344848,31,U,Luxembourg,LU,Wiltz,minor,,
Useldange,714730.2513609115,5517296.051779052,31,U,Luxembourg,LU,Redange,minor,,
Vianden,299713.1946997574,5535138.609594684,32,U,Luxembourg,LU,Vianden,admin,,
Wormeldange,312587.8384104284,5498317.2586991545,32,U,Luxembourg,LU,Grevenmacher,minor,,
Waldbillig,304705.2702262276,5518691.464767496,32,U,Luxembourg,LU,Echternach,minor,,
Mondorf-les-Bains,303163.39063861774,5487149.525193306,32,U,Luxembourg,LU,Remich,minor,,
Mondercange,716216.804846843,5491007.319898663,31,U,Luxembourg,LU,Esch-sur-Alzette,minor,,
Sanem,711851.5041784124,5492505.521653898,31,U,Luxembourg,LU,Esch-sur-Alzette,minor,,
Sandweiler,299104.51724044094,5499355.845498692,32,U,Luxembourg,LU,Luxembourg,minor,,
Boulaide,702298.0378789724,5529957.3883904945,31,U,Luxembourg,LU,Wiltz,minor,,
Lintgen,293380.061454675,5510980.698333976,32,U,Luxembourg,LU,Mersch,minor,,
Leudelange,287814.5803749977,5494775.8116669115,32,U,Luxembourg,LU,Esch-sur-Alzette,minor,,
Lenningen,309821.1602011338,5497331.431748987,32,U,Luxembourg,LU,Remich,minor,,
Bascharage,710421.9013934702,5494614.552059837,31,U,Luxembourg,LU,Capellen,minor,,
Colmar-Berg,290882.3617248384,5521749.114895141,32,U,Luxembourg,LU,Mersch,minor,,
Capellen,715902.6613018449,5503457.36752359,31,U,Luxembourg,LU,Capellen,admin,,
