city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Skopje,535730.1194011448,4649472.852329034,34,T,Macedonia,MK,,primary,494087,474889
Tetovo,497644.0321738412,4650857.372243922,34,T,Macedonia,MK,Tetovo,admin,119132,72944
Bitola,528138.4557679307,4542299.948427923,34,T,Macedonia,MK,Bitola,admin,86528,64574
Vinica,625216.3468203711,4637862.419504001,34,T,Macedonia,MK,Vinica,admin,,
Češinovo,607017.9838729153,4636311.34850097,34,T,Macedonia,MK,Češinovo-Obleševo,admin,,
Demir Kapija,604172.0170255182,4584592.242477928,34,T,Macedonia,MK,Demir Kapija,admin,,
Radoviš,621990.8319655473,4610658.181712736,34,T,Macedonia,MK,Radoviš,admin,,
Sopište,535429.6560185351,4644837.446178052,34,T,Macedonia,MK,Sopište,admin,,
Gradsko,578593.4108824248,4603297.398058936,34,T,Macedonia,MK,Gradsko,admin,,
Vasilevo,637187.1741986261,4592689.611475369,34,T,Macedonia,MK,Vasilevo,admin,,
Kruševo,520764.0573980106,4579794.908347787,34,T,Macedonia,MK,Kruševo,admin,,
Resen,500917.48345805705,4548674.895163694,34,T,Macedonia,MK,Resen,admin,,
Zelenikovo,548824.6717048987,4637079.286915129,34,T,Macedonia,MK,Zelenikovo,admin,,
Gevgelija,626002.1958206964,4555568.947186584,34,T,Macedonia,MK,Gevgelija,admin,,
Makedonska Kamenica,631440.4701176861,4653304.018914167,34,T,Macedonia,MK,Makedonska Kamenica,admin,,
Veles,564515.180513757,4618486.081877277,34,T,Macedonia,MK,Veles,admin,,
Sveti Nikole,578104.7666227879,4635402.497784116,34,T,Macedonia,MK,Sveti Nikole,admin,,
Novo Selo,657255.9042822176,4586520.483728079,34,T,Macedonia,MK,Novo Selo,admin,,
Pehčevo,657044.5046619581,4625105.341061349,34,T,Macedonia,MK,Pehčevo,admin,,
Plasnica,510275.7727004993,4590632.554007184,34,T,Macedonia,MK,Plasnica,admin,,
Bogovinje,492836.91777375137,4641298.506493607,34,T,Macedonia,MK,Bogovinje,admin,,
Vevčani,465923.2942113171,4565541.3415368525,34,T,Macedonia,MK,Vevčani,admin,,
Karbinci,602596.3433145006,4630260.262062473,34,T,Macedonia,MK,Karbinci,admin,,
Konče,615488.0792491925,4594645.532990419,34,T,Macedonia,MK,Konče,admin,,
Kičevo,496566.844080128,4595671.764723431,34,T,Macedonia,MK,Kičevo,admin,,
Struga,472979.1848475699,4558565.962158129,34,T,Macedonia,MK,Struga,admin,,
Kočani,617157.2526765573,4641458.094495737,34,T,Macedonia,MK,Kočani,admin,,
