city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Lilongwe,585029.9431503934,8455791.282898538,36,L,Malawi,MW,Lilongwe,primary,646750,646750
Blantyre,715731.9745350207,8253613.067090135,36,L,Malawi,MW,Blantyre,admin,584877,584877
Mzuzu,611329.6437205892,8734697.844518248,36,L,Malawi,MW,,,110201,110201
Mangochi,743103.9075508916,8399843.818187729,36,L,Malawi,MW,Mangochi,admin,97711,40236
Zomba,748894.4325017941,8297647.918214066,36,L,Malawi,MW,Zomba,admin,80932,80932
Simewa,658560.4705141721,8477595.90100589,36,L,Malawi,MW,Salima,,71181,30052
Nkhotakota,640717.5212369002,8570333.546698937,36,L,Malawi,MW,Nkhotakota,admin,59854,24865
Karonga,602314.1701987946,8901814.670686197,36,L,Malawi,MW,Karonga,admin,34207,32444
Chiromo,730046.0313421703,8169351.959110137,36,K,Malawi,MW,Nsanje,,25235,25235
Nkhata Bay,641532.0023714881,8716421.908446416,36,L,Malawi,MW,Nkhata Bay,admin,22108,11721
Nsanje,741430.4144585554,8128273.514749807,36,K,Malawi,MW,Nsanje,admin,21774,21774
Mzimba,564589.3706125291,8684566.78685515,36,L,Malawi,MW,Mzimba,admin,19308,19308
Mchinji,489085.2088720747,8483868.267451596,36,L,Malawi,MW,,,18305,18305
Mulanje,767947.3672084594,8226633.575807733,36,K,Malawi,MW,Mulanje,admin,16483,16483
Dedza,643572.8810680376,8409526.186980432,36,L,Malawi,MW,Dedza,admin,15608,15608
Chitipa,530066.5318917037,8927233.241745502,36,L,Malawi,MW,Chitipa,admin,13412,8824
Mwanza,663209.9151093683,8273665.614935453,36,L,Malawi,MW,Mwanza,admin,11379,11379
Ntcheu,676462.3494716561,8361206.923902793,36,L,Malawi,MW,Ntcheu,admin,10445,10445
Chiradzulu,734179.6491766684,8263307.261498627,36,L,Malawi,MW,Chiradzulu,admin,1580,1580
Machinga,766576.4818089082,8338188.459185936,36,L,Malawi,MW,Machinga,admin,1418,1418
Chikwawa,692777.3714652015,8225582.463012375,36,K,Malawi,MW,Chikwawa,admin,,
Phalombe,783958.0585063482,8250694.742846615,36,L,Malawi,MW,Phalombe,admin,,
Ntchisi,608673.3957815451,8521143.56457152,36,L,Malawi,MW,Ntchisi,admin,,
Kasungu,552283.4622290548,8558790.4109704,36,L,Malawi,MW,Kasungu,admin,,
Balaka,710667.1619450068,8341974.144840041,36,L,Malawi,MW,Balaka,admin,,
Mchinji,488041.1126984378,8474815.438923031,36,L,Malawi,MW,Mchinji,admin,,
Rumphi,593359.1773558522,8781733.779342066,36,L,Malawi,MW,Rumphi,admin,,
Neno,677444.277122241,8296966.95184143,36,L,Malawi,MW,Neno,admin,,
Salima,657652.5011080438,8475603.78846203,36,L,Malawi,MW,Salima,admin,,
Dowa,601508.4085660492,8490430.697704682,36,L,Malawi,MW,Dowa,admin,,
Thyolo,729691.5545713,8222097.852623002,36,K,Malawi,MW,Thyolo,admin,,
