city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Valletta,456207.5789743584,3972934.996609076,33,S,Malta,MT,Valletta,primary,368250,6966
Saint Paul’s Bay,445938.0093938308,3978383.87870211,33,S,Malta,MT,San Pawl il-Baħar,admin,,
Siġġiewi,449110.3500520166,3968074.3085355675,33,S,Malta,MT,Siġġiewi,admin,,
Xewkija,433157.45360850886,3987838.615423495,33,S,Malta,MT,Xewkija,admin,,
Imġarr,442836.56018774165,3975322.4441639315,33,S,Malta,MT,Imġarr,admin,,
Pietà,454424.9474466104,3972389.4450486456,33,S,Malta,MT,Pietà,admin,,
Kirkop,453516.9013091818,3966571.0589631526,33,S,Malta,MT,Kirkop,admin,,
Kerċem,430337.6054949904,3988877.2924009385,33,S,Malta,MT,Kerċem,admin,,
Sannat,431773.83102700236,3986924.8169666105,33,S,Malta,MT,Sannat,admin,,
Fontana,431184.4768418451,3988377.6557182306,33,S,Malta,MT,Fontana,admin,,
Tarxien,456214.0169436744,3969176.1176250125,33,S,Malta,MT,Tarxien,admin,,
Gżira,453804.71964701754,3973625.0731389388,33,S,Malta,MT,Gżira,admin,,
Għaxaq,456355.22879140923,3967296.0588008184,33,S,Malta,MT,Għaxaq,admin,,
Għasri,430326.51856233686,3990633.7776674177,33,S,Malta,MT,Għasri,admin,,
Mellieħa,442486.5815055822,3979299.3312290283,33,S,Malta,MT,Mellieħa,admin,,
Sliema,455061.68388457707,3974358.060591975,33,S,Malta,MT,Sliema,admin,,
Żejtun,457838.8356836595,3968059.0513766813,33,S,Malta,MT,Żejtun,admin,,
Qormi,452334.3592746068,3970582.673739906,33,S,Malta,MT,Qormi,admin,,
Żebbuġ,449547.1016526092,3969889.516853443,33,S,Malta,MT,Żebbuġ,admin,,
Lija,450041.54484537564,3973060.2817136096,33,S,Malta,MT,Lija,admin,,
Gudja,455126.3080786958,3967333.0504307738,33,S,Malta,MT,Gudja,admin,,
Balzan,450818.446252474,3973025.0788847688,33,S,Malta,MT,Balzan,admin,,
Swieqi,453087.62150959147,3975477.5237954576,33,S,Malta,MT,Swieqi,admin,,
Pembroke,452766.63963722234,3976372.7934104507,33,S,Malta,MT,Pembroke,admin,,
Xgħajra,459158.27387392544,3971349.598302923,33,S,Malta,MT,Xgħajra,admin,,
Kalkara,457831.4015986347,3971756.359251961,33,S,Malta,MT,Kalkara,admin,,
Għarb,428752.39413148386,3990892.9081181632,33,S,Malta,MT,Għarb,admin,,
Munxar,430927.665407822,3987547.7349140765,33,S,Malta,MT,Munxar,admin,,
Fgura,456065.9720723054,3969669.8755561276,33,S,Malta,MT,Fgura,admin,,
Attard,449683.7383651148,3971860.6313169054,33,S,Malta,MT,Attard,admin,,
San Lawrenz,428273.0139697512,3990403.86057959,33,S,Malta,MT,San Lawrenz,admin,,
Nadur,436414.8049303149,3988369.0245802384,33,S,Malta,MT,Nadur,admin,,
Xagħra,433747.39496742,3989744.483748957,33,S,Malta,MT,Xagħra,admin,,
Imtarfa,445750.11759266,3972284.474530736,33,S,Malta,MT,Imtarfa,admin,,
Paola,454763.6038517646,3969984.5797599144,33,S,Malta,MT,Paola,admin,,
Marsaxlokk,458734.5635803787,3966514.3173904503,33,S,Malta,MT,Marsaxlokk,admin,,
Ħamrun,453466.4346241582,3971285.279669199,33,S,Malta,MT,Ħamrun,admin,,
Għajnsielem,435579.7059660601,3987111.8050608854,33,S,Malta,MT,Għajnsielem,admin,,
Cospicua,457353.1020624076,3971358.1399057116,33,S,Malta,MT,Bormla,admin,,
Mosta,448167.1486410744,3974026.2199806524,33,S,Malta,MT,Mosta,admin,,
Imsida,453320.62721080426,3972148.763028235,33,S,Malta,MT,Imsida,admin,,
Dingli,444223.5241003735,3968750.806240345,33,S,Malta,MT,Dingli,admin,,
Marsaskala,460452.7185000161,3969279.3400043254,33,S,Malta,MT,Marsaskala,admin,,
Imdina,446071.67942560697,3971573.8433002126,33,S,Malta,MT,Imdina,admin,,
Qrendi,451078.94694967364,3965752.3457535547,33,S,Malta,MT,Qrendi,admin,,
