city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Mexico City,485449.44994517276,2148874.0617633173,14,Q,Mexico,MX,Ciudad de México,primary,19028000,10811002
Guadalajara,667520.5331268373,2286104.635168138,13,Q,Mexico,MX,Jalisco,admin,4198000,1640589
Monterrey,367682.875980068,2840359.8357722876,14,R,Mexico,MX,Nuevo León,admin,3712000,1122874
Puebla,583819.1928605224,2105213.950789447,14,Q,Mexico,MX,Puebla,admin,2195000,1392099
Tijuana,499651.120341012,3596158.196285064,11,S,Mexico,MX,Baja California,,1553000,1376457
Toluca,432232.2620363334,2132744.267640824,14,Q,Mexico,MX,México,admin,1531000,505881
León de los Aldama,222285.76296231739,2338770.2435275083,14,Q,Mexico,MX,Guanajuato,minor,1488000,1114626
Ciudad Juárez,359480.2142146344,3511835.1344154123,13,R,Mexico,MX,México,,1343000,1343000
Torreon,658843.9399307121,2826119.409266421,13,R,Mexico,MX,Coahuila de Zaragoza,,1144000,524066
Ciudad Nezahualcóyotl,498443.23232552205,2145154.874360438,14,Q,Mexico,MX,México,,1109363,750000
San Luis Potosí,295895.36604523193,2450740.0982048362,14,Q,Mexico,MX,San Luis Potosí,admin,992000,677704
Mérida,227907.11694037972,2321646.9810453076,16,Q,Mexico,MX,Yucatán,admin,965000,717175
Querétaro,354134.2723200298,2278508.097031169,14,Q,Mexico,MX,Querétaro,admin,961000,611785
Mexicali,644332.7152845117,3613535.3396830102,11,S,Mexico,MX,Baja California,admin,885000,587277
Aguascalientes,780801.1106973677,2422286.802951148,13,Q,Mexico,MX,Aguascalientes,admin,869000,658179
Tampico,616651.0389084526,2464054.005666935,14,Q,Mexico,MX,Tamaulipas,,859419,297284
Cuernavaca,475942.10715370363,2093509.8605221594,14,Q,Mexico,MX,Morelos,admin,834001,349102
Culiacán,258593.25061010933,2743841.0952058677,13,R,Mexico,MX,Sinaloa,admin,809000,582469
Chihuahua,394109.7822937819,3167842.9132766384,13,R,Mexico,MX,Chihuahua,admin,793000,708267
Saltillo,298318.3259443568,2813326.418671516,14,R,Mexico,MX,Coahuila de Zaragoza,admin,754000,604573
Acapulco de Juárez,407492.8129912441,1865403.454372034,14,Q,Mexico,MX,Guerrero,minor,715584,652136
Morelia,271075.8983609615,2179953.3109356174,14,Q,Mexico,MX,Michoacán de Ocampo,admin,644306,592797
Hermosillo,502206.45625741925,3219353.3377202805,12,R,Mexico,MX,Sonora,admin,595811,512935
Veracruz,800481.1294389722,2123312.721154571,14,Q,Mexico,MX,Veracruz,,578963,568313
Cancún,517694.6841546043,2341233.0023572384,16,Q,Mexico,MX,Quintana Roo,,542043,436862
Matamoros,650097.5687946073,2862097.184008477,14,R,Mexico,MX,Tamaulipas,,538785,364004
Oaxaca,742271.492938825,1888204.8115019524,14,Q,Mexico,MX,Oaxaca,admin,530728,262566
Tlaxcala,584059.1928888473,2136324.991633706,14,Q,Mexico,MX,Tlaxcala,admin,503878,89795
Mazatán,583970.6835729468,3208849.468471585,12,R,Mexico,MX,Sonora,,500000,438434
Reynosa,571172.7241778495,2884805.59632097,14,R,Mexico,MX,Tamaulipas,minor,498654,419340
Durango,534506.5397758104,2656418.0850317194,13,R,Mexico,MX,Durango,admin,457140,455597
Xalapa,718073.5058317984,2162329.7421614556,14,Q,Mexico,MX,Veracruz,admin,452186,425148
Villahermosa,507381.6060991123,1988736.8224062903,15,Q,Mexico,MX,Tabasco,admin,428564,362401
Gomez Palacio,651083.5484633136,2828904.808716607,13,R,Mexico,MX,Durango,,399328,228577
Celaya,310680.03998805716,2270468.803857369,14,Q,Mexico,MX,Guanajuato,,383697,305901
Mazatlán,356128.88589812734,2569998.6381374104,13,Q,Mexico,MX,Sinaloa,minor,368204,354717
Orizaba,700225.1130140072,2085519.0888726152,14,Q,Mexico,MX,Veracruz,minor,355333,121348
Nuevo Laredo,448422.6541179925,3040223.3375376496,14,R,Mexico,MX,Tamaulipas,,349550,160755
Irapuato,254538.8664128087,2288156.6636916543,14,Q,Mexico,MX,Guanajuato,minor,339554,339554
Pachuca,526872.5172471661,2224489.4092671224,14,Q,Mexico,MX,Hidalgo,admin,319581,302141
Tepic,510803.4992412621,2378541.255929716,13,Q,Mexico,MX,Nayarit,admin,318781,280592
Ciudad Obregón,604633.6648146388,3040759.1129251327,12,R,Mexico,MX,Sonora,,288002,258162
Coatzacoalcos,347404.14999896614,2005548.8201876879,15,Q,Mexico,MX,Veracruz,,287285,230717
Ciudad Victoria,485121.40179731173,2625642.117354316,14,Q,Mexico,MX,Tamaulipas,admin,274900,269923
Uruapan,809147.178063036,2148963.3750288617,13,Q,Mexico,MX,Michoacán de Ocampo,minor,264531,237308
Ensenada,537768.0973726527,3526261.1845394922,11,R,Mexico,MX,Baja California,minor,256565,220937
Poza Rica de Hidalgo,661639.7440905881,2270795.2108746218,14,Q,Mexico,MX,Veracruz,,254481,174526
Zumpango,501526.8833331081,2188982.7913698615,14,Q,Mexico,MX,Morelos,,250000,127988
Los Mochis,700723.313988445,2854289.115411131,12,R,Mexico,MX,Sinaloa,minor,249047,214601
Tehuacán,669710.0457937031,2041996.5587806145,14,Q,Mexico,MX,Puebla,,241429,237312
Monclova,259603.14940439275,2978419.320846894,14,R,Mexico,MX,Coahuila de Zaragoza,,236244,195764
Zacatecas,749344.044051361,2519994.9390562116,13,Q,Mexico,MX,Zacatecas,admin,234481,118562
Colima,633776.046281834,2128976.640239883,13,Q,Mexico,MX,Colima,admin,223287,127235
Tapachula,579862.557148164,1647824.8528860405,15,P,Mexico,MX,Chiapas,minor,221521,197961
Córdoba,717921.131287627,2089470.3515549067,14,Q,Mexico,MX,Veracruz,,220563,134403
Zamora,784229.024160665,2212180.6414807346,13,Q,Mexico,MX,Michoacán de Ocampo,,214947,124916
Campeche,759158.662945388,2196103.1833627103,15,Q,Mexico,MX,Campeche,admin,205212,202885
Minatitlan,335428.734913292,1990792.8321454353,15,Q,Mexico,MX,Veracruz,,201902,150895
Salamanca,271550.1820920424,2276312.201082142,14,Q,Mexico,MX,Guanajuato,minor,197524,138614
Ciudad Madero,619900.5726756593,2463426.81694182,14,Q,Mexico,MX,Tamaulipas,,192736,138087
La Paz,571068.3806192841,2670388.244306123,12,R,Mexico,MX,Baja California Sur,admin,189767,171485
Puerto Vallarta,475673.93997012154,2279142.1445115185,13,Q,Mexico,MX,Jalisco,,187134,180804
San Cristóbal de las Casas,538239.5614628292,1849915.5096955206,15,Q,Mexico,MX,Chiapas,minor,186661,128996
Chilpancingo,446321.92359677114,1940538.1491941537,14,Q,Mexico,MX,Guerrero,admin,182387,165250
Nogales,505059.1886201706,3464473.0230748523,12,R,Mexico,MX,Sonora,minor,178097,20707
Teziutlan,671776.1972658753,2192097.587490716,14,Q,Mexico,MX,Puebla,,177796,70819
Ciudad Lázaro Cárdenas,794309.1573361903,1989142.7316146027,13,Q,Mexico,MX,Michoacán de Ocampo,,160087,84001
Ciudad del Carmen,624014.1825779127,2062258.3009715592,15,Q,Mexico,MX,Campeche,minor,156195,141308
Chetumal,362370.90291798103,2047565.270274564,16,Q,Mexico,MX,Quintana Roo,admin,154517,134412
San Juan del Río,396091.54044198873,2254828.1018532417,14,Q,Mexico,MX,Querétaro,minor,147559,118173
Ejido Piedras Negras,346963.2638405712,3178342.652861179,14,R,Mexico,MX,Coahuila de Zaragoza,,139619,134971
Navojoa,654322.0948805483,2995173.829449421,12,R,Mexico,MX,Sonora,minor,116093,116093
Ciudad Valles,498871.76701125177,2432419.0094482657,14,Q,Mexico,MX,San Luis Potosí,,114964,109504
Delicias,453759.95213000313,3118657.0212060134,13,R,Mexico,MX,Chihuahua,minor,114783,102969
Guanajuato,265418.0353252281,2325827.145914269,14,Q,Mexico,MX,Guanajuato,admin,112200,78364
Manzanillo,572031.1799202315,2106492.5676931445,13,Q,Mexico,MX,Colima,minor,110735,59738
Tuxpilla,664660.8033460333,2313737.386077109,14,Q,Mexico,MX,Veracruz,,109049,8331
Escuintla,536556.3015739643,1693886.1042328016,15,P,Mexico,MX,Chiapas,minor,107638,8989
El Fresno,722275.9790397845,2563016.0767036555,13,Q,Mexico,MX,Zacatecas,,105488,99771
Heroica Guaymas,510080.54338885326,3088264.8750776495,12,R,Mexico,MX,Sonora,,103449,65544
Guasavito,757716.2568839708,2828669.892112913,12,R,Mexico,MX,Sinaloa,,96860,68449
Lagos de Moreno,195322.707796974,2364466.85866453,14,Q,Mexico,MX,Jalisco,minor,94127,84677
Ciudad Guzmán,661227.0574639296,2179529.7334746155,13,Q,Mexico,MX,Jalisco,,92161,88799
Tecomán,615774.2465242273,2095397.3654578845,13,Q,Mexico,MX,Colima,,91321,79579
Cuauhtémoc,317484.50456918316,3143905.4294364275,13,R,Mexico,MX,Chihuahua,,90835,79100
Agua Prieta,638070.9533672695,3467162.757933512,12,R,Mexico,MX,Sonora,minor,86083,68446
Salina Cruz,264568.0038388426,1792044.5811726984,15,Q,Mexico,MX,Oaxaca,,81063,73648
Ciudad Mante,502679.4959883856,2515075.393599916,14,Q,Mexico,MX,Tamaulipas,,79981,76618
Tamazunchale,521854.4111692179,2350929.368543044,14,Q,Mexico,MX,San Luis Potosí,,72685,21532
Ríoverde,397254.5020581016,2425539.0069719083,14,Q,Mexico,MX,San Luis Potosí,minor,69613,48854
Matehuala,332387.5592049038,2616247.385815838,14,Q,Mexico,MX,San Luis Potosí,,67717,59532
Ciudad Hidalgo,337067.73996065685,2178220.6522766924,14,Q,Mexico,MX,Michoacán de Ocampo,minor,64154,54993
Guamúchil,794104.2570424417,2819088.3583067846,12,R,Mexico,MX,Sinaloa,,62695,59276
Linares,442869.03419619286,2749463.4372578934,14,R,Mexico,MX,Nuevo León,minor,57731,46968
Heroica Caborca,389102.19503443013,3398950.5850476814,12,R,Mexico,MX,Sonora,minor,57357,52896
Nuevo Casas Grandes,220526.59417964716,3369251.9273406523,13,R,Mexico,MX,Chihuahua,,54826,51356
San Pedro de Las Colonias,702213.2077215302,2850211.3672280777,13,R,Mexico,MX,Coahuila de Zaragoza,minor,53688,53688
Valladolid,374798.34429544193,2288300.166810432,16,Q,Mexico,MX,Yucatán,,48479,39663
