city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Chisinau,641201.169289329,5207455.912715553,35,T,Moldova,MD,Chişinău,primary,688134,635994
Tiraspol,700459.0306153005,5191045.194104404,35,T,Moldova,MD,Stînga Nistrului,admin,157000,117194
Bălţi,569639.3057303922,5290392.694738269,35,T,Moldova,MD,Bălţi,admin,151355,118690
Cahul,593023.9643590322,5084107.903854364,35,T,Moldova,MD,Cahul,admin,63407,34492
Dubăsari,663901.1632281234,5236959.062470377,35,T,Moldova,MD,Stînga Nistrului,,23254,23254
Taraclia,629395.0063063323,5084593.733130243,35,T,Moldova,MD,Taraclia,admin,,
Ştefan Vodă,704203.2348839026,5154476.148661594,35,T,Moldova,MD,Ştefan-Vodă,admin,,
Donduşeni,544961.8905796839,5343088.111457369,35,U,Moldova,MD,Donduşeni,admin,,
Bender,688955.5898724867,5189426.97193362,35,T,Moldova,MD,Bender,admin,,
Edineţ,522554.6362977952,5335478.653264811,35,U,Moldova,MD,Edineţ,admin,,
Straşeni,621903.2235723166,5222216.041151494,35,T,Moldova,MD,Străşeni,admin,,
Drochia,560599.4141952168,5320570.69694259,35,U,Moldova,MD,Drochia,admin,,
Basarabeasca,651137.1788251891,5132776.580189461,35,T,Moldova,MD,Basarabeasca,admin,,
Ialoveni,635643.9255950486,5200423.310880836,35,T,Moldova,MD,Ialoveni,admin,,
Cocieri,659492.7794301482,5241631.246579101,35,T,Moldova,MD,Dubăsari,admin,,
Rîşcani,542096.1220979653,5310666.113821542,35,T,Moldova,MD,Rîşcani,admin,,
Teleneşti,602826.9609788535,5261755.382070562,35,T,Moldova,MD,Teleneşti,admin,,
Floreşti,596662.6702706404,5305036.092781394,35,T,Moldova,MD,Floreşti,admin,,
Rezina,647348.138468498,5290306.223323243,35,T,Moldova,MD,Rezina,admin,,
Briceni,505768.2675731388,5356638.372783314,35,U,Moldova,MD,Briceni,admin,,
Şoldăneşti,634535.3526529672,5297422.770978636,35,T,Moldova,MD,Şoldăneşti,admin,,
Orhei,637704.1469164467,5249555.818512026,35,T,Moldova,MD,Orhei,admin,,
Făleşti,553593.3574727457,5269496.413635849,35,T,Moldova,MD,Făleşti,admin,,
Ocniţa,532434.1671173226,5358934.302621488,35,U,Moldova,MD,Ocniţa,admin,,
Leova,596176.9483343735,5148398.726376076,35,T,Moldova,MD,Leova,admin,,
Cantemir,592661.2479086737,5125575.291858995,35,T,Moldova,MD,Cantemir,admin,,
Sîngerei,585856.8054008,5276512.887007583,35,T,Moldova,MD,Sîngerei,admin,,
Anenii Noi,670286.6716906652,5194074.475052557,35,T,Moldova,MD,Anenii Noi,admin,,
Căuşeni,684544.0838074603,5167621.908073378,35,T,Moldova,MD,Căuşeni,admin,,
Comrat,627583.594148688,5128108.85692409,35,T,Moldova,MD,Găgăuzia,admin,,
Criuleni,663502.1511584768,5231103.6697017485,35,T,Moldova,MD,Criuleni,admin,,
Cimişlia,635319.0555609136,5154098.786472195,35,T,Moldova,MD,Cimişlia,admin,,
