city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Ulaanbaatar,643202.1585472049,5308816.146806271,48,T,Mongolia,MN,Ulaanbaatar,primary,885000,769612
Erdenet,432997.8121512333,5431565.992995056,48,U,Mongolia,MN,Orhon,admin,79647,79647
Darhan,597516.205714355,5496886.577871853,48,U,Mongolia,MN,Selenge,,74738,74738
Ulaangom,433085.0587008338,5536947.947111249,46,U,Mongolia,MN,Uvs,admin,35796,28085
Ölgiy,716808.8056019251,5428165.466634421,45,U,Mongolia,MN,Bayan-Ölgiy,admin,34934,28400
Choybalsan,313757.88881469256,5326733.62787541,50,U,Mongolia,MN,Dornod,admin,33376,33376
Arvayheer,328535.82108100277,5125774.157048829,48,T,Mongolia,MN,Övörhangay,admin,28053,28053
Mörön,583942.5320392913,5498605.884028493,47,U,Mongolia,MN,Hövsgöl,admin,27690,21527
Sühbaatar,586140.6165239098,5565056.003002471,48,U,Mongolia,MN,Selenge,admin,24235,24235
Tsetserleg,684914.6426480263,5260870.831265255,47,T,Mongolia,MN,Arhangay,admin,19812,16300
Dzüünharaa,607560.215729167,5413670.946156944,48,U,Mongolia,MN,Selenge,,18830,13318
Dzuunmod,638576.2198671894,5293876.221785766,48,T,Mongolia,MN,Ulaanbaatar,,17738,17738
Bulgan,392425.6918399917,5407647.923757457,48,U,Mongolia,MN,Bulgan,admin,17348,17348
Baruun-Urt,674302.3714362719,5172189.325785749,49,T,Mongolia,MN,Sühbaatar,admin,15805,15805
Dalandzadgad,453568.8499222362,4824368.59122461,48,T,Mongolia,MN,Ömnögovĭ,admin,15093,11889
Öndörhaan,473969.9440114823,5240721.277868681,49,T,Mongolia,MN,Hentiy,admin,14723,10144
Uliastay,338407.7084848628,5289838.467969437,47,T,Mongolia,MN,Dzavhan,admin,8056,8056
Ulaan-Uul,518602.21420308074,4908922.957912859,49,T,Mongolia,MN,Dornogovĭ,minor,3726,3726
Mandal,601114.1796483427,5067093.130914034,48,T,Mongolia,MN,Dundgovĭ,,2984,2984
Hödrögö,337764.758642755,5426118.172456989,47,U,Mongolia,MN,Dzavhan,minor,10,10
Mörön,433989.8603020248,5250132.447305963,49,T,Mongolia,MN,Hentiy,minor,,
Hungiy,594801.2268275066,5372670.804100295,46,U,Mongolia,MN,Dzavhan,minor,,
Hunt,534900.8259168703,5301586.392225414,47,T,Mongolia,MN,Arhangay,minor,,
Javhlant,573507.4105460418,5400147.381507644,48,U,Mongolia,MN,Töv,minor,,
Javarthushuu,626396.4370134736,5445577.198025693,49,U,Mongolia,MN,Dornod,minor,,
Orhontuul,498230.5860916503,5421866.920784031,48,U,Mongolia,MN,Selenge,minor,,
Nogoonnuur,300093.21270254743,5497835.297628857,46,U,Mongolia,MN,Bayan-Ölgiy,minor,,
Namir,406322.9534697661,5439365.43705594,46,U,Mongolia,MN,Uvs,minor,,
Haraat,703646.4413196339,5143756.336379379,48,T,Mongolia,MN,Dundgovĭ,minor,,
Tsagaan Ovoo,692461.4295549981,5091490.841324414,47,T,Mongolia,MN,Övörhangay,minor,,
Tsagaan-Ovoo,558577.7825253286,5040621.702137915,48,T,Mongolia,MN,Dundgovĭ,minor,,
Sayn-Ust,617066.7573822638,5245224.33139593,46,T,Mongolia,MN,Govĭ-Altay,minor,,
Tsant,632485.0079273105,5115849.680450501,48,T,Mongolia,MN,Dundgovĭ,minor,,
Bayanbulag,418980.6960158512,5302049.0349803725,49,T,Mongolia,MN,Hentiy,minor,,
Bürenhayrhan,389180.8635497207,5104305.0406839885,46,T,Mongolia,MN,Hovd,minor,,
Taygan,367916.0187869484,5134368.0384115325,47,T,Mongolia,MN,Govĭ-Altay,minor,,
Sört,454302.66481280513,5463899.2344756145,48,U,Mongolia,MN,Bulgan,minor,,
Tavin,560198.2956179649,5140641.842400766,48,T,Mongolia,MN,Dundgovĭ,minor,,
Arguut,297994.88275998126,5036188.106280555,48,T,Mongolia,MN,Övörhangay,minor,,
Balgatay,359092.0732286091,5195712.867576286,47,T,Mongolia,MN,Dzavhan,minor,,
Arhust,715904.8707051715,5298097.535173481,48,T,Mongolia,MN,Töv,minor,,
Tahilt,315861.6547810913,5022667.003610799,47,T,Mongolia,MN,Govĭ-Altay,minor,,
Ulaan-Uul,641745.0710364631,5104940.280991163,47,T,Mongolia,MN,Bayanhongor,minor,,
Dalay,380689.2631279343,4816288.263174932,48,T,Mongolia,MN,Ömnögovĭ,minor,,
Orgil,525872.1703697328,5381630.266257091,47,U,Mongolia,MN,Hövsgöl,minor,,
