city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Maputo,458872.49353858567,7128096.8356993925,36,J,Mozambique,MZ,Maputo,primary,1446000,1191613
Matola,445601.21099060134,7143122.347755175,36,J,Mozambique,MZ,Maputo,,543907,462829
Beira,692572.2723827293,7804775.290084271,36,K,Mozambique,MZ,Sofala,admin,530604,483789
Nampula,528443.783576881,8328415.013009738,37,L,Mozambique,MZ,Nampula,admin,388526,383845
Chimoio,550835.7496175625,7886224.060291929,36,K,Mozambique,MZ,Manica,admin,256936,228141
Quelimane,276259.55704468803,8021978.194871797,37,K,Mozambique,MZ,Zambézia,admin,188964,169101
Tete,562720.3011904086,8213676.265675891,36,K,Mozambique,MZ,Tete,admin,129316,115050
Xai-Xai,564976.2341318289,7229145.877908585,36,J,Mozambique,MZ,Gaza,admin,128805,127366
Maxixe,739041.8359384037,7359322.71527089,36,K,Mozambique,MZ,Inhambane,,119868,105895
Inhambane,742710.9733274844,7358676.566358662,36,K,Mozambique,MZ,Inhambane,admin,115776,73884
Pemba,663548.1951695937,8566712.872262757,37,L,Mozambique,MZ,Cabo Delgado,admin,110643,108737
Lichinga,742716.7542295854,8527181.725146983,36,L,Mozambique,MZ,Niassa,admin,109839,78828
Dondo,682800.2315306859,7830803.291237717,36,K,Mozambique,MZ,Sofala,,78648,71787
Cuamba,242478.40271428178,8357469.918972447,37,L,Mozambique,MZ,Niassa,,73268,63141
Montepuez,499969.8685280921,8548979.445450302,37,L,Mozambique,MZ,Cabo Delgado,,72279,25803
Mocuba,420838.1649341877,8137965.354850742,37,K,Mozambique,MZ,Zambézia,,68984,68984
Ilha de Moçambique,686610.220004403,8337161.56546711,37,L,Mozambique,MZ,Nampula,,54315,27086
Mocímboa da Praia,647559.7774663197,8745438.605637532,37,L,Mozambique,MZ,Cabo Delgado,,27909,27909
R. Macia,510426.2515421449,7233664.168895792,36,J,Mozambique,MZ,Gaza,,23156,3034
Marrupa,337391.4522286725,8540383.447663777,37,L,Mozambique,MZ,Niassa,,8762,8762
Nicoadala,268639.6003002487,8051844.673561763,37,K,Mozambique,MZ,Zambézia,,6945,6945
Manica,487062.4805033819,7906544.687602757,36,K,Mozambique,MZ,Manica,,4000,3427
Ligonha,364642.61482031806,8321805.526270398,37,L,Mozambique,MZ,Nampula,,3500,3121
Quissico,676248.9606568364,7264903.8828870915,36,J,Mozambique,MZ,Inhambane,,1210,1210
Massangena,495483.99375352403,7618332.47417449,36,K,Mozambique,MZ,Gaza,,650,619
Panda,675920.1727553119,7337678.265173713,36,J,Mozambique,MZ,Inhambane,,602,602
Chiramba,676372.941488039,8131596.385631999,36,K,Mozambique,MZ,Manica,,556,556
Espungabera,475959.9403884647,7738522.252793062,36,K,Mozambique,MZ,Manica,,393,393
Mapai,393605.8502034256,7473479.93889898,36,K,Mozambique,MZ,Gaza,,201,201
Vilankulo,739175.5271543493,7565361.009200906,36,K,Mozambique,MZ,Inhambane,,177,177
