city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Windhoek,714235.5456215299,7502584.262704216,33,K,Namibia,NA,Khomas,primary,268132,262796
Rundu,369378.9316781607,8016757.285457252,34,K,Namibia,NA,Kavango East,admin,58172,28798
Walvisbaai,449283.8337637587,7461099.557060392,33,K,Namibia,NA,Erongo,,52058,46951
Swakopmund,452064.04659125034,7491459.200153098,33,K,Namibia,NA,Erongo,admin,29491,25047
Rehoboth,713034.3157096747,7419891.117165612,33,K,Namibia,NA,Hardap,,25219,21377
Ongwediva,581261.9045735378,8033619.330543745,33,K,Namibia,NA,Oshana,,25032,9654
Katima Mulilo,209746.89266361075,8063048.07876207,35,K,Namibia,NA,Zambezi,admin,25027,18470
Otjiwarongo,672120.957395572,7737854.336060265,33,K,Namibia,NA,Otjozondjupa,admin,24815,21224
Grootfontein,197471.82396974548,7833919.306817553,34,K,Namibia,NA,Otjozondjupa,,24099,14200
Okahandja,697889.8438430496,7567778.500187465,33,K,Namibia,NA,Otjozondjupa,,20879,18503
Keetmanshoop,214470.4354792746,7056514.896949517,34,J,Namibia,NA,//Karas,admin,18039,15608
Gobabis,290754.937005577,7515944.70533959,34,K,Namibia,NA,Omaheke,admin,16321,16321
Lüderitz,515868.22809798975,7052534.919187505,33,J,Namibia,NA,//Karas,,15137,13295
Tsumeb,785612.3723364269,7871122.744034018,33,K,Namibia,NA,Oshikoto,admin,14959,12190
Mariental,800335.996103815,7272408.957151527,33,J,Namibia,NA,Hardap,admin,13380,11960
Oshikango,593826.1590795695,8075977.797690484,33,K,Namibia,NA,Ohangwena,,12423,2658
Omaruru,596720.618927759,7629605.098848461,33,K,Namibia,NA,Erongo,,11547,11547
Bethanie,714309.3701008891,7068994.651359845,33,J,Namibia,NA,//Karas,,10363,5881
Usakos,561933.3266106786,7567051.5611385275,33,K,Namibia,NA,Erongo,,9147,1640
Oranjemund,640214.8941265888,6841030.5485193,33,J,Namibia,NA,//Karas,,8496,5950
Karibib,586059.6851178294,7574318.333665309,33,K,Namibia,NA,Erongo,,6898,6898
Outjo,620213.3404662246,7775193.270471595,33,K,Namibia,NA,Kunene,,6557,6170
Karasburg,278776.3746434206,6898910.292799082,34,J,Namibia,NA,//Karas,,6054,4089
Opuwo,378297.1707884379,8002059.844147974,33,K,Namibia,NA,Kunene,admin,4857,4857
Otavi,744666.448131527,7825572.988280229,33,K,Namibia,NA,Otjozondjupa,,4562,4562
Maltahöhe,700432.7812552608,7252049.519865209,33,J,Namibia,NA,Hardap,,2329,2329
Outapi,498230.6820372152,8065131.0246828515,33,K,Namibia,NA,Omusati,admin,,
Oshakati,572428.6581289318,8033653.469836301,33,K,Namibia,NA,Oshana,admin,,
Nkurenkuru,245325.16343285426,8050609.136294328,34,K,Namibia,NA,Kavango West,admin,,
Eenhana,641578.897970232,8068324.22592807,33,K,Namibia,NA,Ohangwena,admin,,
