city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
The Hague,589078.033396709,5771104.107491189,31,U,Netherlands,NL,Zuid-Holland,primary,1406000,501725
Amsterdam,630545.4332043035,5801696.46525656,31,U,Netherlands,NL,Noord-Holland,primary,1031000,741636
Rotterdam,603164.1102312229,5752832.784099208,31,U,Netherlands,NL,Zuid-Holland,minor,1005000,598199
Utrecht,645164.6417992582,5773590.965801585,31,U,Netherlands,NL,Utrecht,admin,640000,316448
Eindhoven,671393.6202883135,5702754.647630545,31,U,Netherlands,NL,Noord-Brabant,minor,398053,209620
Haarlemmerliede,614869.5936347685,5805631.791097985,31,U,Netherlands,NL,Noord-Holland,,349957,147590
Groningen,336417.9504352759,5899175.234319177,32,U,Netherlands,NL,Groningen,admin,216688,181194
Arnhem,700915.7980226977,5762836.119165753,31,U,Netherlands,NL,Gelderland,admin,141674,141674
’s-Hertogenbosch,659409.2628124397,5730212.984488758,31,U,Netherlands,NL,Noord-Brabant,admin,134520,134520
Leeuwarden,687585.9896313513,5898356.70628156,31,U,Netherlands,NL,Fryslân,admin,125778,91424
Maastricht,688880.9016165916,5636575.631972216,31,U,Netherlands,NL,Limburg,admin,122378,122378
Zwolle,302224.5114469932,5821283.788067651,32,U,Netherlands,NL,Overijssel,admin,111805,111805
Assen,336460.70214240905,5874464.301841235,32,U,Netherlands,NL,Drenthe,admin,62237,62237
Middelburg,542546.9940423506,5705647.320898375,31,U,Netherlands,NL,Zeeland,admin,46485,46485
Halfweg,619612.0780755952,5805094.899994081,31,U,Netherlands,NL,Noord-Holland,minor,,
Franeker,669868.5601012061,5896380.751045028,31,U,Netherlands,NL,Fryslân,minor,,
Gieten,349997.39130312484,5875347.229708625,32,U,Netherlands,NL,Drenthe,minor,,
Bergeijk,664422.6175332267,5687910.006363632,31,U,Netherlands,NL,Noord-Brabant,minor,,
Odijk,653274.5196365234,5769206.792729889,31,U,Netherlands,NL,Utrecht,minor,,
Grootegast,318052.2797606613,5899275.43211946,32,U,Netherlands,NL,Groningen,minor,,
Oostzaan,627176.7866836997,5812392.1096862545,31,U,Netherlands,NL,Noord-Holland,minor,,
Bleskensgraaf,622859.8246511687,5748307.309065688,31,U,Netherlands,NL,Zuid-Holland,minor,,
Haarlem,612341.6625651142,5803102.427336267,31,U,Netherlands,NL,Noord-Holland,admin,,
Lelystad,667861.2434041663,5821490.769316271,31,U,Netherlands,NL,Flevoland,admin,,
