city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Lagos,543641.0732919523,713415.3315629947,31,N,Nigeria,NG,Lagos,minor,9466000,1536
Kano,447002.91928463156,1326863.7449019593,32,P,Nigeria,NG,Kano,admin,3140000,3140000
Ibadan,599979.8314584258,815588.874269596,31,N,Nigeria,NG,Oyo,admin,2628000,1814570
Abuja,338813.00529340655,1004391.0103840113,32,P,Nigeria,NG,Federal Capital Territory,primary,1576000,162135
Kaduna,329161.6452134983,1164040.7899086366,32,P,Nigeria,NG,Kaduna,admin,1442000,940593
Benin City,790505.9598046711,701320.2271527249,31,N,Nigeria,NG,Edo,admin,1190000,668026
Ikare,803878.2522215418,832844.2691707897,31,N,Nigeria,NG,Ondo,minor,1099931,700000
Port Harcourt,279660.66636395606,528379.2917873515,32,N,Nigeria,NG,Rivers,admin,1020000,1020000
Ogbomoso,636628.2685743887,899290.6320889882,31,P,Nigeria,NG,Oyo,minor,951000,239127
Aba,318943.219972218,564674.8162591342,32,N,Nigeria,NG,Abia,minor,897560,851210
Maiduguri,299241.5810020693,1310289.8820407074,33,P,Nigeria,NG,Borno,admin,896000,512460
Zaria,359141.19412398187,1225013.1053147286,32,P,Nigeria,NG,Kaduna,minor,889000,620673
Warri,804720.5984381154,610557.5846597794,31,N,Nigeria,NG,Delta,minor,830106,536023
Jos,488174.0348222361,1097508.030375666,32,P,Nigeria,NG,Plateau,admin,816824,657313
Ilorin,669750.6296786332,939540.6580676645,31,P,Nigeria,NG,Kwara,admin,771000,632484
Oyo,602663.7929486937,868113.8426648118,31,N,Nigeria,NG,Oyo,minor,736072,213961
Sokoto,740127.8743787344,1443494.5947636927,31,P,Nigeria,NG,Sokoto,,732178,563861
Enugu,333986.6669541336,712233.5752397828,32,N,Nigeria,NG,Enugu,admin,688862,688862
Abeokuta,538102.5534872082,790976.4168976793,31,N,Nigeria,NG,Ogun,admin,593100,289362
Uyo,381004.7545839781,556446.6833695914,32,N,Nigeria,NG,Akwa Ibom,admin,554906,436606
Awka,286672.35443102603,687104.4132849498,32,N,Nigeria,NG,Anambra,admin,500000,301657
Ile-Ife,672177.0325726249,827382.9760910528,31,N,Nigeria,NG,Osun,minor,482365,482365
Calabar,425383.15131670766,548162.4801895947,32,N,Nigeria,NG,Cross River,admin,461796,247517
Ado-Ekiti,745017.0730234146,843282.4256867071,31,N,Nigeria,NG,Ekiti,admin,446749,446749
Katsina,348354.73419039836,1436536.8840053645,32,P,Nigeria,NG,Katsina,admin,432149,432149
Akure,742157.1979744965,802253.9444279475,31,N,Nigeria,NG,Ondo,admin,420594,420594
Osogbo,671692.6817668247,859302.1512341764,31,N,Nigeria,NG,Osun,admin,408245,408245
Bauchi,592399.834905443,1139844.7907467315,32,P,Nigeria,NG,Bauchi,admin,316149,172552
Mele,799126.5003098391,651675.1364113269,31,N,Nigeria,NG,Delta,,309162,161686
Makurdi North,450468.2630968197,856608.9257793556,32,N,Nigeria,NG,Benue,,292645,198090
Minna,230857.25119404984,1063834.474427369,32,P,Nigeria,NG,Niger,admin,291905,206171
Owo,785689.0394140512,796245.9199602086,31,N,Nigeria,NG,Ondo,minor,276574,125250
Gombe,737364.9855014982,1138244.1095306843,32,P,Nigeria,NG,Gombe,admin,270366,250258
Umuahia,333242.1737654344,610898.8138818827,32,N,Nigeria,NG,Abia,admin,264662,264662
Ondo,702701.5944380409,784448.9366240837,31,N,Nigeria,NG,Ondo,minor,257005,255883
Damaturu,822742.9610005799,1300272.9716465983,32,P,Nigeria,NG,Yobe,admin,255895,255895
Iwo,630328.5847092423,844155.0820498408,31,N,Nigeria,NG,Osun,minor,250443,166934
Gusau,245813.88007778046,1346471.3396273667,32,P,Nigeria,NG,Zamfara,admin,226857,144993
Mubi,310203.1668947124,1135620.2249348667,33,P,Nigeria,NG,Adamawa,minor,225705,203715
