city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Oslo,597848.7571923113,6643423.817487485,32,V,Norway,NO,Oslo,primary,835000,580000
Bergen,297497.12459151645,6700619.253205461,32,V,Norway,NO,Hordaland,admin,213585,187194
Stavanger,313146.5065789613,6540883.187467067,32,V,Norway,NO,Rogaland,admin,173132,100866
Trondheim,570728.8238650797,7032796.428405324,32,V,Norway,NO,Sør-Trøndelag,admin,147139,141533
Drammen,568105.9896669597,6623356.635339296,32,V,Norway,NO,Buskerud,admin,90722,80153
Skyer,539030.7116128188,6562522.402778146,32,V,Norway,NO,Telemark,,73330,73330
Kristiansand,441167.0125739251,6447702.164684626,32,V,Norway,NO,Vest-Agder,admin,63814,52770
Tomasjorda,423097.47874449653,7729949.644155334,34,W,Norway,NO,Troms,,52436,45365
Ålesund,353255.9179948625,6930081.405886758,32,V,Norway,NO,Møre og Romsdal,minor,47772,42982
Sandnes,311554.2878868544,6527949.014597621,32,V,Norway,NO,Rogaland,minor,46911,46911
Haugesund,288765.5543042504,6591833.931147112,32,V,Norway,NO,Rogaland,minor,40321,32118
Tønsberg,580790.4125296038,6572739.9875417985,32,V,Norway,NO,Vestfold,admin,38914,38914
Moss,594674.0400093567,6589864.361086359,32,V,Norway,NO,Østfold,minor,36901,34492
Bodø,473425.4348999967,7463097.759027791,33,W,Norway,NO,Nordland,admin,34073,28694
Arendal,486385.3144164637,6479979.824213343,32,V,Norway,NO,Aust-Agder,admin,30916,30916
Hamar,614280.2673248765,6742339.235512609,32,V,Norway,NO,Hedmark,admin,29479,29479
Gjøvik,592516.3378156131,6741708.998338828,32,V,Norway,NO,Oppland,minor,22719,17596
Mo i Rana,462648.3366744088,7355456.135132662,33,W,Norway,NO,Nordland,minor,20409,17853
Narvik,599947.3672038676,7593403.547755934,33,W,Norway,NO,Nordland,minor,20000,18473
Lillehammer,580783.5502440131,6778564.871631423,32,V,Norway,NO,Oppland,admin,19542,19096
Harstad,562361.9492492228,7633124.517522912,33,W,Norway,NO,Troms,minor,19433,18973
Molde,407151.84168628766,6957187.08237658,32,V,Norway,NO,Møre og Romsdal,admin,18594,13749
Alta,585687.1844432896,7763730.99194219,34,W,Norway,NO,Finnmark,minor,12077,12077
Steinkjer,622183.6919509724,7101268.138501968,32,W,Norway,NO,Nord-Trøndelag,admin,11274,11113
Hammerfest,599328.396722236,7841862.536479132,34,W,Norway,NO,Finnmark,minor,10000,9934
Namsos,620139.8467429589,7153240.993125102,32,W,Norway,NO,Nord-Trøndelag,minor,9035,9035
Vossevangen,359606.7749003887,6724688.619388607,32,V,Norway,NO,Hordaland,,5571,5571
Vadsø,605322.1270216499,7776414.021457806,35,W,Norway,NO,Finnmark,admin,5139,5139
Svolvær,482067.3000879571,7568942.200206261,33,W,Norway,NO,Nordland,minor,4197,4197
Finnsnes,618010.4266447201,7683253.729643418,33,W,Norway,NO,Troms,minor,3907,3315
Kirkenes,386015.0461917823,7737958.099011377,36,W,Norway,NO,Finnmark,minor,3282,2174
Rørvik,605889.5994066384,7193605.962673278,32,W,Norway,NO,Nord-Trøndelag,minor,2615,2615
Hermansverk,384400.7705007893,6785108.741760679,32,V,Norway,NO,Sogn og Fjordane,admin,1965,1965
Skogsvåg,284324.14164076245,6686250.359153979,32,V,Norway,NO,Hordaland,minor,,
Noresund,534222.7663129114,6670132.514297455,32,V,Norway,NO,Buskerud,minor,,
Sandnessjøen,392675.6525343391,7323793.387842373,33,W,Norway,NO,Nordland,minor,,
Hansnes,446478.9607344943,7762770.29035581,34,W,Norway,NO,Troms,minor,,
Råde,605197.360627857,6580487.044170983,32,V,Norway,NO,Østfold,minor,,
Tingvoll,459640.50775944884,6976151.35108106,32,V,Norway,NO,Møre og Romsdal,minor,,
Årdalstangen,431102.67565485067,6789453.9023999,32,V,Norway,NO,Sogn og Fjordane,minor,,
Rosendal,333550.4795554222,6653308.531400833,32,V,Norway,NO,Hordaland,minor,,
Batnfjordsøra,433892.3459197399,6973258.200218208,32,V,Norway,NO,Møre og Romsdal,minor,,
Namdalseid,607752.0191780885,7123730.528115863,32,W,Norway,NO,Nord-Trøndelag,minor,,
Jaren,585447.9510985295,6695108.242238284,32,V,Norway,NO,Oppland,minor,,
Hov,573699.9238683871,6730129.97149354,32,V,Norway,NO,Oppland,minor,,
Kragerø,524030.86413734884,6525280.2607002165,32,V,Norway,NO,Telemark,minor,,
Stranda,391164.86902646604,6911224.45933846,32,V,Norway,NO,Møre og Romsdal,minor,,
Gratangen,608992.827048355,7617714.005151975,33,W,Norway,NO,Troms,minor,,
Valldal,414529.8730712269,6912404.756492818,32,V,Norway,NO,Møre og Romsdal,minor,,
Ulefoss,515194.55543800216,6571632.401376813,32,V,Norway,NO,Telemark,minor,,
Våler,654813.5530309129,6728998.196243479,32,V,Norway,NO,Hedmark,minor,,
Drøbak,591896.2989091809,6615047.388180125,32,V,Norway,NO,Akershus,minor,,
Hokksund,549637.1498637551,6626336.12133333,32,V,Norway,NO,Buskerud,minor,,
Lurøy,403794.5491611038,7368049.91398489,33,W,Norway,NO,Nordland,minor,,
Vik,367148.31473532657,7244892.34206409,33,W,Norway,NO,Nordland,minor,,
Tysse,321141.01319128723,6697114.080495007,32,V,Norway,NO,Hordaland,minor,,
Kleppe,307248.54805225274,6518867.074281936,32,V,Norway,NO,Rogaland,minor,,
Skjåk,466836.24656851974,6861090.108880748,32,V,Norway,NO,Oppland,minor,,
Vågå,506486.92919386947,6859567.292563482,32,V,Norway,NO,Oppland,minor,,
Åseral,408030.2087639733,6498453.906663306,32,V,Norway,NO,Vest-Agder,minor,,
Langesund,543088.6548854862,6540293.757199955,32,V,Norway,NO,Telemark,minor,,
Sørumsand,625609.9056020076,6649834.592383322,32,V,Norway,NO,Akershus,minor,,
Randaberg,304715.9685933826,6545020.8480670955,32,V,Norway,NO,Rogaland,minor,,
Treungen,474171.57749585697,6543850.648151052,32,V,Norway,NO,Telemark,minor,,
Ølen,319849.38503051666,6611598.371168906,32,V,Norway,NO,Rogaland,minor,,
Sykkylven,375087.40328446636,6920768.355317852,32,V,Norway,NO,Møre og Romsdal,minor,,
Ål,476293.2720839694,6722025.566351357,32,V,Norway,NO,Buskerud,minor,,
Kongsberg,536637.3767200074,6612612.872412761,32,V,Norway,NO,Buskerud,minor,,
Ski,603123.5421573076,6621282.629171293,32,V,Norway,NO,Akershus,minor,,
Dale,325622.61218522396,6720599.7687250385,32,V,Norway,NO,Hordaland,minor,,
Lyngdal,387138.06921794364,6445158.140884688,32,V,Norway,NO,Vest-Agder,minor,,
Kongsvinger,333716.4316015906,6677464.004972468,33,V,Norway,NO,Hedmark,minor,,
Brøstadbotn,607620.2305624555,7665590.893375667,33,W,Norway,NO,Troms,minor,,
Sør-Fron,549577.1470326281,6826263.054779674,32,V,Norway,NO,Oppland,minor,,
Oppdal,534229.1424398255,6941200.461010764,32,V,Norway,NO,Sør-Trøndelag,minor,,
Bjørkelangen,643642.6493211699,6641202.108229661,32,V,Norway,NO,Akershus,minor,,
Alvdal,586085.1776297651,6888272.817633141,32,V,Norway,NO,Hedmark,minor,,
Brekstad,533800.5488870508,7061908.538290831,32,V,Norway,NO,Sør-Trøndelag,minor,,
Iveland,436746.3384098235,6479017.647718078,32,V,Norway,NO,Aust-Agder,minor,,
Storslett,500643.3078899024,7739852.879758333,34,W,Norway,NO,Troms,minor,,
Søgne,430218.88006999856,6438599.631174605,32,V,Norway,NO,Vest-Agder,minor,,
Rena,627446.9326013624,6779944.325617617,32,V,Norway,NO,Hedmark,minor,,
Evje,433167.24057164486,6496085.693980582,32,V,Norway,NO,Aust-Agder,minor,,
Brønnøysund,371074.73669799045,7263314.853586283,33,W,Norway,NO,Nordland,minor,,
Selbu,602529.0978053936,7011345.154029505,32,V,Norway,NO,Sør-Trøndelag,minor,,
Nesna,411451.0454111388,7343593.561646885,33,W,Norway,NO,Nordland,minor,,
Nannestad,611072.456127226,6676748.474803683,32,V,Norway,NO,Akershus,minor,,
Andenes,545036.5760970955,7690495.464721764,33,W,Norway,NO,Nordland,minor,,
Borkenes,547789.4593622407,7630663.174524877,33,W,Norway,NO,Troms,minor,,
Bremnes,285427.9490930536,6634805.035934677,32,V,Norway,NO,Hordaland,minor,,
Jevnaker,581184.7819247604,6680155.862847674,32,V,Norway,NO,Oppland,minor,,
Bruflat,533474.865961925,6749949.944606959,32,V,Norway,NO,Oppland,minor,,
Stokmarknes,496272.3428094417,7605520.96084741,33,W,Norway,NO,Nordland,minor,,
Kjøllefjord,512760.6426237506,7869998.276217361,35,W,Norway,NO,Finnmark,minor,,
Røyrvik,431329.4506355754,7196239.207428955,33,W,Norway,NO,Nord-Trøndelag,minor,,
Fiskå,320293.5078258669,6890081.4686066825,32,V,Norway,NO,Møre og Romsdal,minor,,
Rognan,516645.4845881426,7442579.190810827,33,W,Norway,NO,Nordland,minor,,
