city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Karachi,306304.2529780843,2755860.530136502,42,R,Pakistan,PK,Sindh,admin,12130000,11624219
Lahore,437698.85369186715,3490714.2740037492,43,R,Pakistan,PK,Punjab,admin,6577000,6310888
Faisalābād,317808.14465479756,3477369.423172355,43,R,Pakistan,PK,Punjab,minor,2617000,2506595
Serai,256074.54405316946,3847369.6024640114,43,S,Pakistan,PK,Khyber Pakhtunkhwa,,1860310,1860310
Rāwalpindi,318868.32304863946,3719218.1348125553,43,S,Pakistan,PK,Punjab,minor,1858000,1743101
Multān,738584.6349938657,3343187.7504400755,42,R,Pakistan,PK,Punjab,minor,1522000,1437230
Gujrānwāla,423341.60981999006,3557979.872153108,43,S,Pakistan,PK,Punjab,minor,1513000,1384471
Hyderābād City,437354.32605265395,2809042.1333538704,42,R,Pakistan,PK,Sindh,minor,1459000,1386330
Peshāwar,738125.782228508,3766041.102659241,42,S,Pakistan,PK,Khyber Pakhtunkhwa,admin,1303000,1218773
Abbottābād,335126.57140541764,3779822.1591424653,43,S,Pakistan,PK,Khyber Pakhtunkhwa,minor,1183647,881000
Islamabad,319729.4697482785,3729482.2272109496,43,S,Pakistan,PK,Islāmābād,primary,780000,601600
Quetta,307578.04347649915,3340877.398643593,42,R,Pakistan,PK,Balochistān,admin,768000,733675
Bannu,649750.2956763675,3650810.386910874,42,S,Pakistan,PK,Khyber Pakhtunkhwa,minor,622419,550000
Bahāwalpur,760393.5496425786,3255298.1929585957,42,R,Pakistan,PK,Punjab,minor,552607,552607
Sargodha,280197.266576701,3552076.954539563,43,S,Pakistan,PK,Punjab,minor,542603,542603
Siālkot City,455380.1116286353,3595858.8300311877,43,S,Pakistan,PK,Punjab,minor,477396,477396
Sukkur,485939.547711331,3064550.7112624026,42,R,Pakistan,PK,Sindh,minor,417767,417767
Lārkāna,422210.75664847787,3048597.930372716,42,R,Pakistan,PK,Sindh,minor,364033,364033
Sheikhupura,403196.45274975675,3509084.552862759,43,R,Pakistan,PK,Punjab,minor,361303,361303
Mīrpur Khās,501597.57818690175,2823093.4812338604,42,R,Pakistan,PK,Sindh,minor,356435,215657
Rahīmyār Khān,627560.6193978167,3144362.0267936788,42,R,Pakistan,PK,Punjab,,353203,353203
Kohāt,727315.7692611304,3718494.343130999,42,S,Pakistan,PK,Khyber Pakhtunkhwa,minor,343027,151427
Jhang Sadr,244532.5247131646,3462610.725280179,43,R,Pakistan,PK,Punjab,,341210,341210
Gujrāt,413215.8006360158,3604461.776898996,43,S,Pakistan,PK,Punjab,minor,301506,301506
Bardār,224509.20725491963,3784347.7767287944,43,S,Pakistan,PK,Khyber Pakhtunkhwa,,300424,300424
Kasūr,447238.8998122842,3442540.214545265,43,R,Pakistan,PK,Punjab,minor,290643,290643
Dera Ghāzi Khān,657591.3073142162,3326132.568469498,42,R,Pakistan,PK,Punjab,minor,236093,236093
Masīwāla,314808.2622313829,3396102.9071909897,43,R,Pakistan,PK,Punjab,,235695,235695
Nawābshāh,441033.6933521588,2903320.1084544575,42,R,Pakistan,PK,Sindh,minor,229504,229504
Okāra,351324.7141357976,3409362.9358751513,43,R,Pakistan,PK,Punjab,minor,223648,223648
Gilgit,438078.5707719126,3975293.702807914,43,S,Pakistan,PK,Gilgit-Baltistan,minor,216760,31633
Chiniot,308499.5021416311,3511176.7788087595,43,R,Pakistan,PK,Punjab,minor,201781,201781
Sādiqābād,610856.1005033354,3131644.4948554994,42,R,Pakistan,PK,Punjab,,189876,189876
Turbat,504852.8162488174,2875820.289283519,41,R,Pakistan,PK,Balochistān,minor,147791,75694
Dera Ismāīl Khān,680031.9766239485,3523467.7753727203,42,R,Pakistan,PK,Khyber Pakhtunkhwa,minor,101616,31737
Chaman,256562.02918570774,3423261.580345788,42,R,Pakistan,PK,Balochistān,,88568,88568
Zhob,542740.1757672955,3467461.1818722924,42,R,Pakistan,PK,Balochistān,minor,88356,50537
Mehra,336264.49268353323,3798274.9706506054,43,S,Pakistan,PK,Khyber Pakhtunkhwa,,66486,66486
Parachinār,601604.990193808,3751131.8065469284,42,S,Pakistan,PK,Federally Administered Tribal Areas,,55685,55685
Gwādar,431993.5745375493,2778585.7435662285,41,R,Pakistan,PK,Balochistān,minor,51901,23364
Kundiān,733007.3720239083,3593881.5229703085,42,S,Pakistan,PK,Punjab,,35406,35406
Shahdād Kot,392357.8526361139,3080762.823990441,42,R,Pakistan,PK,Sindh,minor,,
Harīpur,309202.2795135068,3764076.320127618,43,S,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Matiāri,444438.9607781659,2831181.2495492566,42,R,Pakistan,PK,Sindh,minor,,
Dera Allāhyār,436387.57020470296,3138752.491699138,42,R,Pakistan,PK,Balochistān,minor,,
Lodhrān,755210.2145845505,3270764.693449194,42,R,Pakistan,PK,Punjab,minor,,
Batgrām,319184.676894508,3839289.391385426,43,S,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Thatta,391148.34452588356,2737411.701623833,42,R,Pakistan,PK,Sindh,minor,,
Bāgh,386945.73946525995,3760736.0065086954,43,S,Pakistan,PK,Azad Kashmir,minor,,
Badīn,483505.89813836786,2726867.2288117376,42,R,Pakistan,PK,Sindh,minor,,
Mānsehra,334114.3919909595,3800244.8747877725,43,S,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Ziārat,377558.43655742955,3361853.2469532974,42,R,Pakistan,PK,Balochistān,minor,,
Muzaffargarh,711457.5566998053,3328856.5860804906,42,R,Pakistan,PK,Punjab,minor,,
Tando Allāhyār,471774.8191631323,2816204.997934199,42,R,Pakistan,PK,Sindh,minor,,
