city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Panama City,661238.8151237434,991488.6790262427,17,P,Panama,PA,Panamá,primary,1281000,408168
Colón,620780.4810554729,1034234.3161969245,17,P,Panama,PA,Colón,admin,204000,136976
David,343086.9662575127,931832.9371216164,17,P,Panama,PA,Chiriquí,admin,110037,82859
Balboa,657580.66491412,989631.0130191097,17,P,Panama,PA,Panamá,,62882,62882
Santiago,503066.3091078236,895393.5997375436,17,P,Panama,PA,Veraguas,admin,45955,45355
Puerto Chitré,566123.3648005165,882503.3755432045,17,N,Panama,PA,Herrera,,44082,43966
Penonomé,570843.0496634253,941143.6141618539,17,P,Panama,PA,Coclé,admin,28766,12394
Puerto Armuelles,295013.4984070343,914894.5194916578,17,P,Panama,PA,Chiriquí,minor,27147,18795
Las Tablas,579960.141949888,858355.6865445146,17,N,Panama,PA,Los Santos,admin,11358,8570
Bocas del Toro,363735.7650040324,1032242.4469196098,17,P,Panama,PA,Bocas del Toro,admin,9883,3085
Almirante,346711.6913518791,1027376.4679488095,17,P,Panama,PA,Bocas del Toro,minor,8114,6771
La Palma,815015.4729973625,930341.8484604625,17,P,Panama,PA,Darién,admin,1845,1845
Jaqué,812574.5673323139,832284.0910032458,17,N,Panama,PA,Darién,minor,1357,553
El Porvenir,725518.9866671322,1056976.8216260918,17,P,Panama,PA,Kuna Yala,admin,10,10
Agua Fría Número Uno,808271.041858885,980357.5779275006,17,P,Panama,PA,Darién,minor,,
Paredón Arriba,478434.9443044984,935131.8036020875,17,P,Panama,PA,Ngöbe-Buglé,minor,,
Unión Chocó,212515.593786844,896158.0738882466,18,P,Panama,PA,Emberá-Wounaan,admin,,
La Punta,478920.33529865375,835331.0853149295,17,N,Panama,PA,Veraguas,minor,,
San Lorenzo,378739.7057635982,918251.8769716219,17,P,Panama,PA,Chiriquí,minor,,
Corozal,213485.82852581458,907094.7218544147,18,P,Panama,PA,Emberá-Wounaan,minor,,
Bajos de Güera,541364.0117263261,833860.7709755208,17,N,Panama,PA,Los Santos,minor,,
Breñón,300518.6578712107,953856.4938756395,17,P,Panama,PA,Chiriquí,minor,,
Cabecera de Cerro Puerco,416366.9508055736,919596.1794221208,17,P,Panama,PA,Ngöbe-Buglé,minor,,
El Porvenir,408276.7443305359,909730.3864874541,17,P,Panama,PA,Chiriquí,minor,,
Santa Lucia,409010.3555444229,909954.9703855128,17,P,Panama,PA,Chiriquí,minor,,
La Chorrera,633782.0392170772,981835.3848257099,17,P,Panama,PA,Panamá Oeste,admin,,
Norteño,355479.1147047818,995452.2068870667,17,P,Panama,PA,,minor,,
Los Llanitos,599580.8069827434,950511.7493362986,17,P,Panama,PA,Panamá Oeste,minor,,
La Trinidad,532700.5858739825,874865.2202005015,17,N,Panama,PA,Herrera,minor,,
Quebrada de Loro,397905.50120490306,924132.4053066104,17,P,Panama,PA,Ngöbe-Buglé,minor,,
Atalaya,508233.34820664325,888956.0331557908,17,P,Panama,PA,Veraguas,minor,,
Cabuya,618063.0116748745,948000.2036127201,17,P,Panama,PA,Panamá Oeste,minor,,
Chacarero,324059.0604985042,938719.9912535185,17,P,Panama,PA,Chiriquí,minor,,
Las Cabras,549701.9403437792,870573.5136462095,17,N,Panama,PA,Herrera,minor,,
Ocú,524317.6978836658,877728.1700698492,17,N,Panama,PA,Herrera,minor,,
El Toro,514397.7530088815,856784.2791428439,17,N,Panama,PA,Herrera,minor,,
El Guásimo,551827.80423469,862923.7180295194,17,N,Panama,PA,Los Santos,minor,,
Leones Arriba,486631.6329187133,856993.5777922401,17,N,Panama,PA,Veraguas,minor,,
El Barrero,553612.1496586172,876971.2944151076,17,N,Panama,PA,Herrera,minor,,
Palenque,679617.4199184086,1058264.3934834122,17,P,Panama,PA,Colón,minor,,
La Mesa,480046.0367363823,900561.3058273464,17,P,Panama,PA,Veraguas,minor,,
El Potrero,522642.7491188382,925972.9143312431,17,P,Panama,PA,Veraguas,minor,,
La Mesa,542137.3637849006,846365.0868008502,17,N,Panama,PA,Los Santos,minor,,
