city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Asunción,438479.71583473927,7202369.405005092,21,J,Paraguay,PY,Asunción,primary,1870000,11693
San Lorenzo,446327.1334688817,7198035.044783909,21,J,Paraguay,PY,Central,,500000,271064
Encarnación,612117.4582326103,6976442.62959671,21,J,Paraguay,PY,Itapúa,admin,357119,146508
Ciudad del Este,740102.1329467166,7176453.036826095,21,J,Paraguay,PY,Alto Paraná,admin,320872,320872
Pedro Juan Caballero,630246.4247359616,7506049.094085243,21,K,Paraguay,PY,Amambay,admin,102787,29271
Coronel Oviedo,556277.0823658034,7185720.021493711,21,J,Paraguay,PY,Caaguazú,admin,88101,51286
Concepción,455015.2563229628,7411515.491505439,21,K,Paraguay,PY,Concepción,admin,59118,48123
Villarrica,555284.3777298443,7148502.129229519,21,J,Paraguay,PY,Guairá,admin,41157,41157
Itá,464820.88088078325,7181485.500579486,21,J,Paraguay,PY,Central,,41090,18459
Ypacarai,473174.73840306967,7192578.477171728,21,J,Paraguay,PY,Central,,30150,17461
Pilar,370858.7275212963,7027978.061822874,21,J,Paraguay,PY,Ñeembucú,admin,28435,28435
Caacupé,485889.13630874205,7192290.211702637,21,J,Paraguay,PY,Cordillera,admin,21696,21696
Paraguarí,485219.3799449901,7166297.200846245,21,J,Paraguay,PY,Paraguarí,admin,18881,10079
Bella Vista,549843.6951781121,7552335.61851133,21,K,Paraguay,PY,Amambay,,16852,5653
Horqueta,493895.1609384628,7418532.726148932,21,K,Paraguay,PY,Concepción,,16171,10531
Villa Hayes,447201.95726336574,7224645.914480671,21,J,Paraguay,PY,Presidente Hayes,admin,15643,15643
Coronel Bogado,569338.6620441744,6993065.168819852,21,J,Paraguay,PY,Itapúa,,14297,14297
Belén,473248.5719888027,7404856.0068650935,21,K,Paraguay,PY,Concepción,,11359,1621
Filadelfia,805562.4792484927,7525422.114239054,20,K,Paraguay,PY,Boquerón,admin,10470,8048
San Juan Bautista,485489.07648300834,7050167.729642991,21,J,Paraguay,PY,Misiones,admin,7882,7882
Caazapá,563139.0414746264,7102474.888469951,21,J,Paraguay,PY,Caazapá,admin,5504,5504
Hohenau,623933.2334551364,7003719.240743857,21,J,Paraguay,PY,Itapúa,,5306,5306
Puerto Rosario,491553.8424790647,7295948.188698135,21,J,Paraguay,PY,San Pedro,,5123,2155
Puerto La Victoria,405600.6931730121,7529990.034050291,21,K,Paraguay,PY,Alto Paraguay,,5000,5000
Arroyos y Esteros,489914.4774659699,7227666.548538204,21,J,Paraguay,PY,Cordillera,,3055,2455
Abaí,606723.2182338887,7120188.69211735,21,J,Paraguay,PY,Caazapá,,3024,2553
Ygatimí,652479.9059573463,7335732.682915984,21,J,Paraguay,PY,Canindeyú,,2809,2809
Mariscal Estigarribia,744282.4933850146,7561590.118091291,20,K,Paraguay,PY,Boquerón,,2500,2000
Fuerte Olimpo,409228.39716305386,7673146.211024642,21,K,Paraguay,PY,Alto Paraguay,admin,2475,2475
Pozo Colorado,299125.3521748161,7403445.593823122,21,K,Paraguay,PY,Presidente Hayes,,2135,2135
Ñacunday,723510.2743773133,7120559.024210596,21,J,Paraguay,PY,Alto Paraná,,1250,1120
Capitán Pablo Lagerenza,732041.4893442395,7796210.679830209,20,K,Paraguay,PY,Alto Paraguay,,1200,1200
Ypé Jhú,669665.4090447407,7355844.828984424,21,K,Paraguay,PY,Canindeyú,,600,596
Puerto Pinasco,414419.42679511657,7487604.208026256,21,K,Paraguay,PY,Presidente Hayes,,500,447
Salto del Guairá,773848.9429778382,7336228.412894089,21,J,Paraguay,PY,Canindeyú,admin,,
San Pedro de Ycuamandiyú,492235.9045968012,7335622.475637968,21,J,Paraguay,PY,San Pedro,admin,,
Areguá,461276.39782010467,7200393.257117536,21,J,Paraguay,PY,Central,admin,,
