city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Barilan,284584.59801127145,1618718.096444486,51,P,Philippines,PH,Quezon,,11100000,3077575
Quezon City,290083.555980079,1620385.516864022,51,P,Philippines,PH,Quezon,admin,2761720,2761720
Davao,788636.5713538494,782635.7571897621,51,N,Philippines,PH,Davao,admin,1402000,1212504
Cagayan de Oro,680868.6939705354,937868.6033038589,51,P,Philippines,PH,Cagayan de Oro,admin,1121561,602088
General Santos,740343.9317855155,676156.5207420398,51,N,Philippines,PH,General Santos,admin,950530,538086
Bacolod,494892.68308144895,1179237.6493468904,51,P,Philippines,PH,Bacolod,admin,949354,511820
Cebu City,597632.0237684272,1139946.3324112478,51,P,Philippines,PH,Cebu,admin,815000,798634
Zamboanga City,397446.1181291363,763927.8462984855,51,N,Philippines,PH,Zamboanga,admin,773000,457623
Dinaga,518025.42746681353,1509024.784390735,51,P,Philippines,PH,Camarines Sur,,741635,174931
Iligan,636150.9049062447,910027.2222784323,51,P,Philippines,PH,Iligan,admin,464599,464599
Baguio City,242734.5230536597,1816608.845878042,51,Q,Philippines,PH,Baguio,admin,447824,272714
Bulagang,283306.102393668,1527849.8203290722,51,P,Philippines,PH,Batangas,,424508,237370
Pasay City,284048.44778186345,1609016.0866795995,51,P,Philippines,PH,Pasay,admin,403064,403064
Bulilao,452613.3905949994,1182841.8879389677,51,P,Philippines,PH,Iloilo,,387681,387681
Legazpi City,579694.3959369033,1452590.3597736221,51,P,Philippines,PH,Albay,admin,320081,320081
Angeles City,240895.62043798182,1676004.9111267459,51,P,Philippines,PH,Angeles,admin,314493,314493
Olongapo,207816.9012944845,1642282.423851376,51,P,Philippines,PH,Olongapo,admin,304388,227270
Cadiz,531468.0103681453,1210078.9419845808,51,P,Philippines,PH,Negros Occidental,,283157,129053
Tacloban,718863.4871583286,1243631.8653238707,51,P,Philippines,PH,Tacloban,admin,280006,189090
Cotabato,637608.9514429404,798656.6309644119,51,N,Philippines,PH,Cotabato,admin,279519,179433
San Ignacio,321245.90326254896,1553484.7969878498,51,P,Philippines,PH,Laguna,,240830,207577
Cabanatuan City,281842.8987837966,1713099.7286166332,51,P,Philippines,PH,Nueva Ecija,,220250,220250
Lagui,249627.30034424935,2013851.5773025642,51,Q,Philippines,PH,Ilocos Norte,,207048,102105
Butuan,779705.3790154892,990198.5156054732,51,P,Philippines,PH,Butuan,admin,190557,190557
Tarlac City,242280.71296453467,1712878.4545463643,51,P,Philippines,PH,Tarlac,admin,183930,183930
Dagupan City,215344.73498670053,1775574.4092535602,51,Q,Philippines,PH,Dagupan,admin,163676,163676
Pagadian,548177.7301337443,865053.8137981377,51,N,Philippines,PH,Zamboanga del Sur,admin,159590,159590
Puerto Princesa,690356.0042226572,1077061.839339158,50,P,Philippines,PH,Puerto Princesa,admin,157144,138620
Tuguegarao,364498.4380817119,1948133.9736855542,51,Q,Philippines,PH,Cagayan,admin,115105,115105
Roxas City,472865.3792306696,1280706.9959231121,51,P,Philippines,PH,Capiz,admin,102688,81073
Misamis,593358.39028832,903005.5086481872,51,P,Philippines,PH,Misamis Occidental,,97806,93082
Surigao,773697.414514771,1083097.399795517,51,P,Philippines,PH,Surigao del Norte,admin,87832,42134
Cagbanayacao,672337.8716941894,1334423.4475270468,51,P,Philippines,PH,Samar,,67921,42109
Vigan,222532.48614597268,1944685.929344514,51,Q,Philippines,PH,Ilocos Sur,admin,48545,48545
Tagum,810112.4996544876,824204.1966447649,51,N,Philippines,PH,Davao del Norte,admin,6726,6726
San Carlos,545993.5814577272,1158956.7207884204,51,P,Philippines,PH,Negros Occidental,,6353,6353
Gingoog,730946.5321820898,976461.5253778567,51,P,Philippines,PH,Misamis Oriental,,218,218
Mamburao,239473.0958687818,1463080.6088321544,51,P,Philippines,PH,Occidental Mindoro,admin,,
Roseller Lim,441229.94386624516,846310.8099499014,51,N,Philippines,PH,Zamboanga Sibugay,minor,,
Agdangan,382551.46770019806,1534401.5721574489,51,P,Philippines,PH,Quezon,minor,,
Bongao,807510.7010597676,556541.1121864422,50,N,Philippines,PH,Tawi-Tawi,admin,,
San Jose,781410.4312487498,1126429.3381063584,51,P,Philippines,PH,Dinagat Islands,admin,,
Alabel,753504.9369358012,674995.7231806355,51,N,Philippines,PH,Sarangani,admin,,
Siquijor,556572.7394443619,1018574.3835726917,51,P,Philippines,PH,Siquijor,admin,,
Marikina City,296637.2795225787,1619508.8858444947,51,P,Philippines,PH,Marikina,admin,,
Antipolo,303474.990217483,1613612.3786425486,51,P,Philippines,PH,Rizal,admin,,
Naga City,519913.09815427713,1506062.273312776,51,P,Philippines,PH,Naga,admin,,
Bontoc,284837.4536537469,1890616.3128989781,51,Q,Philippines,PH,Mountain,admin,,
Argao,565858.2314571767,1092363.4839376942,51,P,Philippines,PH,Cebu,minor,,
Sikatuna,606738.8324861599,1071334.4613948823,51,P,Philippines,PH,Bohol,minor,,
Candelaria,329664.7714406325,1540671.89553259,51,P,Philippines,PH,Quezon,minor,,
Lapu-Lapu City,603959.0503348038,1139872.4156144415,51,P,Philippines,PH,Lapu-Lapu,admin,,
Hinatuan,206506.9060008097,926076.7027940588,52,P,Philippines,PH,Surigao del Sur,minor,,
Iloilo,452369.8158556231,1182504.3242850583,51,P,Philippines,PH,Iloilo,admin,,
Virac,633873.531915111,1502147.6158569222,51,P,Philippines,PH,Catanduanes,admin,,
Dauis,595001.5446029791,1064102.395085334,51,P,Philippines,PH,Bohol,minor,,
Baler,345809.80865698576,1742792.5953830767,51,P,Philippines,PH,Aurora,admin,,
Ipil,454365.74696663895,860490.250081875,51,N,Philippines,PH,Zamboanga Sibugay,admin,,
