city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
San Juan,805685.0534771206,2044227.1695292369,19,Q,Puerto Rico,PR,,primary,2478905,395326
Mayagüez,696747.8865807769,2013428.8916899061,19,Q,Puerto Rico,PR,,,291339,78647
Bayamón,800518.5197661637,2036637.204994109,19,Q,Puerto Rico,PR,,,185996,185996
Ponce,752625.3741295531,1993038.094863045,19,Q,Puerto Rico,PR,,,160334,152634
Carolina,187490.14291195368,2034859.4389882125,20,Q,Puerto Rico,PR,,,157832,157832
Caguas,812150.5041395045,2018605.465321055,19,Q,Puerto Rico,PR,,,82243,82243
Guaynabo,805319.4351111718,2032158.9185835167,19,Q,Puerto Rico,PR,,,75443,75443
Arecibo,741218.0315312315,2043980.425545153,19,Q,Puerto Rico,PR,,,69307,49318
Trujillo Alto,816282.4949093594,2032028.4832976721,19,Q,Puerto Rico,PR,,,48437,48437
Fajardo,219650.94770043093,2028271.2769926845,20,Q,Puerto Rico,PR,,,28930,28930
Cataño,804408.0499491347,2041437.3503312634,19,Q,Puerto Rico,PR,,,28140,28140
Levittown,797698.700581795,2042285.5471289577,19,Q,Puerto Rico,PR,,,26960,26960
Vega Baja,775924.1000632576,2041343.4606106807,19,Q,Puerto Rico,PR,,,25905,25905
Guayama,805675.8269427627,1990808.607214724,19,Q,Puerto Rico,PR,,,22691,22691
Humacao,200840.66720530955,2009046.6114132428,20,Q,Puerto Rico,PR,,,18629,18629
Yauco,727613.9776432673,1995376.4883933773,19,Q,Puerto Rico,PR,,,17186,17186
Candelaria,794899.6687348416,2037165.2837348608,19,Q,Puerto Rico,PR,,,16760,16760
Cayey,799924.1968134744,2004873.6115237293,19,Q,Puerto Rico,PR,,,16680,16680
Manatí,764912.3252337168,2039311.1991976367,19,Q,Puerto Rico,PR,,,14011,14011
Aguadilla,694965.9524321755,2038470.5087752526,19,Q,Puerto Rico,PR,,,13310,13310
Dorado,788582.5389906552,2043130.2940934098,19,Q,Puerto Rico,PR,,,13258,13258
Río Grande,200824.53651430225,2034585.3795936387,20,Q,Puerto Rico,PR,,,12677,12677
Hormigueros,698110.1070529472,2006647.4704671165,19,Q,Puerto Rico,PR,,,12443,12443
Coamo,779648.8556516595,2001034.231738007,19,Q,Puerto Rico,PR,,,11522,11522
Isabela,708582.8247253059,2046732.3348492957,19,Q,Puerto Rico,PR,,,11255,11255
San Germán,706909.1279377962,2000312.4753525301,19,Q,Puerto Rico,PR,,,10989,10989
Vega Alta,781936.1785855541,2037862.3796419413,19,Q,Puerto Rico,PR,,,10266,10266
Corozal,783579.4345667132,2030010.5252446635,19,Q,Puerto Rico,PR,,,10160,10160
Pájaros,794108.3996979704,2033214.7558738345,19,Q,Puerto Rico,PR,,,10122,10122
