city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Moscow,413106.7405955987,6179370.976412566,37,U,Russia,RU,Moskva,primary,10452000,10452000
Saint Petersburg,346944.616974454,6642817.868814107,36,V,Russia,RU,Sankt-Peterburg,admin,4553000,3493212
Novosibirsk,623617.7048734693,6101120.210233545,44,U,Russia,RU,Novosibirskaya Oblast’,admin,1389000,1037201
Yekaterinburg,354387.4389139678,6303441.320412319,41,V,Russia,RU,Sverdlovskaya Oblast’,admin,1313000,1227976
Nizhniy Novgorod,438624.7061269171,6242910.948816428,38,V,Russia,RU,Nizhegorodskaya Oblast’,admin,1278000,1214926
Samara,443220.93889691075,5894863.738239662,39,U,Russia,RU,Samarskaya Oblast’,admin,1137000,856190
Omsk,397654.890909223,6095962.122321236,43,U,Russia,RU,Omskaya Oblast’,admin,1135000,1043403
Kazan’,382251.8998995861,6184163.269486615,39,U,Russia,RU,Tatarstan,admin,1115000,912270
Chelyabinsk,399904.6478174406,6113056.488530232,41,U,Russia,RU,Chelyabinskaya Oblast’,admin,1091000,946604
Rostov-na-Donu,554750.1644303788,5231127.411832887,37,T,Russia,RU,Rostovskaya Oblast’,admin,1052000,1013134
Ufa,438624.9654426092,6071303.079798237,40,U,Russia,RU,Bashkortostan,admin,1018000,920756
Perm’,457692.96388358274,6429967.739940771,40,V,Russia,RU,Permskiy Kray,,997000,851308
Volgograd,463358.7620986115,5396382.168850768,38,U,Russia,RU,Volgogradskaya Oblast’,admin,984000,619655
Krasnoyarsk,491719.8702357733,6208134.640586108,46,V,Russia,RU,Krasnoyarskiy Kray,admin,925000,302210
Voronezh,512744.61020881723,5724578.11438146,37,U,Russia,RU,Voronezhskaya Oblast’,admin,844000,295469
Saratov,569947.4836285714,5710421.667051268,38,U,Russia,RU,Saratovskaya Oblast’,admin,843000,786173
Krasnodar,498112.19280857465,4987932.188445829,37,T,Russia,RU,Krasnodarskiy Kray,admin,649851,552532
Ul’yanovsk,330060.17438759684,6023192.3667617105,39,U,Russia,RU,Ul’yanovskaya Oblast’,admin,640680,502427
