city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Riyadh,673628.0228042542,2727703.0956521407,38,R,Saudi Arabia,SA,Ar Riyāḑ,primary,4465000,4205961
Jeddah,520499.46801816055,2382189.35816775,37,Q,Saudi Arabia,SA,Makkah al Mukarramah,,3012000,2867446
Ad Dammām,410587.0788641033,2924105.7306108526,39,R,Saudi Arabia,SA,Ash Sharqīyah,admin,2054710,768602
Medina,562240.092059009,2706248.06193916,37,R,Saudi Arabia,SA,Al Madīnah al Munawwarah,admin,1010000,1010000
Aţ Ţā’if,646890.410217323,2352719.0019716895,37,Q,Saudi Arabia,SA,Makkah al Mukarramah,,657282,530848
Al Hufūf,355647.6530344527,2806091.139734297,39,R,Saudi Arabia,SA,Ash Sharqīyah,,637389,400000
Al Ḩillah,689231.7980077512,2598923.810277232,38,Q,Saudi Arabia,SA,Ar Riyāḑ,,594605,594605
Tabūk,262072.0350985,3143891.1579842023,37,R,Saudi Arabia,SA,Tabūk,admin,547957,455450
Buraydah,397698.43329708365,2912191.397714484,38,R,Saudi Arabia,SA,Al Qaşīm,admin,398581,391336
Ḩā’il,765774.4348218646,3047125.0738729765,37,R,Saudi Arabia,SA,Ḩā’il,admin,385257,385257
Najrān,407388.5720530568,1934335.0727322965,38,Q,Saudi Arabia,SA,Najrān,admin,369609,258573
Al Qaţīf,402807.669185826,2933730.5838272097,39,R,Saudi Arabia,SA,Ash Sharqīyah,,368892,98259
Al Mubarraz,357261.86774865264,2811106.3521655053,39,R,Saudi Arabia,SA,Ash Sharqīyah,,298562,290802
Al Kharj,737209.2587555348,2673410.6415448543,38,R,Saudi Arabia,SA,Ar Riyāḑ,,298428,298428
Yanbu‘ al Baḩr,404835.0421767846,2664410.684778771,37,R,Saudi Arabia,SA,Al Madīnah al Munawwarah,,267590,200161
Ḩafar al Bāţin,595066.601550377,3145529.8392278035,38,R,Saudi Arabia,SA,Ash Sharqīyah,,249194,249194
Al Jubayl,366884.5351872005,2988386.1477755797,39,R,Saudi Arabia,SA,Ash Sharqīyah,,237274,233200
‘Ar‘ar,694636.932053354,3428647.781648266,37,R,Saudi Arabia,SA,Al Ḩudūd ash Shamālīyah,admin,222016,148540
Abhā,236158.65038878022,2015922.6596982323,38,Q,Saudi Arabia,SA,‘Asīr,admin,210886,204719
Jāzān,239113.12305790832,1868914.6560751714,38,Q,Saudi Arabia,SA,Jāzān,admin,105198,95596
Dhahran,413682.62032836187,2909554.9917830457,39,R,Saudi Arabia,SA,Ash Sharqīyah,,97446,11300
Qal‘at Bīshah,249436.29573906225,2213332.5803196225,38,Q,Saudi Arabia,SA,,,88291,81828
Rafḩā,356671.3788506974,3279174.0105699734,38,R,Saudi Arabia,SA,Al Ḩudūd ash Shamālīyah,,64755,64755
Al Wajh,245531.50913370695,2905376.10088144,37,R,Saudi Arabia,SA,Tabūk,,43237,26636
As Sulayyil,560276.004463641,2262566.540309673,38,Q,Saudi Arabia,SA,Ar Riyāḑ,,24097,17620
Dawmat al Jandal,584034.9534742788,3297843.9341764557,37,R,Saudi Arabia,SA,Al Jawf,,22583,22583
Al Quway‘īyah,526583.7759863794,2660108.9336688034,38,R,Saudi Arabia,SA,Ar Riyāḑ,,8712,8712
Al Qunfudhah,718675.052529715,2116112.4608982885,37,Q,Saudi Arabia,SA,,,157,157
Sakākā,616395.4611387335,3316044.728094247,37,R,Saudi Arabia,SA,Al Jawf,admin,,
Mecca,585562.9360845301,2369591.4623163636,37,Q,Saudi Arabia,SA,Makkah al Mukarramah,admin,,
Al Bāḩah,758171.8186541403,2214810.4357740707,37,Q,Saudi Arabia,SA,Al Bāḩah,admin,,
