city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Belgrade,457942.5999537308,4962938.318674906,34,T,Serbia,RS,,primary,1099000,1099000
Niš,573116.0892604399,4797118.747399016,34,T,Serbia,RS,Niš,admin,250000,210888
Novi Sad,408128.91499409016,5012419.748854379,34,T,Serbia,RS,Novi Sad,admin,225457,215400
Kragujevac,492707.81332445826,4873084.837687481,34,T,Serbia,RS,Kragujevac,admin,171197,147473
Subotica,397066.28125019756,5106128.345930091,34,T,Serbia,RS,Subotica,admin,100000,93408
Zrenjanin,452665.51720983745,5025544.959001471,34,T,Serbia,RS,Zrenjanin,admin,64053,64053
Ćuprija,530060.5806819187,4863987.25891663,34,T,Serbia,RS,Ćuprija,admin,,
Krupanj,369589.1562283336,4914007.468900354,34,T,Serbia,RS,Krupanj,admin,,
Arilje,427305.7012974458,4845056.551914317,34,T,Serbia,RS,Arilje,admin,,
Pančevo,471903.0291312933,4968716.265668571,34,T,Serbia,RS,Pančevo,admin,,
Čoka,433805.02807839453,5087904.071648125,34,T,Serbia,RS,Čoka,admin,,
Bogatić,379917.9590958698,4966032.795671894,34,T,Serbia,RS,Bogatić,admin,,
Sombor,353453.5689858274,5070692.105513587,34,T,Serbia,RS,Sombor,admin,,
Šabac,396118.3175741382,4956443.593389165,34,T,Serbia,RS,Šabac,admin,,
Koceljeva,406252.93481351837,4924609.74090601,34,T,Serbia,RS,Koceljeva,admin,,
Požega,422574.3987151585,4855203.051445007,34,T,Serbia,RS,Požega,admin,,
Kovačica,470391.3014488474,4995342.452351392,34,T,Serbia,RS,Kovačica,admin,,
Lebane,559536.1470298761,4751870.253384529,34,T,Serbia,RS,Lebane,admin,,
Ljig,439248.26525691256,4897323.811188905,34,T,Serbia,RS,Ljig,admin,,
Surčin,442902.92680570576,4960361.129372102,34,T,Serbia,RS,Beograd,minor,,
Babušnica,614923.612497682,4769328.670452874,34,T,Serbia,RS,Babušnica,admin,,
Aleksinac,557180.5494664117,4821212.1575151775,34,T,Serbia,RS,Aleksinac,admin,,
Bojnik,558506.9489210057,4762640.426191369,34,T,Serbia,RS,Bojnik,admin,,
Aranđelovac,464998.9434491403,4906138.845244999,34,T,Serbia,RS,Aranđelovac,admin,,
Bela Crkva,533427.0593846319,4972093.9103207085,34,T,Serbia,RS,Bela Crkva,admin,,
Doljevac,567711.8171435676,4783010.242843665,34,T,Serbia,RS,Doljevac,admin,,
Stara Pazova,433757.9697985158,4981753.127924838,34,T,Serbia,RS,Stara Pazova,admin,,
Užice,407104.9853651136,4856771.265229824,34,T,Serbia,RS,Užice,admin,,
Lazarevac,441360.6157205174,4914312.600191012,34,T,Serbia,RS,Beograd,minor,,
Petrovac na Mlavi,533439.90118296,4913863.89231395,34,T,Serbia,RS,Petrovac na Mlavi,admin,,
Srbobran,405966.94533051143,5044545.760319481,34,T,Serbia,RS,Srbobran,admin,,
Despotovac,535539.5440816882,4882320.479427831,34,T,Serbia,RS,Despotovac,admin,,
Topola,474648.7147759858,4900180.369057369,34,T,Serbia,RS,Topola,admin,,
Nova Crnja,469170.2643451857,5057294.700606872,34,T,Serbia,RS,Nova Crnja,admin,,
Brus,502339.46920453943,4803525.706936569,34,T,Serbia,RS,Brus,admin,,
Gadžin Han,583917.566803014,4786018.3303697,34,T,Serbia,RS,Gadžin Han,admin,,
