city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Ljubljana,462439.74962696014,5100303.880201459,33,T,Slovenia,SI,Ljubljana,primary,314807,255115
Maribor,549570.1208664579,5155887.015991725,33,T,Slovenia,SI,Maribor,admin,114228,89056
Šentjernej,526100.7621620084,5076325.56689929,33,T,Slovenia,SI,Šentjernej,admin,,
Šentjur,530658.6659128449,5118259.588901349,33,T,Slovenia,SI,Šentjur,admin,,
Poljčane,544593.5203644829,5128870.5404320555,33,T,Slovenia,SI,Poljčane,admin,,
Podvelka,525323.719090416,5159317.4241192695,33,T,Slovenia,SI,Podvelka,admin,,
Šentrupert,507402.0835606598,5091582.9189952975,33,T,Slovenia,SI,Šentrupert,admin,,
Medvode,456227.20422458724,5109017.937588007,33,T,Slovenia,SI,Medvode,admin,,
Radovljica,436473.20879288454,5132649.876781359,33,T,Slovenia,SI,Radovljica,admin,,
Sveta Trojica v Slovenskih Goricah,567194.7878751664,5158495.891733412,33,T,Slovenia,SI,Sveta Trojica v Slovenskih Goricah,admin,,
Zgornje Gorje,429512.25280741946,5137048.088850009,33,T,Slovenia,SI,Gorje,admin,,
Zgornje Jezersko,458988.9334754788,5136778.041392018,33,T,Slovenia,SI,Jezersko,admin,,
Sveta Ana v Slovenskih Goricah,564597.034568178,5166524.559543643,33,T,Slovenia,SI,Sveta Ana,admin,,
Miklavž na Dravskem Polju,553493.3717085612,5150487.625654537,33,T,Slovenia,SI,Miklavž na Dravskem Polju,admin,,
Križevci pri Ljutomeru,587257.9511598323,5157826.003415179,33,T,Slovenia,SI,Križevci,admin,,
Gornji Petrovci,593277.954187718,5184251.257760928,33,T,Slovenia,SI,Gornji Petrovci,admin,,
Podčetrtek,546220.5757304025,5111659.434118906,33,T,Slovenia,SI,Podčetrtek,admin,,
Radeče,514221.4825684479,5101625.46128186,33,T,Slovenia,SI,Radeče,admin,,
Ankaran,401394.0477226193,5048006.8401560355,33,T,Slovenia,SI,Ankaran,admin,,
Laško,518253.9775225805,5110956.894853743,33,T,Slovenia,SI,Laško,admin,,
Dobrna,517422.9349449484,5131572.069871864,33,T,Slovenia,SI,Dobrna,admin,,
Kostanjevica na Krki,532784.1352274742,5077036.268637551,33,T,Slovenia,SI,Kostanjevica na Krki,admin,,
