city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Khartoum,450058.4878089555,1723423.848877491,36,P,Sudan,SD,Khartoum,primary,4754000,1974647
Omdurman,439678.8953975613,1728764.5276261498,36,P,Sudan,SD,Khartoum,,2395159,2183698
Port Sudan,311559.3167267735,2169923.892128759,37,Q,Sudan,SD,Red Sea,admin,489725,489725
Kassala,219895.04574036988,1710765.9392107667,37,P,Sudan,SD,Kassala,admin,401477,339521
El Obeid,198850.5176221017,1458921.1646328978,36,P,Sudan,SD,North Kordofan,admin,393311,269424
Nyala,269287.57714257436,1332849.919300199,35,P,Sudan,SD,South Darfur,admin,392373,392373
Kūstī,463877.004644922,1455590.8517167652,36,P,Sudan,SD,White Nile,,345068,203858
Wad Medani,556926.107480326,1591175.330368162,36,P,Sudan,SD,Al Gazira,admin,332714,284367
El Fasher,322192.8703141979,1505902.0171821045,35,P,Sudan,SD,North Darfur,admin,252609,189203
Gedaref,757524.0545278088,1552989.4303296718,36,P,Sudan,SD,Al Gedaref,admin,201282,201282
Shendi,546282.3121041242,1845478.0981576643,36,Q,Sudan,SD,River Nile,,186611,53568
Ed Damazin,647791.523919048,1304958.2718446313,36,P,Sudan,SD,Blue Nile,admin,186051,42009
Kadugli,797054.0362452418,1218554.647143978,35,P,Sudan,SD,South Kordofan,admin,176931,87666
Madent Atbara,604479.353362967,1956438.4808337165,36,Q,Sudan,SD,River Nile,,168612,107930
El Geneina,656855.9834523608,1486558.879713924,34,P,Sudan,SD,West Darfur,admin,162981,159310
Al Manāqil,498824.16291337105,1574921.9302571276,36,P,Sudan,SD,Al Gazira,,151827,128297
Sannār,568526.3605359267,1498048.1914128722,36,P,Sudan,SD,Sennar,,130122,76494
An Nuhūd,655631.9219742133,1404388.266283819,35,P,Sudan,SD,Western Kordofan,,108008,61239
Ed Damer,603138.0256622195,1946083.8131684437,36,Q,Sudan,SD,River Nile,admin,103941,84856
Ad Diwem,425657.94404851715,1547967.0769667597,36,P,Sudan,SD,White Nile,,87068,22583
Tokār,365766.05585079,2037721.8247311502,37,Q,Sudan,SD,Red Sea,,73202,22250
Umm Ruwaba,306418.0833221037,1427425.0802549128,36,P,Sudan,SD,North Kordofan,,55742,16257
Berber,604053.4950558345,1992849.0163104204,36,Q,Sudan,SD,River Nile,,49556,22395
Dongola,234664.48792920553,2122845.0322984164,36,Q,Sudan,SD,Northern,admin,26404,26404
Haya,223683.1176129647,2029266.598520827,37,Q,Sudan,SD,Red Sea,,20000,14818
Babanūsah,587298.045272684,1252956.40017072,35,P,Sudan,SD,Western Kordofan,,19700,19700
Wādī Ḩalfā’,329430.6366954752,2411602.2922448036,36,Q,Sudan,SD,Northern,,17121,17121
Rabak,472222.04386891425,1457937.4977172595,36,P,Sudan,SD,White Nile,admin,,
Ed Daein,405289.13061663916,1267783.880561082,35,P,Sudan,SD,East Darfur,admin,,
El Fula,646712.0027651843,1295052.4205849702,35,P,Sudan,SD,Western Kordofan,admin,,
Zalingei,768085.2251348954,1428384.0553915084,34,P,Sudan,SD,Central Darfur,admin,,
Singa,600920.8432553584,1453722.3120018716,36,P,Sudan,SD,Sennar,admin,,
