city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Stockholm,332192.2317325172,6580886.872905692,34,V,Sweden,SE,Stockholm,primary,1264000,1253309
Glöstorp,674560.9323427161,6404657.818503748,32,V,Sweden,SE,Västra Götaland,,537797,504084
Malmö,373988.3716435714,6163377.116942981,33,U,Sweden,SE,Skåne,admin,269349,261548
Uppsala,647519.8829042168,6637638.407755475,33,V,Sweden,SE,Uppsala,admin,133117,127734
Västerås,587448.4055794432,6609742.014895411,33,V,Sweden,SE,Västmanland,admin,107194,93179
Örebro,512345.587090833,6571622.070581836,33,V,Sweden,SE,Örebro,admin,98573,93291
Linköping,536026.0018019403,6475265.671179288,33,V,Sweden,SE,Östergötland,admin,96732,91491
Helsingborg,356753.7385152359,6214029.995254733,33,V,Sweden,SE,Skåne,minor,91304,91025
Jönköping,451436.9372375293,6404881.184907526,33,V,Sweden,SE,Jönköping,admin,89780,83202
Norrköping,568769.7974642268,6496119.364649183,33,V,Sweden,SE,Östergötland,minor,88639,82903
Umeå,463098.1697643315,7078658.989863254,34,V,Sweden,SE,Västerbotten,admin,78197,74005
Bärstad,417504.9553069321,6578067.747650131,33,V,Sweden,SE,Värmland,,74141,59266
Tunadal,622913.5407979926,6922582.723327471,33,V,Sweden,SE,Västernorrland,,73389,48463
Gävle,618397.2891169465,6727612.077993225,33,V,Sweden,SE,Gävleborg,admin,68635,67836
Borås,375896.40064526774,6399074.345191426,33,V,Sweden,SE,Västra Götaland,minor,65008,63223
Växjö,488828.08986731264,6304414.1878247885,33,V,Sweden,SE,Kronoberg,admin,59600,46535
Halmstad,368595.6923391947,6282862.471245736,33,V,Sweden,SE,Halland,admin,55657,55209
Luleå,553042.3776959698,7273953.159871603,34,W,Sweden,SE,Norrbotten,admin,48638,45551
Östersund,482382.9405763339,7006063.930418647,33,V,Sweden,SE,Jämtland,admin,46178,42940
Trollhättan,341619.5253546598,6461574.437754468,33,V,Sweden,SE,Västra Götaland,minor,44543,44522
Borlänge,522900.77896512265,6705313.327236714,33,V,Sweden,SE,Dalarna,minor,39422,38527
Falun,534683.8672888636,6718401.878679292,33,V,Sweden,SE,Dalarna,admin,36477,36477
Kalmar,583759.8248228453,6281116.522633724,33,V,Sweden,SE,Kalmar,admin,35024,34744
Kristianstad,445995.17755394644,6210128.229046124,33,V,Sweden,SE,Skåne,minor,32188,21339
Skellefteå,497621.6200292377,7182451.432337216,34,W,Sweden,SE,Västerbotten,minor,31311,30839
Örnsköldsvik,385549.8774126898,7021052.776664589,34,V,Sweden,SE,Västernorrland,minor,27749,25063
Nyköping,615725.5870471873,6513941.93297415,33,V,Sweden,SE,Södermanland,admin,27582,27582
Visby,338745.75745806715,6391800.774355248,34,V,Sweden,SE,Gotland,admin,22593,21970
Vänersborg,343040.70868305163,6472663.751251001,33,V,Sweden,SE,Västra Götaland,minor,21835,21835
Kirunavaara,466292.5019188469,7522642.439045904,34,W,Sweden,SE,Norrbotten,,18154,8450
Fröland,647923.8795862411,6946186.517748174,33,V,Sweden,SE,Västernorrland,,17016,17016
Mariestad,431426.5986530979,6507252.725302195,33,V,Sweden,SE,Västra Götaland,minor,14891,14891
Bollnäs,573098.8871817739,6802538.07695945,33,V,Sweden,SE,Gävleborg,minor,13398,12145
Älvsbyn,500000.0,7282756.61720533,34,W,Sweden,SE,Norrbotten,minor,,
Forshaga,413277.642757922,6600441.689761982,33,V,Sweden,SE,Värmland,minor,,
Lomma,379494.26793369226,6172501.318592953,33,U,Sweden,SE,Skåne,minor,,
Henån,657550.9559817585,6457825.8502343865,32,V,Sweden,SE,Västra Götaland,minor,,
Kopparberg,499066.61515993683,6636562.467084016,33,V,Sweden,SE,Örebro,minor,,
Tibro,451316.6097272167,6475402.117258413,33,V,Sweden,SE,Västra Götaland,minor,,
Tidaholm,438254.39897402946,6449602.267332187,33,V,Sweden,SE,Västra Götaland,minor,,
Broby,443200.01015927596,6234282.283711859,33,V,Sweden,SE,Skåne,minor,,
Södertälje,649436.1408571467,6565254.3138923375,33,V,Sweden,SE,Stockholm,minor,,
Tierp,638016.71988631,6691151.656751444,33,V,Sweden,SE,Uppsala,minor,,
Hammarstrand,568143.2136137148,6997446.978472543,33,V,Sweden,SE,Jämtland,minor,,
Motala,502910.00674696214,6489947.103593806,33,V,Sweden,SE,Östergötland,minor,,
Hagfors,424779.3762717821,6655891.179356385,33,V,Sweden,SE,Värmland,minor,,
Filipstad,453122.55584521417,6620152.114675268,33,V,Sweden,SE,Värmland,minor,,
Hallsberg,506689.8251085833,6547481.307280132,33,V,Sweden,SE,Örebro,minor,,
Arjeplog,630653.4571566912,7328329.992534119,33,W,Sweden,SE,Norrbotten,minor,,
Arvika,362931.48220973567,6616802.339490302,33,V,Sweden,SE,Värmland,minor,,
Tanumshede,634108.6841671199,6512677.061436353,32,V,Sweden,SE,Västra Götaland,minor,,
Kalix,597378.0618903716,7304845.244521451,34,W,Sweden,SE,Norrbotten,minor,,
Hedemora,554377.009018722,6683371.291024475,33,V,Sweden,SE,Dalarna,minor,,
Nossebro,365740.2790337601,6451395.210248645,33,V,Sweden,SE,Västra Götaland,minor,,
Hallstahammar,568643.8843796361,6609350.280449386,33,V,Sweden,SE,Västmanland,minor,,
Skurup,405167.9351529032,6147746.374740842,33,U,Sweden,SE,Skåne,minor,,
Vetlanda,504002.6901817561,6365626.167864329,33,V,Sweden,SE,Jönköping,minor,,
Ronneby,518613.57229005423,6228379.903437674,33,V,Sweden,SE,Blekinge,minor,,
Kungsör,561484.611065752,6586950.05463974,33,V,Sweden,SE,Västmanland,minor,,
Hova,452900.07319968205,6525492.79669929,33,V,Sweden,SE,Västra Götaland,minor,,
Eksjö,497017.12609594024,6391601.244683008,33,V,Sweden,SE,Jönköping,minor,,
Eslöv,395612.15816517523,6188786.619087633,33,U,Sweden,SE,Skåne,minor,,
Höganäs,348006.5307389036,6231040.497222739,33,V,Sweden,SE,Skåne,minor,,
Sölvesborg,471970.8367639292,6211735.781958855,33,V,Sweden,SE,Blekinge,minor,,
Norsjö,428261.682216407,7200027.348294414,34,W,Sweden,SE,Västerbotten,minor,,
Vaxholm,348600.822621146,6587627.043482963,34,V,Sweden,SE,Stockholm,minor,,
Perstorp,399524.46530931373,6222096.494266999,33,V,Sweden,SE,Skåne,minor,,
Leksand,500908.99566232663,6733085.478060762,33,V,Sweden,SE,Dalarna,minor,,
Ludvika,510179.5541919553,6668130.665855468,33,V,Sweden,SE,Dalarna,minor,,
Vilhelmina,578914.8435020244,7166760.6822353965,33,W,Sweden,SE,Västerbotten,minor,,
Alvesta,472590.28902045416,6306344.648591716,33,V,Sweden,SE,Kronoberg,minor,,
Valdemarsvik,594041.404575783,6452093.209198829,33,V,Sweden,SE,Östergötland,minor,,
Skillingaryd,444964.24602196825,6365995.249325676,33,V,Sweden,SE,Jönköping,minor,,
Alafors,327310.3510804581,6425014.032434805,33,V,Sweden,SE,Västra Götaland,minor,,
Tranås,499016.2004512101,6434276.957907643,33,V,Sweden,SE,Jönköping,minor,,
Nykvarn,639036.8735413869,6563002.700211825,33,V,Sweden,SE,Stockholm,minor,,
Upplands Väsby,664074.8733183789,6601164.991245492,33,V,Sweden,SE,Stockholm,minor,,
Bjurholm,412574.21495557704,7090807.620528641,34,V,Sweden,SE,Västerbotten,minor,,
Degerfors,467664.45806450624,6566171.650356194,33,V,Sweden,SE,Örebro,minor,,
Sundsvall,618933.2411708239,6919000.5982113145,33,V,Sweden,SE,Västernorrland,minor,,
Ystad,425092.2580389215,6141796.195668248,33,U,Sweden,SE,Skåne,minor,,
Jakobsberg,660778.9542659884,6589873.015863518,33,V,Sweden,SE,Stockholm,minor,,
Knivsta,657480.2014611565,6623181.605623024,33,V,Sweden,SE,Uppsala,minor,,
Vallentuna,335063.9869650643,6603061.010346499,34,V,Sweden,SE,Stockholm,minor,,
Strängnäs,615506.9409198553,6584501.769120462,33,V,Sweden,SE,Södermanland,minor,,
Östhammar,354328.51818221307,6684017.481740858,34,V,Sweden,SE,Uppsala,minor,,
Hofors,570386.8323972442,6713352.459958818,33,V,Sweden,SE,Gävleborg,minor,,
Mölndal,321974.61175155104,6393661.509125654,33,V,Sweden,SE,Västra Götaland,minor,,
Simrishamn,457939.95675184723,6156199.434551195,33,U,Sweden,SE,Skåne,minor,,
Bräcke,521285.4189434752,6957804.251586979,33,V,Sweden,SE,Jämtland,minor,,
Vansbro,456991.2608611133,6709209.412344318,33,V,Sweden,SE,Dalarna,minor,,
Lerum,337411.8093319283,6406014.426776235,33,V,Sweden,SE,Västra Götaland,minor,,
Götene,411692.5565123685,6489087.272256225,33,V,Sweden,SE,Västra Götaland,minor,,
Sollefteå,614139.7869354542,7006173.981920442,33,V,Sweden,SE,Västernorrland,minor,,
Boden,531977.2727805699,7301511.293003033,34,W,Sweden,SE,Norrbotten,minor,,
