city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Dushanbe,480299.9568637452,4267975.384862543,42,S,Tajikistan,TJ,Dushanbe,primary,1086244,679400
Khŭjand,552887.5922611989,4459305.041480995,42,T,Tajikistan,TJ,Sughd,admin,437684,144865
Qŭrghonteppa,480804.61082597356,4187418.9834458027,42,S,Tajikistan,TJ,Khatlon,admin,311574,65000
Konibodom,621645.1321108391,4461387.831903399,42,T,Tajikistan,TJ,Sughd,minor,259876,50359
Kŭlob,568961.2157941032,4196628.2501503695,42,S,Tajikistan,TJ,Khatlon,minor,115164,78786
Khorugh,725714.2372296876,4152265.297456244,42,S,Tajikistan,TJ,Kŭhistoni Badakhshon,admin,30000,12035
Ishqoshim,733380.5845376905,4067532.131851638,42,S,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Ismoili Somoní,482495.8270094183,4179900.96697565,42,S,Tajikistan,TJ,Khatlon,minor,,
Vahdat,501180.17494785896,4267542.78798462,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Shahrinav,442068.04973415215,4269364.50077459,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Shahriston,483667.53072538046,4402743.140082239,42,S,Tajikistan,TJ,Sughd,minor,,
Proletar,542714.5916673609,4446427.449476749,42,T,Tajikistan,TJ,Sughd,minor,,
Istaravshan,500279.90257168305,4418234.777857729,42,S,Tajikistan,TJ,Sughd,minor,,
Roghun,564085.9651067375,4283001.409479776,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Ghonchí,511074.15292342,4423590.050705518,42,S,Tajikistan,TJ,Sughd,minor,,
Khovaling,585231.0885573394,4244205.451250823,42,S,Tajikistan,TJ,Khatlon,minor,,
Panj,508791.0505551098,4121095.570502857,42,S,Tajikistan,TJ,Khatlon,minor,,
Tajikobod,659063.6506885752,4332154.8239053525,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Mehron,524685.3807984772,4363082.529757869,42,S,Tajikistan,TJ,Sughd,minor,,
Dŭstí,470239.335757381,4133544.7538851993,42,S,Tajikistan,TJ,Khatlon,minor,,
Shŭrobod,592267.9203090444,4188733.1814438314,42,S,Tajikistan,TJ,Khatlon,minor,,
Qubodiyon,428002.1657500624,4140637.2843318954,42,S,Tajikistan,TJ,Khatlon,minor,,
Fayzobod,527867.4868731027,4266591.947825831,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Zafarobod,486955.59674677823,4447306.598381656,42,T,Tajikistan,TJ,Sughd,minor,,
Baljuvon,559164.6910958714,4240248.137990783,42,S,Tajikistan,TJ,Khatlon,minor,,
Jirghatol,689191.5996216511,4343441.6066431515,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Obikiik,470743.90444653836,4223657.000462049,42,S,Tajikistan,TJ,Khatlon,minor,,
Farkhor,535674.226076229,4149551.126701697,42,S,Tajikistan,TJ,Khatlon,minor,,
Moskva,555433.2339109792,4168390.668043332,42,S,Tajikistan,TJ,Khatlon,minor,,
Vakhsh,485419.0073973075,4174190.9026394715,42,S,Tajikistan,TJ,Khatlon,minor,,
Sovet,551611.2449474891,4211160.004170585,42,S,Tajikistan,TJ,Khatlon,minor,,
Sarband,493168.7106571487,4191545.4765320993,42,S,Tajikistan,TJ,Khatlon,minor,,
Ayní,460187.928973762,4360609.71627323,42,S,Tajikistan,TJ,Sughd,minor,,
Isfara,638478.3235693277,4443061.937360464,42,T,Tajikistan,TJ,Sughd,minor,,
Darband,583840.4027969299,4302545.777962276,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Nov,531577.9641700682,4444715.924355317,42,T,Tajikistan,TJ,Sughd,minor,,
Shaydon,614120.1095452379,4502991.941080335,42,T,Tajikistan,TJ,Sughd,minor,,
Tursunzoda,433011.2614261645,4262983.124238469,42,S,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Panjakent,380419.6870239779,4372659.898703437,42,S,Tajikistan,TJ,Sughd,minor,,
