city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Dar es Salaam,531307.6805798032,9248351.182185141,37,M,Tanzania,TZ,,primary,2930000,2698652
Moshi,314830.3736976648,9629562.70090841,37,M,Tanzania,TZ,Kilimanjaro,admin,721018,206728
Mwanza,488883.1588692364,9721830.458781138,36,M,Tanzania,TZ,Mwanza,admin,493944,436801
Zanzibar,520283.1460891878,9318368.157726366,37,M,Tanzania,TZ,Zanzibar Urban/West,admin,403658,373220
Arusha,242584.7582998333,9627572.103315197,37,M,Tanzania,TZ,Arusha,admin,341136,320074
Mbeya,549475.2903264189,9016173.455172963,36,L,Tanzania,TZ,Mbeya,admin,291649,232062
Morogoro,352662.26118407917,9246314.374597881,37,M,Tanzania,TZ,Morogoro,admin,250902,234535
Tanga,511084.31181707286,9439965.572676014,37,M,Tanzania,TZ,Tanga,admin,224876,209435
Dodoma,804352.6558420586,9315742.17042465,36,M,Tanzania,TZ,,primary,218269,180541
Kigoma,791332.4039557459,9460370.069135917,35,M,Tanzania,TZ,Kigoma,admin,164268,164268
Tabora,477829.64744683134,9445489.974177469,36,M,Tanzania,TZ,Tabora,admin,146495,145292
Musoma,588992.5767242401,9834188.286370117,36,M,Tanzania,TZ,Mara,admin,133156,121119
Tukuyu,571395.8266555102,8977443.231111666,36,L,Tanzania,TZ,Mbeya,,127570,28398
Songea,789897.7043002946,8817790.760283759,36,L,Tanzania,TZ,Ruvuma,admin,126449,115397
Iringa,797811.4597064622,9140548.526710508,36,M,Tanzania,TZ,Iringa,admin,111820,94760
Shinyanga,548121.5254794054,9594705.9385678,36,M,Tanzania,TZ,Shinyanga,admin,107362,80226
Bukoba,367855.9860588085,9852778.68349724,36,M,Tanzania,TZ,Kagera,admin,100504,70628
Mtwara,629589.5323910009,8864865.0941305,37,L,Tanzania,TZ,Mtwara,admin,96602,86746
Kilosa,277133.94358279626,9244208.717943281,37,M,Tanzania,TZ,Morogoro,,91889,13227
Sumbawanga,347531.130515974,9119132.024149604,36,M,Tanzania,TZ,Rukwa,admin,89161,63932
Bagamoyo,488942.10443969374,9288892.392248083,37,M,Tanzania,TZ,Coast,,82426,793
Uvinza,210740.18325846904,9435296.545829445,36,M,Tanzania,TZ,Kigoma,,80350,24650
Mpanda,283296.0307972182,9295985.09786208,36,M,Tanzania,TZ,Katavi,,73338,73338
Singida,694078.0197130692,9467352.068396773,36,M,Tanzania,TZ,Singida,admin,62432,33067
Korogwe,442737.6748472244,9430731.717425056,37,M,Tanzania,TZ,Tanga,,50000,44000
Chake Chake,584957.8473923133,9419648.964575363,37,M,Tanzania,TZ,Pemba South,admin,49959,21686
Ifakara,244721.58129476488,9100231.48353815,37,L,Tanzania,TZ,Morogoro,,49528,6331
Njombe,694029.7168216292,8967809.8692504,36,L,Tanzania,TZ,Njombe,,46724,37311
Lindi,578545.4217868347,8894502.204044374,37,L,Tanzania,TZ,Lindi,admin,41912,13995
Kasulu,178465.74847049336,9493480.847326048,36,M,Tanzania,TZ,Kigoma,,37349,25088
Tunduma,474374.8511415937,8971971.954276219,36,L,Tanzania,TZ,Mbeya,,36556,18530
Masasi,478130.58945605985,8815341.442144793,37,L,Tanzania,TZ,Mtwara,,36032,27067
Kahama,455588.57071317005,9576284.819935955,36,M,Tanzania,TZ,Shinyanga,,36014,34544
Babati,805300.1067148519,9533384.129264785,36,M,Tanzania,TZ,Manyara,admin,34291,3943
Biharamulo,311991.4964489781,9708961.617872441,36,M,Tanzania,TZ,Kagera,,34038,9597
Kibiti,493106.9683529941,9146458.537955306,37,M,Tanzania,TZ,Coast,,30163,943
Sikonge,474160.3698730082,9377322.169824723,36,M,Tanzania,TZ,Tabora,,27113,1986
Nzega,520345.55439947755,9533920.76823752,36,M,Tanzania,TZ,Tabora,,26584,10066
Wete,579439.6179130722,9439922.548347266,37,M,Tanzania,TZ,Pemba North,admin,26450,26450
Kakonko,273784.3947494666,9636920.197602024,36,M,Tanzania,TZ,Kigoma,,24688,7950
Kibaha,490791.2851803438,9252044.373033913,37,M,Tanzania,TZ,Coast,admin,23651,23651
Mpwapwa,221576.74548802088,9297428.790008174,37,M,Tanzania,TZ,Dodoma,,19806,381
Itigi,664265.2408139084,9369746.68378991,36,M,Tanzania,TZ,Singida,,19711,3357
Same,359392.7729327107,9550393.301326266,37,M,Tanzania,TZ,Kilimanjaro,,17455,2081
Ngara,239328.98727405097,9722088.365424683,36,M,Tanzania,TZ,Kagera,,16890,4598
Mikumi,277382.9384720903,9181074.908670185,37,M,Tanzania,TZ,Morogoro,,16780,8162
Karema,216921.16773714166,9245340.642563231,36,M,Tanzania,TZ,Katavi,,16385,12630
Nyahanga,561149.5848394402,9736556.363067796,36,M,Tanzania,TZ,Simiyu,,16092,16092
Mbulu,781356.0852894173,9574035.045101028,36,M,Tanzania,TZ,Manyara,,13430,7412
Kilindoni,573502.3891633179,9125161.723093107,37,M,Tanzania,TZ,Coast,,12409,3580
Ngorongoro,779684.6078742784,9640425.080847409,36,M,Tanzania,TZ,Arusha,,10836,10836
Mbamba Bay,692839.2371644567,8752110.170476489,36,L,Tanzania,TZ,Ruvuma,,8997,8997
Oldeani,783363.069110353,9629351.453541413,36,M,Tanzania,TZ,Arusha,,8000,6601
Mkokotoni,527674.093059716,9351528.145534193,37,M,Tanzania,TZ,Zanzibar North,admin,2572,2572
Geita,407382.89409806626,9683110.824366845,36,M,Tanzania,TZ,Geita,,1536,1536
Kipili,235094.2173293018,9177629.127236392,36,M,Tanzania,TZ,Rukwa,,1533,1533
Tunduru,319765.0533859266,8776150.89604261,37,L,Tanzania,TZ,Ruvuma,,600,600
Manyoni,703018.6186259508,9364105.350688025,36,M,Tanzania,TZ,Singida,,310,310
