city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Bang Rak,664772.6850542706,1518450.1986367125,47,P,Thailand,TH,Krung Thep Maha Nakhon,minor,6704000,5104476
Chiang Mai,498385.87941575353,2077633.3498938314,47,Q,Thailand,TH,Chiang Mai,admin,397211,200952
Samut Prakan,672751.0967525914,1504101.2901137825,47,P,Thailand,TH,Samut Prakan,admin,388920,388920
Nakhon Ratchasima,186192.65841175045,1657249.6684427508,48,P,Thailand,TH,Nakhon Ratchasima,admin,334984,208781
Hat Yai,663115.779207525,774929.4395496763,47,N,Thailand,TH,Songkhla,minor,317954,191696
Ubon Ratchathani,483747.86538109777,1684704.4339825353,48,P,Thailand,TH,Ubon Ratchathani,admin,273893,122533
Nonthaburi,663548.9676616744,1533000.3434287251,47,P,Thailand,TH,Nonthaburi,admin,258550,258550
Khon Kaen,268624.6561284211,1819588.310808579,48,Q,Thailand,TH,Khon Kaen,admin,251056,147579
Udon Thani,264800.18066003546,1926899.7904598603,48,Q,Thailand,TH,Udon Thani,admin,247231,231153
Nakhon Si Thammarat,606415.2696665156,932335.6589655405,47,P,Thailand,TH,Nakhon Si Thammarat,admin,232335,120836
Chon Buri,714810.8488519063,1478050.0444593595,47,P,Thailand,TH,Chon Buri,admin,226618,216063
Lampang,552079.8148362997,2022597.2528552061,47,Q,Thailand,TH,Lampang,admin,204081,156139
Si Racha,709301.4464115028,1457151.1945016985,47,P,Thailand,TH,Chon Buri,minor,178916,9493
Phitsanulok,634100.639953712,1860600.7292724322,47,Q,Thailand,TH,Phitsanulok,admin,164017,103427
Surat Thani,536599.8880139486,1010359.1977307865,47,P,Thailand,TH,Surat Thani,admin,157627,127201
Pathum Thani,665286.4344408222,1549749.6830702324,47,P,Thailand,TH,Pathum Thani,admin,154412,154412
Pattani,749179.2527440354,760506.6787815397,47,N,Thailand,TH,Pattani,admin,150000,43631
Yala,752274.2364359421,723464.2204211648,47,N,Thailand,TH,Yala,admin,148140,93558
