city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Tunis,604463.956663003,4074003.743132934,32,S,Tunisia,TN,Tunis,primary,2412500,728453
Sfax,661142.5914691226,3845683.2037778893,32,S,Tunisia,TN,Sfax,admin,453050,277278
Hammam Sousse,644745.6629567527,3969707.3096669544,32,S,Tunisia,TN,Sousse,,327004,164123
Gabès,601559.0524506896,3749554.922289169,32,S,Tunisia,TN,Gabès,admin,219517,110075
Zarzis,696196.82427431,3709157.318375628,32,S,Tunisia,TN,Médenine,,159161,79316
Kairouan,599211.8296451397,3948799.855378677,32,S,Tunisia,TN,Kairouan,admin,144522,119794
Bizerte,577477.5491400397,4125673.57691426,32,S,Tunisia,TN,Bizerte,admin,139843,115268
Gafsa,480168.08550758363,3809301.885689087,32,S,Tunisia,TN,Gafsa,admin,126803,81232
Nabeul,655708.8741170447,4035937.1229322064,32,S,Tunisia,TN,Nabeul,admin,115149,115149
Ariana,606377.8277986125,4080019.480990654,32,S,Tunisia,TN,Tunis,admin,97687,97687
Kasserine,485111.3752056988,3891639.3198842946,32,S,Tunisia,TN,Kasserine,admin,81987,78158
Mnara,661189.4327597717,3951885.834551985,32,S,Tunisia,TN,Monastir,,71546,41400
Tataouine,635731.5001964092,3644425.547600158,32,S,Tunisia,TN,Tataouine,admin,62577,62577
Béja,516224.1460043213,4064452.5890851943,32,S,Tunisia,TN,Béja,admin,59567,57233
Jendouba,480319.5188577806,4039556.5431199986,32,S,Tunisia,TN,Jendouba,admin,51408,51408
El Kef,473458.60442077037,4003314.7353479094,32,S,Tunisia,TN,Kef,admin,47979,36628
Mahdia,687031.6138442497,3930972.4458360802,32,S,Tunisia,TN,Mahdia,admin,45977,45977
Sidi Bouzid,544230.7092191945,3877390.547894916,32,S,Tunisia,TN,Sidi Bouzid,admin,42098,42098
Tozeur,419906.0582313965,3753588.620034886,32,S,Tunisia,TN,Tozeur,admin,39504,34943
Siliana,533385.1297305672,3993436.122611867,32,S,Tunisia,TN,Siliana,admin,26960,26960
Kebili,497130.4892597691,3729380.2124265386,32,S,Tunisia,TN,Kébili,admin,19875,19875
Ben Gardane,707048.3666280502,3668760.0100271143,32,S,Tunisia,TN,Médenine,,19843,13364
Zaghouan,602484.620562448,4029244.8996146508,32,S,Tunisia,TN,Zaghouan,admin,16911,16911
Dehiba,660698.3700866473,3542586.3952418417,32,S,Tunisia,TN,Tataouine,,3525,3525
Sousse,647869.0501972325,3965818.3178023635,32,S,Tunisia,TN,Sousse,admin,,
Ben Arous,608804.0138794165,4068171.2078796374,32,S,Tunisia,TN,Tunis,admin,,
Medenine,640076.0905756471,3691649.500163462,32,S,Tunisia,TN,Médenine,admin,,
Manouba,597871.5680532055,4074138.245422307,32,S,Tunisia,TN,Tunis,admin,,
Monastir,665693.7583343585,3961467.703984915,32,S,Tunisia,TN,Monastir,admin,,
