city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Kawaala,450378.845817771,37455.68946942721,36,N,Uganda,UG,Kampala,,1420000,1353189
Mbale,630996.1790595971,118823.52435758754,36,N,Uganda,UG,Mbale,admin,402368,91800
Jinja,522718.1045689581,46914.123355845266,36,N,Uganda,UG,Jinja,admin,301619,89700
Arua,267821.5789161785,334041.17239184026,36,N,Uganda,UG,Arua,admin,250000,59400
Old Entebbe,438272.36647240445,3101.1773002453647,36,N,Uganda,UG,Wakiso,,175128,79700
Tororo,631399.1897644172,76612.74330142459,36,N,Uganda,UG,Tororo,admin,150000,43700
Gulu,422084.0226760687,306698.71927559655,36,N,Uganda,UG,Gulu,admin,146858,142003
Lira,489961.9055701985,247036.2192861914,36,N,Uganda,UG,Lira,admin,135445,119323
Mbarara,239356.5791677897,9930242.95705605,36,M,Uganda,UG,Mbarara,admin,83700,83700
Bembe,449928.6293368241,68162.3746655348,36,N,Uganda,UG,Luwero,,75000,21000
Kasese,832675.8577427531,25456.76190393059,35,N,Uganda,UG,Kasese,admin,67269,67269
Masaka,357106.0091913612,9965425.85784891,36,M,Uganda,UG,Masaka,admin,65373,65373
Kitgum,486427.5923164634,363901.15243888914,36,N,Uganda,UG,Kitgum,admin,56891,8680
Busia,619716.6184132555,50238.64220840928,36,N,Uganda,UG,Busia,admin,47100,47100
Iganga,552142.3293690424,67333.54913486364,36,N,Uganda,UG,Iganga,admin,45024,45024
Kabale,166543.68957807263,9853222.714208957,36,M,Uganda,UG,Kabale,admin,44600,44600
Fort Portal,197536.6667558166,73249.30153885293,36,N,Uganda,UG,Kabarole,admin,42670,42670
Mityana,391257.2183684427,46153.060217997074,36,N,Uganda,UG,Mityana,admin,41131,33710
Adjumani,365679.3259551482,373443.0992832078,36,N,Uganda,UG,Adjumani,admin,34700,34700
Masindi,357060.27750768524,185123.74456627076,36,N,Uganda,UG,Masindi,admin,31486,31486
Pallisa,578929.726292839,126566.83706183353,36,N,Uganda,UG,Pallisa,admin,30745,30745
Nebbi,287504.35631962307,274077.07577397936,36,N,Uganda,UG,Nebbi,admin,30354,30354
Moyo,358371.0010316905,404743.7435943018,36,N,Uganda,UG,Moyo,admin,22434,22434
Kayunga,487606.1107008691,77647.54417245224,36,N,Uganda,UG,Kayunga,admin,21704,21704
Mubende,317493.55851666984,65147.5425529154,36,N,Uganda,UG,Mubende,admin,18936,176
Pakwach,332657.9574324469,272102.99677842355,36,N,Uganda,UG,Nebbi,,17541,17541
Ntungamo,195489.44362818374,9902683.287315615,36,M,Uganda,UG,Ntungamo,admin,16400,16400
Kiboga,363602.32640449936,101281.20923864808,36,N,Uganda,UG,Kiboga,admin,14512,14512
Sironko,639824.6027439975,136528.25639786042,36,N,Uganda,UG,Sironko,admin,14100,14100
Kumi,604136.7463437865,161487.97911176647,36,N,Uganda,UG,Kumi,admin,13000,13000
Kisoro,799170.6554204506,9857961.77152134,35,M,Uganda,UG,Kisoro,admin,12900,12900
Kamuli,513320.2625612749,104696.817172077,36,N,Uganda,UG,Kamuli,admin,12764,12764
Mpami,425815.4959361766,23949.84677238109,36,N,Uganda,UG,Mpigi,,11082,11082
Katakwi,607450.9201766688,209055.24532447278,36,N,Uganda,UG,Katakwi,admin,8400,8400
Masindi Port,398343.62000226916,187489.916546917,36,N,Uganda,UG,Kiryandongo,,8319,7828
Nakasongola,439524.4712623898,144678.36762243364,36,N,Uganda,UG,Nakasongola,admin,6921,6921
Kibale,284476.53659781517,87461.15249282906,36,N,Uganda,UG,Kibaale,,5200,5200
Kalangala,413760.5011568691,9965855.336754208,36,M,Uganda,UG,Kalangala,admin,5200,5200
Kaberamaido,517734.0325069345,192200.82256887958,36,N,Uganda,UG,Kaberamaido,admin,3400,3400
Katwe,815067.1463554889,9984322.286811916,35,M,Uganda,UG,Kasese,,1957,1957
Kaabong,627647.363219023,385126.2357906491,36,N,Uganda,UG,Kaabong,admin,1137,1137
Soroti,568560.5129808702,186315.9699335306,36,N,Uganda,UG,Soroti,admin,1038,1038
Moroto,684536.1245352855,279674.60025158874,36,N,Uganda,UG,Moroto,admin,371,371
Kyenjojo,235259.63242501457,70001.72577107135,36,N,Uganda,UG,Kyenjojo,admin,,
Bulisa,323351.72015367146,234172.8773407345,36,N,Uganda,UG,Buliisa,admin,,
Lyantonde,294914.3903053521,9955426.987897677,36,M,Uganda,UG,Lyantonde,admin,,
Dokolo,519740.5702497412,209824.61774269782,36,N,Uganda,UG,Dokolo,admin,,
Butaleja,606405.3633261675,101321.04824885358,36,N,Uganda,UG,Butaleja,admin,,
Kole,477802.48972176795,265291.978066384,36,N,Uganda,UG,Kole,admin,,
Kyankwanzi,366558.8923485563,132733.49410760502,36,N,Uganda,UG,Kyankwanzi,admin,,
Wakiso,439850.24139628414,44705.224346141506,36,N,Uganda,UG,Wakiso,admin,,
Kampala,451657.5219134473,34879.432182488665,36,N,Uganda,UG,Kampala,primary,,
Bukomansimbi,344663.85007229034,9982555.578689886,36,M,Uganda,UG,Bukomansimbi,admin,,
Mpigi,423620.8352058759,24871.058323821708,36,N,Uganda,UG,Mpigi,admin,,
Amolatar,482172.0901093467,178568.65732015768,36,N,Uganda,UG,Amolatar,admin,,
Zombo,267505.1103555499,278010.69551635324,36,N,Uganda,UG,Zombo,admin,,
Amuru,382036.78462337016,311074.32484325086,36,N,Uganda,UG,Amuru,admin,,
Bundibugyo,173112.69237911765,78411.35356322191,36,N,Uganda,UG,Bundibugyo,admin,,
Mayuge,553480.1307870882,50603.78458528842,36,N,Uganda,UG,Mayuge,admin,,
Binyin,670590.2455627378,156641.0332302087,36,N,Uganda,UG,Kween,admin,,
Isingiro,258523.83357965772,9903920.095767956,36,M,Uganda,UG,Isingiro,admin,,
Apac,448688.7108412951,218366.28671841792,36,N,Uganda,UG,Apac,admin,,
Buikwe,501174.59827420616,37303.895531994705,36,N,Uganda,UG,Buikwe,admin,,
Nwoya,388954.5795370075,291207.5633351246,36,N,Uganda,UG,Nwoya,admin,,
Buyende,517244.179619469,127294.44755635607,36,N,Uganda,UG,Buyende,admin,,
Serere,550644.4681496092,165155.97004060724,36,N,Uganda,UG,Serere,admin,,
Ngora,586461.2087553365,158226.47218178422,36,N,Uganda,UG,Ngora,admin,,
Nakaseke,431570.4249254179,83086.65405923084,36,N,Uganda,UG,Nakaseke,admin,,
Kibale,284848.1802979867,88474.79107707173,36,N,Uganda,UG,Kibaale,admin,,
Kibingo,214604.78337216494,9930736.256205061,36,M,Uganda,UG,Sheema,admin,,
Kitamilo,522931.5342049462,24554.963530606037,36,N,Uganda,UG,Buvuma,admin,,
Namayingo,598471.1891944358,26511.937318794153,36,N,Uganda,UG,Namayingo,admin,,
Kaliro,556164.6371975795,98914.29884610606,36,N,Uganda,UG,Kaliro,admin,,
Mitoma,173844.34218929143,9924279.30836579,36,M,Uganda,UG,Mitooma,admin,,
Mukono,472768.99949091865,39054.276381994874,36,N,Uganda,UG,Mukono,admin,,
Nakapiripirit,698362.208752715,211953.35865244357,36,N,Uganda,UG,Nakapiripirit,admin,,
Bududa,648111.1561517516,111796.03401636527,36,N,Uganda,UG,Bududa,admin,,
Namutumba,576302.0114801286,92443.56112352455,36,N,Uganda,UG,Namutumba,admin,,
Gombe,398519.78630512784,22477.273030873945,36,N,Uganda,UG,Butambala,admin,,
Kamwenge,212907.5968889384,23357.930590439635,36,N,Uganda,UG,Kamwenge,admin,,
Alebtong,528322.6702505484,248112.96638910813,36,N,Uganda,UG,Alebtong,admin,,
Bulambuli,653913.674110688,128989.77265565026,36,N,Uganda,UG,Bulambuli,admin,,
Kyegegwa,282021.21262260387,55543.30186642563,36,N,Uganda,UG,Kyegegwa,admin,,
Koboko,273344.060086304,377554.2802574743,36,N,Uganda,UG,Koboko,admin,,
Lamwo,477965.04804944154,390147.30495992204,36,N,Uganda,UG,Lamwo,admin,,
Agago,537077.5575120185,313230.7081053039,36,N,Uganda,UG,Agago,admin,,
Bukwa,695147.7766907767,139241.66266304356,36,N,Uganda,UG,Bukwa,admin,,
Manafwa,652917.8992509898,108176.34461080791,36,N,Uganda,UG,Manafwa,admin,,
Oyam,431610.73108450946,247050.44734506452,36,N,Uganda,UG,Oyam,admin,,
Otuke,555657.8358182168,276378.9337552688,36,N,Uganda,UG,Otuke,admin,,
Maracha,272798.3596181077,361715.0733078163,36,N,Uganda,UG,Maracha,admin,,
Kotido,625919.5648774442,329508.72072211874,36,N,Uganda,UG,Kotido,admin,,
Amudat,716903.4242415945,215660.05850341744,36,N,Uganda,UG,Amudat,admin,,
Rubirizi,180912.96114563232,9966922.118786493,36,M,Uganda,UG,Rubirizi,admin,,
Luwero,441369.89075506455,93862.53240237832,36,N,Uganda,UG,Luwero,admin,,
Kalungu,361668.64560691046,9981573.922753124,36,M,Uganda,UG,Kalungu,admin,,
Sembabule,328244.9214706518,9991461.530448766,36,M,Uganda,UG,Sembabule,admin,,
Ibanda,225282.6019407364,9982974.7420348,36,M,Uganda,UG,Ibanda,admin,,
Buhweju,199483.59452850028,9961241.439859685,36,M,Uganda,UG,Buhweju,admin,,
Rukungiri,827474.507918607,9906908.395812081,35,M,Uganda,UG,Rukungiri,admin,,
Kapchorwa,661421.785945587,154406.33115113527,36,N,Uganda,UG,Kapchorwa,admin,,
Kiruhura,263209.7187425338,9973945.902785236,36,M,Uganda,UG,Kiruhura,admin,,
Bugiri,582527.2114297596,63161.00043382596,36,N,Uganda,UG,Bugiri,admin,,
Hoima,315717.0264097047,158739.15237624117,36,N,Uganda,UG,Hoima,admin,,
Ntoroko,219665.81600087287,115186.19415795362,36,N,Uganda,UG,Ntoroko,admin,,
Bukedea,616876.4943774834,145586.76688333089,36,N,Uganda,UG,Bukedea,admin,,
Pader,524075.7463091704,337122.25851054705,36,N,Uganda,UG,Pader,admin,,
Yumbe,305246.9616347082,383177.71697866573,36,N,Uganda,UG,Yumbe,admin,,
Kanungu,810506.6253374377,9894040.984956771,35,M,Uganda,UG,Kanungu,admin,,
Amuria,572409.918376686,221474.50771004308,36,N,Uganda,UG,Amuria,admin,,
Lwengo,322838.1834791637,9953989.346100124,36,M,Uganda,UG,Lwengo,admin,,
Kiryandongo,395702.3552441236,207419.9758163461,36,N,Uganda,UG,Kiryandongo,admin,,
Bushenyi,189590.1197214991,9935231.964736134,36,M,Uganda,UG,Bushenyi,admin,,
Abim,575152.9109675727,298638.5008331577,36,N,Uganda,UG,Abim,admin,,
Kanoni,375488.292236406,19592.117265071673,36,N,Uganda,UG,Gomba,admin,,
Napak,639011.9105380556,248907.21961088153,36,N,Uganda,UG,Napak,admin,,
Kibuku,588730.0514630476,115331.0172460884,36,N,Uganda,UG,Kibuku,admin,,
Rakai,331288.2196363493,9920390.2704376,36,M,Uganda,UG,Rakai,admin,,
Luuka Town,533402.6385686281,77455.70200403432,36,N,Uganda,UG,Luuka,admin,,
