city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
London,701690.3947273596,5711020.117268332,30,U,United Kingdom,GB,,primary,8567000,7421209
Birmingham,573594.4478700873,5813496.069758023,30,U,United Kingdom,GB,Birmingham,admin,2285000,984333
Manchester,551959.9722018845,5928179.28537266,30,U,United Kingdom,GB,Manchester,admin,2230000,395515
Leeds,593303.55103098,5962200.839433803,30,U,United Kingdom,GB,Leeds,admin,1529000,455123
Sheffield,599807.3872380635,5914108.983508211,30,U,United Kingdom,GB,Sheffield,admin,1292900,552700
Glasgow,421707.35304384364,6188236.939783993,30,U,United Kingdom,GB,Glasgow City,admin,1160000,610268
Newcastle upon Tyne,588335.457178496,6094334.017476308,30,U,United Kingdom,GB,Newcastle upon Tyne,admin,882000,192382
Nottingham,623124.6418639862,5870135.253744933,30,U,United Kingdom,GB,Nottingham,admin,825600,305700
Liverpool,500000.0,5918622.928121311,30,U,United Kingdom,GB,Liverpool,admin,811000,468945
Southend-on-Sea,340476.8398822171,5711643.792793171,31,U,United Kingdom,GB,Southend-on-Sea,admin,618386,173600
Bristol,528953.5778529,5699950.859555924,30,U,United Kingdom,GB,"Bristol, City of",admin,553528,430713
Edinburgh,487510.34728445497,6200532.807171425,30,U,United Kingdom,GB,"Edinburgh, City of",admin,504966,435791
Brighton,700682.2841156983,5635162.300022459,30,U,United Kingdom,GB,Brighton and Hove,,503008,139001
Bradford,582359.8486369627,5960140.498475406,30,U,United Kingdom,GB,Bradford,admin,501700,293717
Leicester,626325.5352783531,5833118.847918982,30,U,United Kingdom,GB,Leicester,admin,457983,339239
Sunderland,603637.5176290947,6086189.255119918,30,U,United Kingdom,GB,Sunderland,admin,452934,177965
Belfast,310524.1209735271,6054236.304883511,30,U,United Kingdom,GB,Belfast,,450406,274770
Portsmouth,635160.1714627357,5625629.278975291,30,U,United Kingdom,GB,Portsmouth,admin,442252,205100
Bournemouth,578831.3437944452,5618912.591234952,30,U,United Kingdom,GB,Bournemouth,admin,426945,163600
Middlesbrough,618763.1504640187,6048804.054292002,30,U,United Kingdom,GB,Redcar and Cleveland,admin,416042,142707
Coventry,598613.7650089068,5808371.700382597,30,U,United Kingdom,GB,Coventry,admin,388271,308313
Southampton,612509.5429314058,5639923.863725374,30,U,United Kingdom,GB,Southampton,admin,384417,384417
Reading,639021.6661282792,5699912.444801509,30,U,United Kingdom,GB,Reading,admin,369804,145700
Sutton on Hull,676783.8668553438,5962756.495064676,30,U,United Kingdom,GB,"Kingston upon Hull, City of",,302296,292501
Blackpool,496708.1391393816,5963125.417289615,30,U,United Kingdom,GB,Blackpool,admin,272792,143101
Plymouth,419072.9599590081,5583324.140621797,30,U,United Kingdom,GB,Plymouth,admin,247297,231575
Luton,677793.5826676573,5751216.684900352,30,U,United Kingdom,GB,Luton,admin,235958,193669
Oxford,620802.1669003706,5734682.084026269,30,U,United Kingdom,GB,Oxfordshire,admin,192796,154566
Norwich,384952.63875170617,5832839.767157287,31,U,United Kingdom,GB,Norfolk,admin,190756,177636
Old Aberdeen,554427.5256674215,6336297.958483105,30,V,United Kingdom,GB,Aberdeen City,,189364,183790
York,625729.7878063099,5981513.9122172855,30,U,United Kingdom,GB,York,admin,158947,144202
Dundee,502051.9866824812,6261730.997296367,30,V,United Kingdom,GB,Dundee City,admin,151592,150435
Ipswich,374379.75611470797,5771892.576439293,31,U,United Kingdom,GB,Suffolk,admin,143767,134257
Peterborough,686306.6052743993,5829473.652979805,30,U,United Kingdom,GB,Peterborough,admin,140141,140141
Cambridge,302961.59471693204,5787202.0829179445,31,U,United Kingdom,GB,Cambridgeshire,admin,128488,128488
Exminster,465854.460813203,5614722.706823401,30,U,United Kingdom,GB,Devon,,113118,103366
Bath,544154.387650376,5692212.873742815,30,U,United Kingdom,GB,Bath and North East Somerset,admin,93238,92120
Chester,505566.63079940714,5894522.496849113,30,U,United Kingdom,GB,Cheshire West and Chester,admin,89531,77040
Greenock,390674.8399462094,6200042.999096229,30,U,United Kingdom,GB,Inverclyde,admin,74635,43495
Carlisle,504276.95493644295,6081810.995045106,30,U,United Kingdom,GB,Cumbria,admin,72633,65907
Scarborough,668313.0552898729,6018563.645911339,30,U,United Kingdom,GB,North Yorkshire,,70571,70571
Ayr,397749.64472515485,6146057.097189267,30,U,United Kingdom,GB,South Ayrshire,admin,69042,45513
Inverness,426020.3521740871,6370006.386081432,30,V,United Kingdom,GB,Highland,admin,45158,40755
Perth,473253.8679556729,6250684.199055734,30,V,United Kingdom,GB,Perth and Kinross,admin,39654,39654
River,378725.55841376464,5666080.681916245,31,U,United Kingdom,GB,Kent,,36384,28156
Dumfries,464875.85189265583,6102348.3095422145,30,U,United Kingdom,GB,Dumfries and Galloway,admin,31044,31044
Omagh,610408.0472567552,6051761.774302703,29,U,United Kingdom,GB,Fermanagh and Omagh,admin,21056,16326
Penzance,317849.460094086,5554371.079789778,30,U,United Kingdom,GB,Cornwall,,20812,15489
Fort William,370797.12158167845,6298976.180251614,30,V,United Kingdom,GB,Highland,,9652,9652
Kirkwall,502875.39119115594,6536341.454391713,30,V,United Kingdom,GB,Orkney Islands,admin,8500,3153
Wick,495133.90117836633,6476959.130386993,30,V,United Kingdom,GB,Highland,,7147,7147
Lerwick,602712.2309507958,6669554.951037621,30,V,United Kingdom,GB,Shetland Islands,admin,6594,4614
Ilford,296962.1775330936,5716131.580104231,31,U,United Kingdom,GB,Redbridge,admin,,
Chelmsford,326217.71521407727,5734376.8478026055,31,U,United Kingdom,GB,Essex,admin,,
Weston-super-Mare,502244.15521119995,5688284.461163413,30,U,United Kingdom,GB,North Somerset,admin,,
Llangefni,411074.0993659857,5902765.003362356,30,U,United Kingdom,GB,Isle of Anglesey,admin,,
Southport,500000.0,5946435.908641332,30,U,United Kingdom,GB,Sefton,admin,,
Armagh,652767.5914957311,6024801.566512848,29,U,United Kingdom,GB,"Armagh, Banbridge and Craigavon",admin,,
Rochester,327197.2193197247,5695381.177724572,31,U,United Kingdom,GB,Medway,admin,,
Rochdale,556227.1216668492,5941209.001006692,30,U,United Kingdom,GB,Rochdale,admin,,
Motherwell,437284.88354386226,6182418.148825291,30,U,United Kingdom,GB,North Lanarkshire,admin,,
Clydach Vale,467043.61034936475,5719623.730042581,30,U,United Kingdom,GB,Rhondda Cynon Taff,admin,,
Kirkintilloch,427082.9110307612,6197419.801137317,30,U,United Kingdom,GB,East Dunbartonshire,admin,,
Stirling,440930.21045318735,6219470.990049069,30,V,United Kingdom,GB,Stirling,admin,,
Lambeth,700121.0939376393,5709371.40461933,30,U,United Kingdom,GB,Lambeth,admin,,
Dungannon,644765.5803007496,6041824.759715792,29,U,United Kingdom,GB,Mid Ulster,admin,,
Huddersfield,580417.6494321775,5945269.363512154,30,U,United Kingdom,GB,Kirklees,admin,,
Stretford,545380.1927755733,5922548.617529892,30,U,United Kingdom,GB,Trafford,admin,,
Preston,518676.030188133,5957598.675719853,30,U,United Kingdom,GB,Lancashire,admin,,
Newbury,617096.5699476901,5695652.419971914,30,U,United Kingdom,GB,West Berkshire,admin,,
Rhuthun,479921.2266172639,5885290.943692134,30,U,United Kingdom,GB,Denbighshire,admin,,
Blackburn,534069.7418141625,5955831.006365209,30,U,United Kingdom,GB,Blackburn with Darwen,admin,,
Wood Green,699682.5413096359,5720489.645967052,30,U,United Kingdom,GB,Haringey,admin,,
Stafford,560677.3974106878,5850402.160948474,30,U,United Kingdom,GB,St. Helens,admin,,
Gloucester,551678.5527675406,5742767.231738218,30,U,United Kingdom,GB,Gloucestershire,admin,,
Glenrothes,488625.04744919995,6228354.531994962,30,V,United Kingdom,GB,Fife,admin,,
South Bank,619606.9553060037,6048145.855441182,30,U,United Kingdom,GB,Redcar and Cleveland,admin,,
Pont-y-pŵl,496928.617138347,5727796.711612206,30,U,United Kingdom,GB,Torfaen,admin,,
Durham,592216.3089475904,6069769.098435664,30,U,United Kingdom,GB,Durham,admin,,
Bedford,674524.1552309033,5778934.883702751,30,U,United Kingdom,GB,Bedford,admin,,
Taunton,492655.0352669938,5652177.733913253,30,U,United Kingdom,GB,Somerset,admin,,
Widnes,517751.0457733847,5911239.435821368,30,U,United Kingdom,GB,Halton,admin,,
Uxbridge,674484.8579013963,5713991.788975952,30,U,United Kingdom,GB,Hillingdon,admin,,
Elgin,480105.120460821,6389793.546892305,30,V,United Kingdom,GB,Moray,admin,,
Hove,698335.5304590453,5635072.2519409675,30,U,United Kingdom,GB,Brighton and Hove,admin,,
Lewes,709919.4585259332,5639238.855473605,30,U,United Kingdom,GB,East Sussex,admin,,
Maidstone,326758.0114847794,5682409.415260359,31,U,United Kingdom,GB,Kent,admin,,
Llandrindod Wells,473821.07129078003,5787059.918870527,30,U,United Kingdom,GB,Powys,admin,,
Kingston upon Hull,675964.6114309153,5955300.549017364,30,U,United Kingdom,GB,"Kingston upon Hull, City of",admin,,
Kingston upon Thames,688899.3240281278,5699663.367780475,30,U,United Kingdom,GB,Kingston upon Thames,admin,,
Barri,481258.99222002784,5695083.818695174,30,U,United Kingdom,GB,"Vale of Glamorgan, The",admin,,
Giffnock,419550.9539680386,6184565.714341599,30,U,United Kingdom,GB,East Renfrewshire,admin,,
Hounslow,684063.269507674,5705052.85151136,30,U,United Kingdom,GB,Hounslow,admin,,
Derry,608063.8871731652,6095984.191173194,29,U,United Kingdom,GB,Derry and Strabane,admin,,
Newtownabbey,312708.30705636437,6061846.62402678,30,U,United Kingdom,GB,Antrim and Newtownabbey,admin,,
Forfar,507153.6697063548,6278432.737919372,30,V,United Kingdom,GB,Angus,admin,,
Torquay,464502.1297486129,5588785.140978153,30,U,United Kingdom,GB,Torbay,admin,,
East Ham,295402.21067039354,5713261.845342445,31,U,United Kingdom,GB,Newham,admin,,
Solihull,582745.573163541,5808079.013057637,30,U,United Kingdom,GB,Solihull,admin,,
Poplar,707060.3243494851,5709649.680345128,30,U,United Kingdom,GB,Tower Hamlets,admin,,
Mold,491086.4705626153,5890819.4200697765,30,U,United Kingdom,GB,Flintshire,admin,,
Warwick,596637.2946717464,5793497.226479138,30,U,United Kingdom,GB,Warwickshire,admin,,
Knowsley,509961.5757478503,5922341.69609168,30,U,United Kingdom,GB,Knowsley,admin,,
Hwlffordd,364110.41489025834,5740816.440776949,30,U,United Kingdom,GB,Pembrokeshire,admin,,
Rotherham,609615.8756097985,5921744.845063504,30,U,United Kingdom,GB,Rotherham,admin,,
Caernarfon,415290.34212245466,5889706.3386137225,30,U,United Kingdom,GB,Gwynedd,admin,,
Morpeth,583873.2095017638,6114129.301977872,30,U,United Kingdom,GB,Northumberland,admin,,
Irvine,394987.9346549361,6162822.501272995,30,U,United Kingdom,GB,North Ayrshire,admin,,
Cwmbran,498155.1772904356,5722451.594684968,30,U,United Kingdom,GB,Monmouthshire,admin,,
Stornoway,654688.6704886805,6455855.329054266,29,V,United Kingdom,GB,Eilean Siar,admin,,
Darlington,592746.1321597048,6043808.111162639,30,U,United Kingdom,GB,Darlington,admin,,
Hackney,704523.0124769708,5715114.895754959,30,U,United Kingdom,GB,Hackney,admin,,
Trowbridge,555149.5474329621,5685584.853815645,30,U,United Kingdom,GB,Wiltshire,admin,,
Merthyr Tudful,473537.6848404367,5733302.613683387,30,U,United Kingdom,GB,Merthyr Tydfil,admin,,
Hertford,702250.359151999,5742864.166213432,30,U,United Kingdom,GB,Hertfordshire,admin,,
Newry,673723.624642677,6006593.9361793315,29,U,United Kingdom,GB,"Newry, Mourne and Down",admin,,
Belfast,311021.0204077007,6053861.27183102,30,U,United Kingdom,GB,Belfast,admin,,
Camberwell,701975.9124627924,5706507.153440006,30,U,United Kingdom,GB,Southwark,admin,,
Caerfyrddin,409672.91122049734,5746187.79399696,30,U,United Kingdom,GB,Carmarthenshire,admin,,
Cookstown,645503.0318701111,6057379.235710876,29,U,United Kingdom,GB,Mid Ulster,admin,,
Dorchester,540004.3479473689,5618471.0816338975,30,U,United Kingdom,GB,Dorset,admin,,
Port Talbot,445746.1716484236,5716841.253673907,30,U,United Kingdom,GB,Neath Port Talbot,admin,,
Antrim,679819.8263678877,6066421.979331151,29,U,United Kingdom,GB,Antrim and Newtownabbey,admin,,
Gateshead,588554.5072242643,6089545.746849346,30,U,United Kingdom,GB,Gateshead,admin,,
Wandsworth,694551.0284578984,5703587.606685938,30,U,United Kingdom,GB,Wandsworth,admin,,
Exeter,462335.5289573807,5616600.271956016,30,U,United Kingdom,GB,Devon,admin,,
Camden Town,698282.0288201943,5714384.045284684,30,U,United Kingdom,GB,Camden,admin,,
Alloa,450256.7688735052,6219352.737582779,30,V,United Kingdom,GB,Clackmannanshire,admin,,
Chicksands,680630.0256079894,5768019.077237261,30,U,United Kingdom,GB,Central Bedfordshire,admin,,
Banbridge,677614.6489726739,6026008.569344129,29,U,United Kingdom,GB,"Armagh, Banbridge and Craigavon",admin,,
Walthamstow,705452.5994661386,5720720.697237708,30,U,United Kingdom,GB,Waltham Forest,admin,,
Paisley,410225.279091555,6188459.445661801,30,U,United Kingdom,GB,Renfrewshire,admin,,
Chichester,656091.3758281616,5633632.691869522,30,U,United Kingdom,GB,West Sussex,admin,,
Craigavon,670864.6753522884,6036751.041230477,29,U,United Kingdom,GB,"Armagh, Banbridge and Craigavon",admin,,
Woolwich,305519.85922414623,5705440.692108548,31,U,United Kingdom,GB,Greenwich,admin,,
Northallerton,601868.0898441158,6021741.078247522,30,U,United Kingdom,GB,North Yorkshire,admin,,
Romford,306016.52407645114,5718412.069580283,31,U,United Kingdom,GB,Havering,admin,,
Walsall,567728.0471389504,5828244.884244003,30,U,United Kingdom,GB,Walsall,admin,,
Scunthorpe,655562.7182109342,5939732.565014747,30,U,United Kingdom,GB,North Lincolnshire,admin,,
Islington,701130.7049836434,5713123.140523313,30,U,United Kingdom,GB,Islington,admin,,
Oldbury,566750.8169627695,5817106.460838549,30,U,United Kingdom,GB,Sandwell,admin,,
Downpatrick,323689.4443300818,6023288.111292989,30,U,United Kingdom,GB,"Newry, Mourne and Down",admin,,
Livingston,466637.23118703737,6193223.545558392,30,U,United Kingdom,GB,West Lothian,admin,,
Ashton-under-Lyne,559698.5433012064,5928270.673196442,30,U,United Kingdom,GB,Tameside,admin,,
Winchester,618072.9519057996,5653026.756203099,30,U,United Kingdom,GB,Hampshire,admin,,
Sandbach,542371.9185197459,5887290.250903742,30,U,United Kingdom,GB,Cheshire East,admin,,
Derby,600817.4075323478,5865907.551988532,30,U,United Kingdom,GB,Derby,admin,,
Twickenham,686513.97787045,5701430.943138087,30,U,United Kingdom,GB,Richmond upon Thames,admin,,
Saint Helens,517709.47746427177,5922364.327971729,30,U,United Kingdom,GB,St. Helens,admin,,
Bury,546323.0864807371,5939246.729340384,30,U,United Kingdom,GB,Bury,admin,,
Maidenhead,659581.4301934376,5709790.639817879,30,U,United Kingdom,GB,Windsor and Maidenhead,admin,,
Wembley,688348.9371716472,5714487.999262955,30,U,United Kingdom,GB,Brent,admin,,
Hartlepool,615228.4632576194,6061329.97687978,30,U,United Kingdom,GB,Hartlepool,admin,,
Hugh Town,692806.9518962983,5532593.779364346,29,U,United Kingdom,GB,Isles of Scilly,admin,,
Oldham,558524.0553532107,5933819.229134035,30,U,United Kingdom,GB,Oldham,admin,,
Bexleyheath,301975.4794626118,5703721.653961913,31,U,United Kingdom,GB,Bexley,admin,,
Ebbw Vale,486203.7101912527,5736959.257044951,30,U,United Kingdom,GB,Blaenau Gwent,admin,,
Magherafelt,653840.8430455552,6070067.980699932,29,U,United Kingdom,GB,Mid Ulster,admin,,
Wigan,525407.4363322073,5931670.451511969,30,U,United Kingdom,GB,Wigan,admin,,
Ballymena,674807.8647459532,6082745.983448543,29,U,United Kingdom,GB,Mid and East Antrim,admin,,
Halifax,575891.4017388293,5952612.621667951,30,U,United Kingdom,GB,Calderdale,admin,,
Stockport,556514.6213340394,5917105.290167706,30,U,United Kingdom,GB,Stockport,admin,,
Stockton-on-Tees,602326.084047513,6049579.095025618,30,U,United Kingdom,GB,Stockton-on-Tees,admin,,
Northampton,644491.2816757817,5790955.255681625,30,U,United Kingdom,GB,Northamptonshire,admin,,
Grays,314846.7834422162,5706947.914872569,31,U,United Kingdom,GB,Thurrock,admin,,
Ystrad Mynach,483161.50470833346,5721058.175931606,30,U,United Kingdom,GB,Caerphilly,admin,,
Aberaeron,414667.35964294133,5789580.570298621,30,U,United Kingdom,GB,Ceredigion,admin,,
Newtown Saint Boswells,519961.7467361996,6159752.766293329,30,U,United Kingdom,GB,"Scottish Borders, The",admin,,
Enfield,702846.7682254193,5728039.686436338,30,U,United Kingdom,GB,Enfield,admin,,
Stoke-on-Trent,554806.3159418127,5872582.477664204,30,U,United Kingdom,GB,Stoke-on-Trent,admin,,
Sutton,694975.9975790611,5692469.401364337,30,U,United Kingdom,GB,Sutton,admin,,
Dudley,562225.4848008887,5817046.927801595,30,U,United Kingdom,GB,Dudley,admin,,
Wrecsam,500000.0,5877832.639423466,30,U,United Kingdom,GB,Wrexham,admin,,
Aberdeen,554476.4938705758,6332587.471937875,30,V,United Kingdom,GB,Aberdeen City,admin,,
Bolton,537514.5178954066,5937313.999417975,30,U,United Kingdom,GB,Bolton,admin,,
Warrington,526605.7260184764,5914989.088270109,30,U,United Kingdom,GB,Warrington,admin,,
Salford,548662.5073388005,5926289.821439793,30,U,United Kingdom,GB,Salford,admin,,
Kensington,694330.3258718256,5709669.674856896,30,U,United Kingdom,GB,Kensington and Chelsea,admin,,
Doncaster,624821.6163676834,5933252.14819755,30,U,United Kingdom,GB,Doncaster,admin,,
Swindon,584419.9581650839,5707984.440869211,30,U,United Kingdom,GB,Swindon,admin,,
Pen-y-Bont ar Ogwr,459938.7058735863,5706235.8182067955,30,U,United Kingdom,GB,Bridgend,admin,,
Catford,707286.9764741915,5704090.724684981,30,U,United Kingdom,GB,Lewisham,admin,,
Coleraine,648613.0167070628,6112283.287985597,29,U,United Kingdom,GB,Causeway Coast and Glens,admin,,
Barnsley,600482.4840718384,5934526.203296076,30,U,United Kingdom,GB,Barnsley,admin,,
Caerdydd,486117.4582267828,5705448.129512669,30,U,United Kingdom,GB,Cardiff,admin,,
