"city, state_name",utm easting,utm northing,zone number,zone letter,population,density
"New York, New York",590834.8285783516,4505378.062789087,18,T,18713220.0,10715
"Los Angeles, California",370253.8472748903,3775678.540785564,11,S,12750807.0,3276
"Chicago, Illinois",443025.8613355924,4631939.662040589,16,T,8604203.0,4574
"Miami, Florida",579186.9640959245,2851989.899583689,17,R,6445545.0,5019
"Dallas, Texas",709178.8701393357,3630614.991875723,14,S,5743938.0,1526
"Philadelphia, Pennsylvania",488571.6183344149,4428620.429293442,18,T,5649300.0,4554
"Houston, Texas",269069.9411050361,3297498.46577308,15,R,5464251.0,1399
"Atlanta, Georgia",738726.6604969037,3738830.6727941986,16,S,5449398.0,1441
"Washington, District of Columbia",325163.3756023989,4308133.597839942,18,S,5379184.0,4457
"Boston, Massachusetts",328219.1758062169,4687277.596780235,19,T,4688346.0,5532
"Phoenix, Arizona",398920.21620210836,3715255.2939692675,12,S,4219697.0,1253
"Seattle, Washington",550764.5298394002,5274409.55401735,10,T,3789215.0,3469
"San Francisco, California",549064.7611973161,4178911.49654736,10,S,3592294.0,7256
"Detroit, Michigan",326929.71245827957,4694487.056008704,17,T,3506126.0,1864
"San Diego, California",488534.8158890694,3632580.6580690686,11,S,3220118.0,1686
"Minneapolis, Minnesota",478879.86693216494,4978930.605130091,15,T,2977172.0,3071
"Tampa, Florida",357898.0261206817,3097401.1378193777,17,R,2908063.0,1353
"Denver, Colorado",510629.8101319997,4401360.552115442,13,S,2876625.0,1831
"Brooklyn, New York",588806.5278861321,4500446.355000191,18,T,2559903,14221
"Queens, New York",601506.2272741189,4511678.397688504,18,T,2230722,7885
"Riverside, California",463514.5419835458,3755362.8429957675,11,S,2107852.0,1574
"Baltimore, Maryland",360804.941154554,4351877.137271525,18,S,2106068.0,2830
"Las Vegas, Nevada",655880.8473925267,4011220.2886507935,11,S,2104198.0,1773
"Portland, Oregon",527326.3647964018,5042688.898819448,10,T,2074775.0,1894
"San Antonio, Texas",546027.2090579807,3259687.8521259017,14,R,2049293.0,1231
"St. Louis, Missouri",739790.2768575298,4279963.09411115,15,S,2024074.0,1879
"Sacramento, California",633441.3010771915,4269806.730359175,10,S,1898019.0,2029
"Orlando, Florida",467022.10908424977,3150112.331003725,17,R,1822394.0,1003
"San Jose, California",602042.4266724687,4128985.3732927423,10,S,1798103.0,2218
"Cleveland, Ohio",443191.4147864839,4591900.890684247,17,T,1710093.0,1893
"Pittsburgh, Pennsylvania",586829.0194230736,4477053.599641402,17,T,1703266.0,2093
"Austin, Texas",619987.9979568142,3352732.1382340966,14,R,1687311.0,1181
"Cincinnati, Ohio",715534.969299986,4335419.003396088,16,S,1662691.0,1507
"Kansas City, Missouri",365659.3758595083,4331675.844662169,15,S,1636715.0,607
"Manhattan, New York",587228.868786691,4515226.923704854,18,T,1628706,27545
"Indianapolis, Indiana",573151.280435632,4403366.869291753,16,S,1588961.0,935
"Columbus, Ohio",330520.91583388706,4428112.5124609405,17,S,1562009.0,1582
"Charlotte, North Carolina",515437.0232260245,3896123.042722607,17,S,1512923.0,1113
"Virginia Beach, Virginia",406828.9677266787,4065816.8023131103,18,S,1478868.0,709
"Bronx, New York",595570.9337481399,4522735.5039769495,18,T,1418207,12862
"Milwaukee, Wisconsin",421238.84777701646,4768398.127603862,16,T,1365787.0,2369
"Providence, Rhode Island",299128.1588141441,4632952.567206313,19,T,1203230.0,3773
"Jacksonville, Florida",435124.608524073,3355789.701997611,17,R,1181496.0,470
"Salt Lake City, Utah",421472.23732299637,4514496.665179621,12,T,1098526.0,699
"Nashville, Tennessee",519398.362965588,4002992.13383356,16,S,1081903.0,544
