city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Tashkent,520924.4402364204,4573941.21152204,42,T,Uzbekistan,UZ,Toshkent,primary,2184000,1978028
Namangan,722880.2671385258,4542139.848770172,42,T,Uzbekistan,UZ,Namangan,admin,750000,449200
Farg‘ona,735900.6134529428,4475124.324629331,42,T,Uzbekistan,UZ,Farg‘ona,admin,750000,214000
Samarqand,324960.14185994933,4391363.580414679,42,S,Uzbekistan,UZ,Samarqand,admin,708000,596300
Andijon,275900.325002984,4517957.429190287,43,T,Uzbekistan,UZ,Andijon,admin,650000,323900
Shahrisabz,312600.05337244575,4325420.685672691,42,S,Uzbekistan,UZ,Qashqadaryo,,498545,57051
Qarshi,742960.4376536409,4304782.121149986,41,S,Uzbekistan,UZ,Qashqadaryo,admin,386361,222898
Qatog‘on,666274.1711878767,4486166.71935726,42,T,Uzbekistan,UZ,Farg‘ona,,350000,192500
Kattaqo‘rg‘on,265421.30438754876,4420139.418987794,42,S,Uzbekistan,UZ,Samarqand,,247113,59382
Jizzax,401338.4550891834,4441256.017196395,42,T,Uzbekistan,UZ,Jizzax,admin,235352,152642
Nukus,714643.5295835412,4703381.956066914,40,T,Uzbekistan,UZ,Qoraqalpog‘iston,admin,230006,226416
Denov,403673.3643095183,4236063.920236869,42,S,Uzbekistan,UZ,Surxondaryo,,217274,68994
Navoiy,702844.6700945301,4439842.444110498,41,T,Uzbekistan,UZ,Navoiy,,214828,129725
Angren,596156.1024994098,4541237.087606474,42,T,Uzbekistan,UZ,Toshkent,,202070,126957
Iskandar,558445.1253087112,4600484.070801217,42,T,Uzbekistan,UZ,Toshkent,,195633,27636
Termiz,347719.55881792563,4122137.8188623986,42,S,Uzbekistan,UZ,Surxondaryo,admin,177687,140385
Chirchiq,548617.2148229728,4590973.895405339,42,T,Uzbekistan,UZ,Toshkent,,167842,142345
Urganch,302616.57422188245,4602519.907934208,41,T,Uzbekistan,UZ,Xorazm,admin,150110,102843
Khiwa,279561.6324841663,4584110.373875026,41,T,Uzbekistan,UZ,Xorazm,,149751,55567
Olmaliq,550438.7655393089,4521692.2096511135,42,T,Uzbekistan,UZ,Toshkent,,121207,118329
Kogon,632986.9027355507,4398139.9962914195,41,S,Uzbekistan,UZ,Buxoro,,107566,62620
Urgut,348723.59384315147,4362885.656915593,42,S,Uzbekistan,UZ,Samarqand,,99675,47373
Guliston,481404.6065536738,4478490.531093338,42,T,Uzbekistan,UZ,Sirdaryo,,95520,53373
Zarafshon Shahri,600659.3654881499,4603757.324338604,41,T,Uzbekistan,UZ,Navoiy,,63543,47042
