city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Lusaka,637707.0462147034,8295177.913926968,35,L,Zambia,ZM,Lusaka,primary,1328000,1267440
Kitwe,635418.5498929892,8585081.611494683,35,L,Zambia,ZM,Copperbelt,,404901,400914
Ndola,677525.5547856994,8566865.90266911,35,L,Zambia,ZM,Copperbelt,admin,396339,394518
Kasama,300728.00564452086,8870488.556222655,36,L,Zambia,ZM,Northern,admin,200000,113000
Kabwe,656484.4876833195,8402760.642804733,35,L,Zambia,ZM,Central,admin,188979,188355
Chingola,596023.4279246987,8614792.32907213,35,L,Zambia,ZM,Copperbelt,,182015,148564
Livingstone,378593.6833948806,8026929.609994397,35,K,Zambia,ZM,Southern,admin,165480,109203
Mufulira,634792.3683898642,8612329.982842622,35,L,Zambia,ZM,Copperbelt,,153624,120500
Luanshya,653548.8541249941,8547318.787136711,35,L,Zambia,ZM,Copperbelt,,151993,113365
Chipata,462143.85951067205,8492797.38237745,36,L,Zambia,ZM,Eastern,admin,85963,78947
Chililabombwe,589456.3639578937,8632974.491522688,35,L,Zambia,ZM,Copperbelt,,82068,57328
Solwezi,433569.06241657026,8654706.500336688,35,L,Zambia,ZM,North-Western,admin,65000,38587
Mazabuka,580088.5994842208,8246849.048600073,35,L,Zambia,ZM,Southern,,64006,51743
Mongu,728492.2204356681,8313088.840108275,34,L,Zambia,ZM,Western,admin,52534,37663
Kafue,626547.6005923991,8256249.865802489,35,L,Zambia,ZM,Lusaka,,47554,3897
Choma,494997.9217125664,8141852.6491739405,35,K,Zambia,ZM,Southern,,46746,37902
Mansa,706836.6282085088,8761268.90102764,35,L,Zambia,ZM,Luapula,admin,42277,20437
Kapiri Mposhi,681567.3019151973,8455481.517908074,35,L,Zambia,ZM,Central,,37942,22214
Mpika,331459.3535346468,8691301.290918991,36,L,Zambia,ZM,Muchinga,,28445,6040
Nchelenge,690429.8095546998,8966530.36209003,35,L,Zambia,ZM,Luapula,,23693,8115
Kawambwa,728054.9878686712,8916936.273234604,35,L,Zambia,ZM,Luapula,,20589,20121
Mbala,320284.5549027795,9022416.210350906,36,L,Zambia,ZM,Northern,,20570,16198
Sesheke,212914.9170981415,8065758.8354517715,35,K,Zambia,ZM,Western,,20149,206
Mumbwa,506653.6632824511,8344071.422091015,35,L,Zambia,ZM,Central,,19086,9731
Kaoma,263196.139091107,8364477.639848742,35,L,Zambia,ZM,Western,,14212,306
Chinsali,399517.1536040581,8834577.881510228,36,L,Zambia,ZM,Muchinga,admin,14015,950
Mwinilunga,213087.1180832968,8688678.339696353,35,L,Zambia,ZM,North-Western,,13798,2875
Lundazi,519377.62987189513,8641048.755923923,36,L,Zambia,ZM,Eastern,,11635,7446
Senanga,742426.897972547,8216827.852008394,34,K,Zambia,ZM,Western,,10005,10005
Masambo,684578.6023592383,8340958.183722862,34,L,Zambia,ZM,Western,,7731,7731
Zambezi,727772.0563975312,8501809.03580249,34,L,Zambia,ZM,North-Western,,7074,2901
Kasempa,373764.18162285065,8511876.260359308,35,L,Zambia,ZM,North-Western,,5622,5622
Likulunga,742662.0862270903,8412383.530989869,34,L,Zambia,ZM,Western,,3349,3349
Nyimba,264558.006947341,8389590.59976399,36,L,Zambia,ZM,Eastern,,1336,292
