city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Kabul,516827.2245071948,3819460.6608479656,42,S,Afghanistan,AF,Kābul,primary,3277000,3043532
Kandahār,757097.8650288926,3500765.5134000415,41,R,Afghanistan,AF,Kandahār,admin,715542,512200
Jalālābād,633377.2462779378,3810398.819637134,42,S,Afghanistan,AF,Nangarhār,admin,597971,205423
Herāt,426393.56071573624,3801051.2059135986,41,S,Afghanistan,AF,Herāt,admin,481009,397456
Mazār-e Sharīf,331265.1896883522,4064259.2653042716,42,S,Afghanistan,AF,Balkh,admin,458151,272714
Kunduz,487231.48818089,4064814.683894041,42,S,Afghanistan,AF,Kunduz,admin,259809,161902
Ṯaghar,476349.86060019693,4000893.0518292068,42,S,Afghanistan,AF,Baghlān,,218748,108449
Lashkar Gāh,630129.805844937,3496230.9261630564,41,R,Afghanistan,AF,Helmand,admin,201546,201546
Maīmanah,660960.6168782328,3976694.0989631284,41,S,Afghanistan,AF,Fāryāb,admin,199795,199795
Balkh,312293.4135879411,4069906.0270100674,42,S,Afghanistan,AF,Balkh,minor,179969,114883
Ghaznī,446389.7138021146,3712504.3719499647,42,S,Afghanistan,AF,Ghaznī,admin,141000,118785
Gardēz,520961.3296189248,3717545.1403841185,42,S,Afghanistan,AF,Paktiyā,admin,103601,61760
Shibirghān,746032.160187793,4061526.7277493686,41,S,Afghanistan,AF,Jowzjān,admin,93241,55641
Farāh,416877.26586307446,3582291.528349543,41,S,Afghanistan,AF,Farāh,admin,73647,43561
Andkhōy,689092.4429733783,4091757.6394884414,41,S,Afghanistan,AF,Fāryāb,minor,71730,29208
Faīẕābād,640373.9964681605,4108979.66817203,42,S,Afghanistan,AF,Badakhshān,admin,64704,40276
Tāluqān,547638.9569213692,4065512.2120377007,42,S,Afghanistan,AF,Takhār,admin,64256,64256
Pul-e Khumrī,474306.6387032588,3977839.4211389264,42,S,Afghanistan,AF,Baghlān,admin,56369,25689
Chārīkār,515875.5954820002,3874896.1138320253,42,S,Afghanistan,AF,Parwān,admin,53676,53676
Asadābād,696232.5463387659,3861074.63508587,42,S,Afghanistan,AF,Kunaṟ,admin,48400,48400
Aībak,411566.5611314784,4013755.4178216136,42,S,Afghanistan,AF,Samangān,admin,24000,24000
Barakī Barak,495306.8485166119,3758547.294052448,42,S,Afghanistan,AF,Lōgar,minor,22305,22305
Karukh,462012.3011771233,3815577.243340721,41,S,Afghanistan,AF,Herāt,minor,17484,11293
Mehtar Lām,610806.0905027412,3837267.686358649,42,S,Afghanistan,AF,Laghmān,admin,17345,17345
Zarghūn Shahr,448133.2755282971,3634499.6588665857,42,S,Afghanistan,AF,Paktīkā,,13737,13737
Qalāt,302638.65591811703,3554072.565720021,42,S,Afghanistan,AF,Zābul,admin,12191,12191
Tarīn Kōṯ,769585.0489493764,3613556.092662559,41,S,Afghanistan,AF,Uruzgān,admin,10000,10000
Maḩmūd-e Rāqī,531430.3493471482,3874916.65047103,42,S,Afghanistan,AF,Kāpīsā,admin,7407,7407
Qal‘ah-ye Now,511765.1553800809,3871647.9291135636,41,S,Afghanistan,AF,Bādghīs,admin,2997,2997
Dowlat Shāh,597792.988588796,3868065.945846497,42,S,Afghanistan,AF,Laghmān,minor,,
Dowlatyār,756287.7549840526,3826832.3265369204,41,S,Afghanistan,AF,Ghōr,minor,,
Karbōṟī,707665.863481834,3871632.7843012474,42,S,Afghanistan,AF,Kunaṟ,minor,,
Ḩāfiz̧ān,626321.4785127819,3794792.52235461,42,S,Afghanistan,AF,Nangarhār,minor,,
Mīr Bachah Kōṯ,510890.6845042291,3845325.0341110975,42,S,Afghanistan,AF,Kābul,minor,,
Nīlī,234078.99760595802,3735006.8617787473,42,S,Afghanistan,AF,Dāykundī,admin,,
Kalān Deh,444700.55186111876,3744217.6510138814,42,S,Afghanistan,AF,Wardak,minor,,
Kā’ī,658449.2728913161,3777702.7053446886,42,S,Afghanistan,AF,Nangarhār,minor,,
Āsmār,715112.9329536683,3879280.993203384,42,S,Afghanistan,AF,Kunaṟ,minor,,
Dū Qal‘ah,353520.60074678867,3557273.114613651,41,S,Afghanistan,AF,Farāh,minor,,
Chimtāl,303707.6250573145,4061421.020599343,42,S,Afghanistan,AF,Balkh,minor,,
